family,instance_id,policy,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,runtime_s,compute_cost
planted_3sat,29,maat_only,22,94,4.2727272727272725,1,1,0,7,19,1,1,6,0.0012039580615237355,3.176
planted_3sat,29,mode_a,22,94,4.2727272727272725,1,1,0,6,13,0,0,6,0.0011694170534610748,1.8519999999999999
planted_3sat,29,random,22,94,4.2727272727272725,1,1,0,13,8,0,0,13,0.0018787499284371734,3.932
random_3sat,30,vsids,22,101,4.590909090909091,1,0,0,17,153,15,14,4,0.004493582993745804,20.712
random_3sat,30,progress_only,22,101,4.590909090909091,1,0,0,12,137,11,10,4,0.0035385830560699105,15.148
random_3sat,30,maat_only,22,101,4.590909090909091,1,0,0,13,136,13,12,4,0.003817083896137774,17.444
random_3sat,30,mode_a,22,101,4.590909090909091,1,0,0,16,172,16,15,7,0.004871040931902826,21.488
random_3sat,30,random,22,101,4.590909090909091,1,0,0,22,204,20,19,9,0.005974833038635552,27.416
planted_3sat,31,vsids,22,101,4.590909090909091,1,1,0,10,65,6,6,4,0.0024716670159250498,9.26
planted_3sat,31,progress_only,22,101,4.590909090909091,1,1,0,7,51,4,4,4,0.0017302919877693057,6.303999999999999
planted_3sat,31,maat_only,22,101,4.590909090909091,1,1,0,9,89,7,7,4,0.002573583973571658,10.056
planted_3sat,31,mode_a,22,101,4.590909090909091,1,1,0,6,42,3,3,5,0.0014540000120177865,4.968
planted_3sat,31,random,22,101,4.590909090909091,1,1,0,8,19,1,1,7,0.0016650829929858446,3.476
random_3sat,32,vsids,22,101,4.590909090909091,1,1,0,6,13,0,0,6,0.0010456249583512545,1.8519999999999999
random_3sat,32,progress_only,22,101,4.590909090909091,1,1,0,6,13,0,0,6,0.0009528750088065863,1.8519999999999999
random_3sat,32,maat_only,22,101,4.590909090909091,1,1,0,10,9,0,0,10,0.0015124580822885036,3.036
random_3sat,32,mode_a,22,101,4.590909090909091,1,1,0,8,12,0,0,8,0.001279250020161271,2.448
random_3sat,32,random,22,101,4.590909090909091,1,1,0,13,8,0,0,13,0.0017057920340448618,3.932
planted_3sat,33,vsids,22,101,4.590909090909091,1,1,0,9,22,1,1,6,0.0014857499627396464,3.788
planted_3sat,33,progress_only,22,101,4.590909090909091,1,1,0,8,22,1,1,5,0.0015242910012602806,3.488
planted_3sat,33,maat_only,22,101,4.590909090909091,1,1,0,8,20,1,1,6,0.0013657920062541962,3.48
planted_3sat,33,mode_a,22,101,4.590909090909091,1,1,0,8,11,0,0,8,0.0013025840744376183,2.444
planted_3sat,33,random,22,101,4.590909090909091,1,1,0,9,12,0,0,9,0.0014370409771800041,2.7479999999999998
random_3sat,34,vsids,22,101,4.590909090909091,1,0,0,8,90,8,7,4,0.0022997090127319098,10.76
random_3sat,34,progress_only,22,101,4.590909090909091,1,0,0,9,90,8,7,4,0.0024564999621361494,11.059999999999999
random_3sat,34,maat_only,22,101,4.590909090909091,1,0,0,6,83,7,6,4,0.001879999996162951,9.132000000000001
random_3sat,34,mode_a,22,101,4.590909090909091,1,0,0,8,102,9,8,3,0.0023989169858396053,11.808
random_3sat,34,random,22,101,4.590909090909091,1,0,0,16,155,14,13,4,0.004283915972337127,19.42
planted_3sat,35,vsids,22,101,4.590909090909091,1,1,0,11,124,9,9,4,0.003085374948568642,12.796000000000001
planted_3sat,35,progress_only,22,101,4.590909090909091,1,1,0,15,132,9,9,4,0.003794959047809243,14.028
planted_3sat,35,maat_only,22,101,4.590909090909091,1,1,0,9,58,5,5,9,0.0019902089843526483,7.9319999999999995
planted_3sat,35,mode_a,22,101,4.590909090909091,1,1,0,13,106,7,7,6,0.0033178330631926656,11.324
planted_3sat,35,random,22,101,4.590909090909091,1,1,0,21,161,14,14,7,0.004772207932546735,20.944
random_3sat,36,vsids,26,101,3.8846153846153846,1,1,0,11,40,2,2,9,0.0018408340401947498,5.46
random_3sat,36,progress_only,26,101,3.8846153846153846,1,1,0,11,40,2,2,9,0.0018309999722987413,5.46
random_3sat,36,maat_only,26,101,3.8846153846153846,1,1,0,15,105,7,7,7,0.003862124984152615,11.92
random_3sat,36,mode_a,26,101,3.8846153846153846,1,1,0,15,75,6,6,7,0.003455125028267503,10.8
random_3sat,36,random,26,101,3.8846153846153846,1,1,0,18,6,0,0,18,0.0023064579581841826,5.4239999999999995
planted_3sat,37,vsids,26,101,3.8846153846153846,1,1,0,11,47,4,4,7,0.002166333026252687,7.4879999999999995
planted_3sat,37,progress_only,26,101,3.8846153846153846,1,1,0,9,56,3,3,6,0.0018947499338537455,5.9239999999999995
planted_3sat,37,maat_only,26,101,3.8846153846153846,1,1,0,9,15,0,0,9,0.001592166954651475,2.76
planted_3sat,37,mode_a,26,101,3.8846153846153846,1,1,0,8,17,0,0,8,0.0013639170210808516,2.468
planted_3sat,37,random,26,101,3.8846153846153846,1,1,0,11,13,0,0,11,0.001716042053885758,3.352
random_3sat,38,vsids,26,101,3.8846153846153846,1,1,0,5,47,2,2,4,0.0013446660013869405,3.688
random_3sat,38,progress_only,26,101,3.8846153846153846,1,1,0,5,47,2,2,4,0.0013046669773757458,3.688
random_3sat,38,maat_only,26,101,3.8846153846153846,1,1,0,17,104,7,7,7,0.0036817080108448863,12.516
random_3sat,38,mode_a,26,101,3.8846153846153846,1,1,0,7,59,3,3,4,0.0019996250048279762,5.335999999999999
random_3sat,38,random,26,101,3.8846153846153846,1,1,0,9,16,0,0,9,0.001612124964594841,2.764
planted_3sat,39,vsids,26,101,3.8846153846153846,1,1,0,7,16,0,0,7,0.0012199580669403076,2.164
planted_3sat,39,progress_only,26,101,3.8846153846153846,1,1,0,12,12,0,0,12,0.0017273339908570051,3.6479999999999997
planted_3sat,39,maat_only,26,101,3.8846153846153846,1,1,0,5,19,0,0,5,0.0011825000401586294,1.576
planted_3sat,39,mode_a,26,101,3.8846153846153846,1,1,0,10,14,0,0,10,0.0017607909394428134,3.056
planted_3sat,39,random,26,101,3.8846153846153846,1,1,0,10,15,0,0,10,0.0014799999771639705,3.06
random_3sat,40,vsids,26,101,3.8846153846153846,1,0,0,9,103,9,8,5,0.002834790968336165,12.112
random_3sat,40,progress_only,26,101,3.8846153846153846,1,0,0,8,113,9,8,4,0.0025783329037949443,11.852
random_3sat,40,maat_only,26,101,3.8846153846153846,1,0,0,16,137,14,13,5,0.004640250001102686,19.348
random_3sat,40,mode_a,26,101,3.8846153846153846,1,0,0,9,115,9,8,6,0.0027115000411868095,12.16
random_3sat,40,random,26,101,3.8846153846153846,1,0,0,60,426,42,41,13,0.01608387497253716,61.704
planted_3sat,41,vsids,26,101,3.8846153846153846,1,1,0,11,13,0,0,11,0.0015488748904317617,3.352
planted_3sat,41,progress_only,26,101,3.8846153846153846,1,1,0,12,41,2,2,10,0.0019705829909071326,5.763999999999999
planted_3sat,41,maat_only,26,101,3.8846153846153846,1,1,0,7,17,0,0,7,0.001498208031989634,2.168
planted_3sat,41,mode_a,26,101,3.8846153846153846,1,1,0,9,15,0,0,9,0.0016203750856220722,2.76
planted_3sat,41,random,26,101,3.8846153846153846,1,1,0,18,57,5,5,10,0.0032499999506399035,10.627999999999998
random_3sat,42,vsids,26,110,4.230769230769231,1,1,0,9,54,3,3,5,0.0021994169801473618,5.9159999999999995
random_3sat,42,progress_only,26,110,4.230769230769231,1,1,0,8,69,5,5,5,0.0021698330529034138,7.676
random_3sat,42,maat_only,26,110,4.230769230769231,1,1,0,7,19,0,0,7,0.0016231659101322293,2.176
random_3sat,42,mode_a,26,110,4.230769230769231,1,1,0,6,57,3,3,6,0.0017611249350011349,5.028
random_3sat,42,random,26,110,4.230769230769231,1,1,0,8,51,2,2,7,0.0020239580189809203,4.604
planted_3sat,43,vsids,26,110,4.230769230769231,1,1,0,11,49,5,5,7,0.0026389999547973275,8.496
planted_3sat,43,progress_only,26,110,4.230769230769231,1,1,0,6,19,0,0,6,0.0013027499662712216,1.876
planted_3sat,43,maat_only,26,110,4.230769230769231,1,1,0,12,50,3,3,8,0.002523166942410171,6.8
planted_3sat,43,mode_a,26,110,4.230769230769231,1,1,0,19,114,10,10,8,0.004825665964744985,16.156
planted_3sat,43,random,26,110,4.230769230769231,1,1,0,13,77,7,7,5,0.003171375021338463,11.208
random_3sat,44,vsids,26,110,4.230769230769231,1,0,0,16,199,14,13,4,0.005342292017303407,19.596
random_3sat,44,progress_only,26,110,4.230769230769231,1,0,0,11,146,11,10,5,0.0035227080807089806,14.884
random_3sat,44,maat_only,26,110,4.230769230769231,1,0,0,21,277,21,20,7,0.0072457080241292715,28.408
random_3sat,44,mode_a,26,110,4.230769230769231,1,0,0,20,238,20,19,6,0.006334125064313412,26.952
random_3sat,44,random,26,110,4.230769230769231,1,0,0,53,483,41,40,9,0.015934249968267977,58.832
planted_3sat,45,vsids,26,110,4.230769230769231,1,1,0,7,16,0,0,7,0.0014410829171538353,2.164
planted_3sat,45,progress_only,26,110,4.230769230769231,1,1,0,7,16,0,0,7,0.001436915947124362,2.164
planted_3sat,45,maat_only,26,110,4.230769230769231,1,1,0,18,188,12,12,6,0.005593625013716519,18.151999999999997
planted_3sat,45,mode_a,26,110,4.230769230769231,1,1,0,12,85,6,6,6,0.003267124993726611,9.94
planted_3sat,45,random,26,110,4.230769230769231,1,1,0,21,100,7,7,11,0.0044460000935941935,13.700000000000001
random_3sat,46,vsids,26,110,4.230769230769231,1,1,0,8,64,3,3,5,0.002125500002875924,5.656000000000001
random_3sat,46,progress_only,26,110,4.230769230769231,1,1,0,8,50,2,2,5,0.001982084009796381,4.6000000000000005
random_3sat,46,maat_only,26,110,4.230769230769231,1,1,0,9,84,7,7,5,0.002697124960832298,10.036
random_3sat,46,mode_a,26,110,4.230769230769231,1,1,0,10,141,9,9,5,0.003559625009074807,12.564
random_3sat,46,random,26,110,4.230769230769231,1,1,0,22,114,11,11,11,0.004892750061117113,18.056
planted_3sat,47,vsids,26,110,4.230769230769231,1,1,0,7,17,0,0,7,0.0013172079343348742,2.168
planted_3sat,47,progress_only,26,110,4.230769230769231,1,1,0,8,24,1,1,7,0.0013976660557091236,3.496
planted_3sat,47,maat_only,26,110,4.230769230769231,1,1,0,8,24,1,1,6,0.0016812080284580588,3.496
planted_3sat,47,mode_a,26,110,4.230769230769231,1,1,0,16,117,8,8,8,0.004267832962796092,13.268
planted_3sat,47,random,26,110,4.230769230769231,1,1,0,12,69,5,5,7,0.0027052080258727074,8.876
random_3sat,48,vsids,26,120,4.615384615384615,1,0,0,6,87,7,6,3,0.0022528329864144325,9.148000000000001
random_3sat,48,progress_only,26,120,4.615384615384615,1,0,0,6,87,7,6,3,0.002268124953843653,9.148000000000001
random_3sat,48,maat_only,26,120,4.615384615384615,1,0,0,7,83,8,7,2,0.0026192079531028867,10.432
random_3sat,48,mode_a,26,120,4.615384615384615,1,0,0,8,109,9,8,3,0.0028896250296384096,11.836
random_3sat,48,random,26,120,4.615384615384615,1,0,0,25,253,20,19,6,0.008066250011324883,28.512
