mu,phidot0,stable,chi2,chi2_per_point,chi2_reduced_k2,delta_chi2_vs_LCDM,max_Omega_MAAT,max_abs_delta_H,min_P_X,min_cs2,max_cs2
0.06309573444801933,1.6277777777777778,True,15.752695840178685,0.5081514787154414,0.5431964082820236,0.8768342499053343,0.00012332070163531566,0.02257266679135782,1.0013569934373758,1.0000059725768085,1.0015774969672553
0.06309573444801933,1.7333333333333332,True,15.752614035583907,0.5081488398575453,0.5431935874339279,0.8767524453105562,0.00012380882506969395,0.022573229260486397,1.0012607908284188,1.0000067800901224,1.0015775710823809
0.06309573444801933,1.8388888888888888,True,15.752530627741617,0.5081461492819876,0.543190711301435,0.8766690374682664,0.0001243155356315068,0.022573978769769923,1.0011724504306656,1.0000076401037963,1.0015777052377772
0.06309573444801933,1.9444444444444444,True,15.752446049351676,0.5081434209468283,0.5431877948052302,0.8765844590783249,0.00012483991173482323,0.022574893822862024,1.0010914553588988,1.0000085528538196,1.0015780049636425
0.06309573444801933,2.05,True,15.752360723437018,0.5081406684979684,0.543184852532311,0.8764991331636676,0.0001253811243407857,0.022575954013394604,1.0010172597948082,1.0000095185704805,1.0015783222144379
0.06309573444801933,2.1555555555555554,True,15.752275060910398,0.5081379051906579,0.5431818986520827,0.876413470637047,0.00012593842906602503,0.02257714041102082,1.0009493159793144,1.000010537477563,1.0015786692611943
0.06309573444801933,2.261111111111111,True,15.752189458248916,0.5081351438144811,0.5431789468361695,0.8763278679755651,0.00012651115845846542,0.022578435749671683,1.0008870919491806,1.0000116097917393,1.0015790708762615
0.06309573444801933,2.3666666666666667,True,15.752104295349408,0.5081323966241744,0.5431760101844624,0.8762427050760575,0.00012709871463439397,0.02257982448091261,1.0008300825198813,1.000012735722112,1.0015796140166378
0.06309573444801933,2.4722222222222223,True,15.752019933625814,0.508129675278252,0.5431731011595108,0.8761583433524631,0.00012770056238905626,0.0225812927394765,1.0007778154683082,1.0000139154698693,1.0015801723373243
0.06309573444801933,2.5777777777777775,True,15.751936714393905,0.5081269907869002,0.5431702315308243,0.876075124120554,0.00012831622283613231,0.022582828255013312,1.0007298543926806,1.0000151492280303,1.001580708348889
0.06309573444801933,2.683333333333333,True,15.751854957570185,0.508124353470006,0.5431674123300063,0.8759933672968341,0.0001289452675928909,0.022584420233910704,1.0006857993391527,1.0000164371812617,1.0015813649954655
0.06309573444801933,2.7888888888888888,True,15.751774960698715,0.508121772925765,0.543164653817197,0.8759133704253639,0.0001295873135026446,0.022586059227429747,1.000645285981766,1.000017779505738,1.0015820597858256
