Delta,Sigma_env,S_env,max_delta_mu_pct,max_delta_slip_pct,max_delta_Sigma_lens_pct
6.095068271,0.01666666667,0.6627043841,1.323165557,1.984748335,2.328670478
7.019913613,0.01666666667,0.6342129777,1.266279186,1.899418778,2.228014547
8.085091905,0.01666666667,0.6054435274,1.208837668,1.813256502,2.126425582
9.311896801,0.01666666667,0.5765131978,1.151074936,1.726612404,2.024318439
10.72485298,0.01666666667,0.5475484309,1.093243446,1.639865169,1.922139889
12.35220642,0.01666666667,0.518681676,1.035607648,1.553411472,1.820357008
14.22648905,0.01666666667,0.4900480244,0.9784372681,1.467655902,1.719445265
16.38516908,0.01666666667,0.4617818492,0.9220005969,1.383000895,1.619876683
18.87140002,0.01666666667,0.4340135709,0.866558034,1.299837051,1.522108481
21.73488335,0.01666666667,0.4068666687,0.8123561202,1.21853418,1.426572629
25.0328621,0.01666666667,0.38045505,0.7596222844,1.139433427,1.333666693
28.83126515,0.01666666667,0.3548808661,0.7085604836,1.062840725,1.243746281
33.20602522,0.01666666667,0.3302328396,0.6593478625,0.9890217938,1.157119306
38.2445968,0.01666666667,0.3065851326,0.6121324944,0.9181987416,1.074042162
44.04770444,0.01666666667,0.2839967566,0.5670322026,0.8505483039,0.994717796
50.73135628,0.01666666667,0.262511495,0.5241344057,0.7862016086,0.9192955866
58.42916318,0.01666666667,0.242158285,0.4834968799,0.7252453199,0.8478728091
67.29500963,0.01666666667,0.2229519888,0.4451492996,0.6677239494,0.7804974586
77.50613008,0.01666666667,0.2048944749,0.4090953954,0.6136430931,0.7171721347
89.2666519,0.01666666667,0.1879759245,0.3753155626,0.5629733439,0.6578586978
102.8116761,0.01666666667,0.1721762816,0.3437697576,0.5156546364,0.6024834082
118.4119771,0.01666666667,0.1574667737,0.3144005326,0.4716007989,0.5509422898
136.3794158,0.01666666667,0.1438114361,0.2871360799,0.4307041198,0.5031064932
157.0731738,0.01666666667,0.1311685885,0.2618931799,0.3928397698,0.4588274751
180.9069336,0.01666666667,0.1194922227,0.2385799719,0.3578699579,0.4179418539
208.3571487,0.01666666667,0.1087332722,0.2170984894,0.325647734,0.3802758445
239.9725679,0.01666666667,0.09884074673,0.1973469239,0.2960203859,0.3456492105
276.3852054,0.01666666667,0.08976272095,0.1792216009,0.2688324014,0.3138787045
318.3229752,0.01666666667,0.08144717804,0.1626186627,0.243927994,0.2847809959
366.6242424,0.01666666667,0.07384271119,0.1474354696,0.2211532044,0.2581751009
422.2545828,0.01666666667,0.06689909222,0.1335717354,0.200357603,0.2338843474
486.3260857,0.01666666667,0.06056771876,0.1209304197,0.1813956296,0.2117379157
560.1195848,0.01666666667,0.05480195269,0.1094184043,0.1641276065,0.1915720005
645.1102636,0.01666666667,0.04955736383,0.0989469792,0.1484204688,0.1732306424
742.9971446,0.01666666667,0.04479189213,0.08943216661,0.1341482499,0.1565662774
855.7370546,0.01666666667,0.04046594146,0.08079490834,0.1211923625,0.1414400482
985.5837428,0.01666666667,0.036542417,0.07296114028,0.1094417104,0.1277219205
1135.132935,0.01666666667,0.03298671693,0.06586177597,0.09879266395,0.1152906412
1307.374222,0.01666666667,0.02976668829,0.05943261826,0.0891489274,0.1040335737
1505.750829,0.01666666667,0.02685255504,0.05361421592,0.08042132388,0.09384643649
1734.22844,0.01666666667,0.02421682576,0.04835167914,0.07252751871,0.08463297263
1997.374483,0.01666666667,0.02183418675,0.0435944662,0.0653916993,0.07630456944
2300.449429,0.01666666667,0.01968138564,0.03929615106,0.05894422659,0.06877984576
2649.511958,0.01666666667,0.01773710945,0.03541417993,0.0531212699,0.06198422112
3051.54007,0.01666666667,0.0159818605,0.03190962343,0.04786443515,0.05584947768
3514.570589,0.01666666667,0.01439783248,0.02874692923,0.04312039385,0.05031332406
4047.859815,0.01666666667,0.01296878891,0.02589367931,0.03884051896,0.04531896741
4662.06857,0.01666666667,0.01167994518,0.0233203545,0.03498053175,0.04081469917
5369.475314,0.01666666667,0.0105178555,0.02100010874,0.03150016311,0.03675349783
6184.2216,0.01666666667,0.009470305273,0.01890855418,0.02836283126,0.03309265131
7122.594772,0.01666666667,0.008526209471,0.01702355828,0.02553533741,0.02979340049
8203.35356,0.01666666667,0.007675517217,0.01532505331,0.02298757996,0.02682060471
9448.103085,0.01666666667,0.006909122667,0.0137948584,0.0206922876,0.02414242944
10881.72675,0.01666666667,0.006218782138,0.0124165141,0.01862477115,0.02173005595
12532.8837,0.01666666667,0.005597037345,0.01117512908,0.01676269362,0.01955741252
14434.58169,0.01666666667,0.005037144527,0.01005723865,0.01508585797,0.01760092624
16624.837,0.01666666667,0.004533009208,0.009050674473,0.01357601171,0.01583929469
19147.43435,0.01666666667,0.004079126292,0.008144445005,0.01221666751,0.01425327625
22052.80222,0.01666666667,0.003670525186,0.007328625883,0.01099293882,0.01282549811
25399.02092,0.01666666667,0.003302719625,0.006594259758,0.009891389637,0.01154028071
29252.98369,0.01666666667,0.00297166187,0.005933264856,0.008899897285,0.01038347753
