Delta,q_tidal,Sigma_env,S_env,max_R_LG_minus1_pct,max_Sigma_lens_minus1_pct
2032.3575412866567,0.0,0.0,0.021557785422480637,0.03233667813371903,0.07546619112204223
2232.4821256607133,0.0,0.0,0.020120390351018976,0.03018058552652667,0.07043351113180663
2452.312814131755,0.0,0.0,0.01877705102048232,0.028165576530721805,0.06573025590101977
2693.790050648216,0.0,0.0,0.017521842583531417,0.026282763875295562,0.061335659491379424
2959.045353086616,0.0,0.0,0.016349183802257635,0.024523775703384994,0.05723016218222021
3250.4201281449173,0.0,0.0,0.015253820993074757,0.022880731489610777,0.053395353847407456
3570.4863389230927,0.0,0.0,0.014230812189282977,0.021346218283923198,0.04981391814296021
3922.0692076233827,0.0,0.0,0.013275511605962678,0.019913267408942836,0.04646957779710359
4308.272153766906,0.0,0.0,0.012383554475725166,0.018575331713586645,0.04334704123767352
4732.504188056051,0.0,0.0,0.011550842309716381,0.01732626346457354,0.040431950742747524
5198.510003688082,0.0,0.0,0.010773528625957776,0.016160292938935703,0.03771083225843075
5710.403030735785,0.0,0.0,0.01004800517644531,0.015072007764667071,0.03517104698980145
6272.701745365934,0.0,0.0,0.009370888695247862,0.014056333042870958,0.03280074484002249
6890.369554396745,0.0,0.0,0.008739008181995404,0.013108512272992328,0.03058881974489225
7568.858607255191,0.0,0.0,0.008149392728479612,0.012224089092718693,0.028524866927726045
8314.157922061777,0.0,0.0,0.0075992598904719415,0.011398889835707235,0.026599142079164473
9132.846250651593,0.0,0.0,0.007086004602171715,0.01062900690325694,0.02480252245142811
10032.150149170708,0.0,0.0,0.0066071886268184304,0.009910782940227058,0.023126469842127406
11020.007766836683,0.0,0.0,0.006160530533835031,0.009240795800751997,0.02156299543252249
12105.13891592619,0.0,0.0,0.005743896190320714,0.008615844285480559,0.020104626436445727
13297.122041496837,0.0,0.0,0.005355289752700111,0.008032934629049688,0.018744374508306016
14606.478770254795,0.0,0.0,0.004992845142786134,0.007489267714178756,0.017475705854841372
16044.766784879987,0.0,0.0,0.004654817991361494,0.006982226987041826,0.0162925129896907
17624.681843610237,0.0,0.0,0.0043395780315693385,0.006509367047353621,0.0151890880686123
