instance_id,family,n_vars,n_clauses,alpha,sat_glucose,sat_minisat,timeout_glucose,timeout_minisat,conflicts_glucose,decisions_glucose,propagations_glucose,conflicts_minisat,decisions_minisat,propagations_minisat,cdcl_hardness,solve_time_s,degree_cv,max_degree_norm,literal_imbalance,mean_var_graph_degree,clustering_mean,component_frac,largest_component_frac,expansion_defect,backdoor_density,propagation_depth_mean,contradiction_rate_mean,covariance_condition_log,H,B,S,V,R_resp,R_rob,F_struct_scalar,density_peak,frust_mean,frust_std,frust_q75,frust_q90,frust_q95,frust_q99,frust_max,frust_tail95_mean,frust_tail_mass,frust_gini,hotspot_fraction,hotspot_cluster_frac,hotspot_edge_density,R_tail,R_var,R_cluster,R_sat,F_mean,F_tail,F_cluster,F_scale,F_struct_multi
356,graph_coloring,42,107,2.5476190476190474,1,1,0,0,0,17,43,0,17,43,1.141033004552062,8.129200432449579e-05,0.2055328861702085,1.2894736839729917,0.6149659862795174,4.428571428571429,0.20952380947920632,0.047619047619047616,0.7857142857142857,0.0658334296660108,0.40476190476190477,0.055555555555555546,0.0,6.408648942563045,0.7122692895942867,0.5492999831712972,0.14902025147352208,0.8995502248514636,0.7060352870215127,0.4785541959035163,3.68492904899614,0.008310384238421122,0.5607709749491468,0.09587819288074154,0.6317440778234805,0.6984688332502286,0.7089688332495284,0.7094688332494952,0.7094688332494952,0.7094688332494951,0.0903690588382373,0.09684027541521774,0.11904761904761904,0.11904761904761904,0.59999999994,0.5849770294431869,0.8384208231710398,0.5817174515438494,0.4785541959035163,0.5607709749491468,0.7993378920877657,0.719047618987619,6.530037927784611,3.711665967970684
357,graph_coloring,56,190,3.392857142857143,1,1,0,0,0,28,57,0,28,57,1.4747630091074988,0.00012512505054473877,0.20377068321542877,1.2352941174775087,0.7121882085164827,6.285714285714286,0.2787414965711285,0.017857142857142856,1.0,0.06285992739418178,0.42857142857142855,0.0546875,0.0,6.653704067350901,0.7050381970842861,0.5219318662396041,0.5225329348639938,0.9824561403508772,0.7123824476682291,0.6592700172036856,2.0831104452628417,0.29689698697716443,0.5889363661318802,0.0823741832415736,0.6802022323187613,0.6900236608900941,0.6944879466044755,0.699845089461427,0.699845089461427,0.6962736608901259,0.12667030543350358,0.07941655220126936,0.10714285714285714,0.10714285714285714,0.39999999997333335,0.5895275173200805,0.8607402086218455,0.6635071090164791,0.5895275173200805,0.5889363661318802,0.8211582520379791,0.5071428571161904,6.771251494745083,3.6100503489723206
358,graph_coloring,56,214,3.8214285714285716,1,1,0,0,0,24,57,0,24,57,1.3787660946990992,0.00013500009663403034,0.23141940274829795,1.350877192816559,0.7358792000712501,7.142857142857143,0.2791383219583207,0.03571428571428571,0.9285714285714286,0.04678053062535814,0.42857142857142855,0.0625,0.0,6.861380532293961,0.697565161112734,0.5083112439396805,0.738186924233911,0.9491525423728814,0.6955849412432844,0.6955849412432844,1.7555667756273894,0.7381615976214342,0.5944037311142988,0.08933637952897014,0.6835877192185508,0.6996591477899794,0.7322328547796702,0.750089997636813,0.750089997636813,0.7411614262082415,0.08906421527870069,0.08522499341669589,0.16071428571428573,0.16071428571428573,0.3611111111010803,0.5743292867323152,0.8513816502343458,0.6571056062624798,0.5743292867323152,0.5944037311142988,0.8212970700583708,0.521825396815366,6.970661062919319,3.6801914637178657
359,graph_coloring,56,194,3.4642857142857144,1,1,0,0,0,27,57,0,27,57,1.4516138272405332,0.00011312507558614016,0.24249077329271262,1.346153845972633,0.7143424035284668,6.428571428571429,0.29716553285250397,0.017857142857142856,1.0,0.05477023687649096,0.42857142857142855,0.05803571428571428,0.0,6.820915643657964,0.6995122951077372,0.5110297657690329,0.5773885453270755,0.9824561403508772,0.70553447568641,0.6710512985942345,1.9945484622364573,0.3604477885978213,0.5924178003735471,0.10323872917236708,0.6925686812318681,0.7449175823247464,0.7490842489912972,0.7490842489912972,0.7490842489912972,0.7490842489912972,0.09031804538915239,0.09784235397590725,0.125,0.125,0.3809523809342404,0.5717277487214829,0.8325832568928648,0.6640316205613586,0.5717277487214829,0.5924178003735471,0.8394022943804496,0.5059523809342403,6.933721594820169,3.6712028743932796
360,graph_coloring,42,155,3.6904761904761907,0,0,0,0,10,12,86,10,13,180,2.60859812213055,0.00012437498662620783,0.18610880777440977,1.2962962961282578,0.7280612243933501,6.714285714285714,0.21411564624106671,0.023809523809523808,1.0,0.07094086300161262,0.42857142857142855,0.07390873015873016,0.0,6.626140997643572,0.7025251840676824,0.5224196300197635,0.676716199145954,0.9711624219437172,0.7090188008492307,0.7008013934902119,1.77765374739863,0.5960290094402374,0.5861763037791881,0.0882975163755834,0.6461330630731745,0.680716396405953,0.7065974754282254,0.7079314419933085,0.7079314419933085,0.7079314419933085,0.08626505582515841,0.08028030144816023,0.11904761904761904,0.11904761904761904,0.59999999994,0.5855035954094918,0.8557410424427804,0.5817174515438494,0.5817174515438494,0.5861763037791881,0.7928625312533838,0.719047618987619,6.7709905908039145,3.7908341017211695
361,graph_coloring,42,143,3.4047619047619047,0,0,0,0,17,24,132,19,23,448,3.188416617383492,0.00015112501569092274,0.1743559577172171,1.5399999997843998,0.7132034631019911,6.142857142857143,0.18015873014600028,0.023809523809523808,1.0,0.06267815753913963,0.42857142857142855,0.07192460317460317,0.0,6.502332302820761,0.706557215189856,0.5297846462316911,0.5659664006582195,0.9401581853342191,0.7060181702832223,0.6680509272253583,2.016954342320559,0.3070109704234932,0.5778844567325452,0.08117060591624328,0.5863172756675397,0.6523344406670042,0.8037890968440127,0.8258080135851591,0.835569918347064,0.819696902474048,0.10131744860691383,0.06918299574161983,0.14285714285714285,0.14285714285714285,0.59999999996,0.5495420685941744,0.8692979259236664,0.5737704918164472,0.5495420685941744,0.5778844567325452,0.9051065454509265,0.7428571428171429,6.636935063534504,3.8850819108842405
362,graph_coloring,42,146,3.4761904761904763,0,0,0,0,12,20,69,12,19,254,2.807292035751859,0.000110417022369802,0.24014605318107585,1.372549019419454,0.7003401359559084,6.285714285714286,0.23945578223087274,0.047619047619047616,0.9285714285714286,0.05661914709885718,0.40476190476190477,0.07688492063492063,0.0,6.799610285572351,0.6969193117054996,0.5153347679556235,0.5827661323201684,0.9385474860335196,0.6959468357088499,0.665741491381399,2.034269166695399,0.3716803912702001,0.5847732425412895,0.10422731986848159,0.6788629466045234,0.7088927085088931,0.738447404623786,0.7613750953967525,0.7613750953967525,0.7542322382538954,0.09212755882525227,0.09981712433877228,0.11904761904761904,0.11904761904761904,0.59999999994,0.5700499501681527,0.8305341258880213,0.5817174515438494,0.5700499501681527,0.5847732425412895,0.8305749634490383,0.719047618987619,6.933114353306129,3.867674413304479
363,graph_coloring,56,234,4.178571428571429,1,1,0,0,0,20,57,0,20,57,1.2725655957915478,0.00013866601511836052,0.1995051108944588,1.3548387095244536,0.7646155430981748,7.857142857142857,0.272722119137374,0.017857142857142856,1.0,0.04779288721142827,0.44642857142857145,0.07328869047619048,0.0,6.803633627304834,0.6974137516327557,0.5091336919487179,0.8255645265817965,0.9824561403508772,0.7039554438503908,0.7039554438503908,1.595848704213243,0.9916023337381649,0.6001133141987449,0.08908954564142928,0.6751598937994783,0.7163468788536065,0.7485728249461965,0.7682156820890537,0.7682156820890537,0.7583942535176251,0.09026798243781269,0.0845211089327152,0.10714285714285714,0.10714285714285714,0.59999999996,0.568700675630351,0.8520713373745396,0.5857740585911311,0.568700675630351,0.6001133141987449,0.8388408073840091,0.7071428571028571,6.924715204992453,3.877275779933724
364,graph_coloring,56,210,3.75,1,1,0,0,0,22,57,0,22,57,1.3270750014599195,0.0001237079268321395,0.18898223648099083,1.374999999828125,0.7400742114080777,7.0,0.2659297051978801,0.017857142857142856,1.0,0.046285005893548226,0.44642857142857145,0.06138392857142857,0.0,6.668281934496704,0.703442009459379,0.518388148306537,0.7199617668375613,0.9824561403508772,0.7102297259848902,0.7102297259848902,1.6972243770513866,0.6615146556493746,0.5931657776013486,0.08392020308888694,0.650198412621084,0.7010714284891446,0.7556601730725117,0.763695887358226,0.7735173159296546,0.7601244587867974,0.09153360872736059,0.07983754916161923,0.14285714285714285,0.14285714285714285,0.5714285714081633,0.5681416419207486,0.8592853607773379,0.5833333333402778,0.5681416419207486,0.5931657776013486,0.8471937817998723,0.7142857142653061,6.775950868961681,3.8486329909069474
365,graph_coloring,56,234,4.178571428571429,1,1,0,0,7,31,84,7,32,155,2.513251122797143,0.00014645792543888092,0.19015848582613687,1.2419354837307492,0.7651205936033312,7.857142857142857,0.2827664398955613,0.017857142857142856,1.0,0.050508767596759596,0.44642857142857145,0.0703125,0.0,6.76200541960783,0.699139506001045,0.5114359430940112,0.8104900992050945,0.9824561403508772,0.7055959624819497,0.7055959624819497,1.6049661321375723,0.9916023337381649,0.601465870372688,0.08327930292796926,0.6678682271330142,0.7018230693297228,0.7188468788535509,0.7213468788534954,0.7213468788534954,0.7213468788534954,0.06424900347318267,0.07887430852632024,0.10714285714285714,0.10714285714285714,0.5333333332977778,0.5809404323352019,0.8604714472716094,0.6095791001583498,0.5809404323352019,0.601465870372688,0.7830958823267336,0.6404761904406349,6.882826687204589,3.745744614941204
366,graph_coloring,42,194,4.619047619047619,0,0,0,0,9,12,37,11,14,186,2.5963734838775876,0.00014304195065051317,0.12925752293939677,1.3582089550819783,0.7879287378454888,8.571428571428571,0.2855390641012194,0.023809523809523808,1.0,0.059352985769629885,0.4523809523809524,0.1021825396825397,0.0,6.496458007955797,0.7014829640580221,0.5215977291588796,0.7639857006660413,0.9767441860465117,0.7096505631216105,0.7096505631216105,1.6411365781797969,0.7984223225680085,0.6120946116764181,0.06143335814657422,0.6446530738538927,0.6865077210691894,0.76064412570244,0.7812778713097039,0.7929921570239897,0.7739445379763707,0.09031569900450628,0.05307009669232969,0.11904761904761904,0.11904761904761904,0.59999999994,0.5637154818497038,0.897260565373972,0.5817174515438494,0.5637154818497038,0.6120946116764181,0.8509598247069463,0.719047618987619,6.657993533407967,3.846600438722975
