dataset,model,target,spearman,pearson,r2,rmse,auroc_top_hard,hard_threshold,null_id
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.10223515974287613,-0.112072517571081,-0.06097242190152108,0.18352251634091038,0.4310220296135789,0.0,37
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.02781915200599329,-0.044737264574266085,-0.04581805059950406,0.18220713290172405,0.5106372500738698,0.0,38
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,0.07223748593336919,0.05666518358351883,-0.036132976214235724,0.18136148185544668,0.5212088381102467,0.0,39
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.025250885574291185,-0.1000170129031891,-0.050685009237878775,0.19063237260028434,0.46339341409763946,0.08851106587245093,0
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,0.05358652702450947,0.14444313255295788,0.011378355801649476,0.18491640529108977,0.5361797826586558,0.08851106587245093,1
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.0008478584019145863,-0.013034245410544917,-0.03756358700287832,0.18943828182716463,0.5075839653304441,0.08851106587245093,2
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,0.025396472815246863,0.09025095517504356,-0.011104454933156926,0.1870072298697943,0.5341278439869989,0.08851106587245093,3
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.02562452692289153,-0.027063071467224434,-0.049394145365592834,0.1905152318444274,0.5086838044584524,0.08851106587245093,4
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.04456650177635976,-0.13854387518428998,-0.067660930769873,0.19216622577814282,0.4463212843494534,0.08851106587245093,5
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,0.0017338886710327641,0.013241538491223313,-0.028693032989953737,0.18862675103416332,0.5004596342624512,0.08851106587245093,6
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.029282251645103258,-0.028539042860565838,-0.05336822097223726,0.1908756333600028,0.4898223841885814,0.08851106587245093,7
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.05146987744615878,-0.09890789629406688,-0.0444725941818882,0.1900679583380057,0.4478479267211662,0.08851106587245093,8
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,0.02862877012328341,0.05757238391460027,-0.02873097587599238,0.18863022970909057,0.5359499655274303,0.08851106587245093,9
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.11048065285618065,-0.09087881863628904,-0.06381243987066743,0.1918195718925007,0.43197412915722766,0.08851106587245093,10
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.01991802819506997,-0.03001455539952469,-0.04088142744478018,0.1897409256069747,0.4993762106438163,0.08851106587245093,11
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.0788695916131327,-0.08124453693559763,-0.05059229980210289,0.19062396198747975,0.4494238156209987,0.08851106587245093,12
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,0.10902934022598268,0.06462310238056415,-0.024443631335567595,0.1882367511543362,0.5743294264421024,0.08851106587245093,13
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.02101589278525654,-0.03883349820468571,-0.03389654759353533,0.18910322162600574,0.49438589579434644,0.08851106587245093,14
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.0008039542406599434,-0.06410640043104787,-0.0531111685284722,0.19085234233948262,0.4896253980761023,0.08851106587245093,15
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,0.06272022105810332,0.10243368836047789,-0.011226505569114309,0.18701851637065053,0.5341278439869989,0.08851106587245093,16
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,0.004506625359408323,-7.070655569942422e-05,-0.05260165107321346,0.19080616755397178,0.49481269903805114,0.08851106587245093,17
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,0.03680093696951853,-0.03409930119794081,-0.0331453068959755,0.18903450689250637,0.5043993565120326,0.08851106587245093,18
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,0.006426097050343874,0.025831026808876556,-0.024547498215976127,0.18824629344049593,0.5260349978659837,0.08851106587245093,19
breast_cancer,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.0021975530921166633,0.033290045045970634,-0.030056813539620864,0.18875174473111858,0.5007222824124233,0.08851106587245093,20
