instance_id,theta,phi,target,gamma_z,gamma_x,gamma_m,hx,hz,t,H,B,S,V,R_resp,R_rob,F_maat,basis_z,basis_x,basis_y,offdiag,channel_conflict,damping_pressure,coherence_exposure,x_exposure
42,1.0080742859998324,5.7286681566732955,0.6031446932825544,1.9059135280960162,0.7205218288216035,0.29660722877219503,0.9454938900304002,1.3723370174946903,0.6254581179110739,0.4440862989874141,0.5606506031596418,0.5417687263102942,0.5792343504868606,0.5244104359761442,0.5244104359761442,3.1948385693048027,0.5334904901363755,0.7190660639639944,0.44534468963868706,0.8458060634294661,0.5486689987812474,0.10147208604629228,1.86290541098839,0.3843915436119949
43,0.7185872952186976,3.9326673182073235,0.5904813359844198,0.22098664171905824,2.858102931759142,1.8312817906369094,0.14827469737050686,1.431369818973198,1.3342462593339461,0.40795117632261085,0.6494725722765162,0.6030192202225668,0.5840091237144523,0.5368622645623846,0.5368622645623846,2.9938610309878113,0.7527364945075605,0.46285398514167764,0.4681388237210594,0.6583219347982182,0.1435402487949421,0.37294160763878376,1.3510533251138868,2.151398381794158
44,0.24209909693913756,1.0060918334907394,0.5191000972865197,2.971996557715256,2.7921369440303243,0.23661435916842088,0.6953679739670854,1.0945546377980535,1.2775451940048734,0.5427675907599004,0.901042194311303,0.8066200704204438,0.5788066214223311,0.6565949059223879,0.6565949059223879,1.8976546355107509,0.9708368744051198,0.12830130070085385,0.2025204669502983,0.23974103381627807,0.9687967647469593,0.03943081173424635,0.7692356983278885,2.710709503653463
45,1.4057431777176528,1.6076216242149224,0.5059682375734449,2.2228810803172943,1.041043905987629,0.17358108625742297,0.16359046031412205,0.33041099128827534,0.9307891731764845,0.6592366987652292,0.504938835636433,0.5034208392221489,0.12554372890239499,0.34702310502565137,0.34702310502565137,4.919784448516459,0.16430475798382732,0.03631661831006501,0.9857408633806336,0.9864096240932952,0.637909210754486,0.05049622679734894,2.3638933448847705,0.17104846702383567
46,1.0494810097972298,0.7075456312109193,0.5473606841796841,0.6611445388453789,2.2635274947090505,0.1610655404887673,0.25217601342756407,0.5447304391804062,1.079953637446151,0.6324008451573547,0.5516198852136804,0.535571343362167,0.6161138176354642,0.5990059017966819,0.5824754946340736,2.702340810023565,0.49802116501666993,0.6590101241773804,0.5636315954833906,0.8671648742859911,0.45211533550457417,0.05219677196258569,0.7129917000824697,1.1272845999622656
47,0.7626331036392501,1.3975832203800354,0.5961734653934136,1.3327330273558466,1.6342940213857962,1.8382185450276873,0.9034400191141001,0.7940379065612675,0.7525242264347577,0.4164158857078928,0.6328027678176643,0.5914263443458273,0.5176101023713071,0.5147536889665483,0.5147536889665483,3.181485183593577,0.7230194985451099,0.119062938118176,0.6804901332791277,0.6908276230171877,0.8983625733517515,0.3825441403891637,2.1905809374523306,1.1816264438176296
48,0.3732681741421799,3.41945446989453,0.5522043076910597,0.10986570046080701,1.7026053462849717,0.5970298720792326,0.7118684403783182,1.0142482496779843,1.3907338362026125,0.40799162708853226,0.8222724473717079,0.7327829870219286,0.5209701012450937,0.5591048540800881,0.5591048540800881,2.6365786696877405,0.9311405464335578,0.35067363628764614,0.10002641451244285,0.3646605034650933,0.12123305435251619,0.2477815498697238,0.2577768953796963,1.5853648725004854
49,1.8347683504714654,3.4959947022919295,0.4746658412726877,1.533503995025676,2.7028633627492615,1.5747086591004296,0.5315689245524242,0.7659230577846449,1.1233826921635757,0.5262248126588642,0.512736534721489,0.5088123170640596,0.48996148619914154,0.5094198259638019,0.5092678807711021,3.3739055527838477,0.2609170376990521,0.905368046231563,0.33500895555371946,0.9653612274368344,0.7239712071765441,0.2709840061508753,3.0005479829218777,0.7052231019138359
50,1.0954850664606495,2.967271783644265,0.6907402458929777,0.5271212417471874,2.4724544100288375,1.0587385336647512,0.08155420783517864,1.0734454357228989,0.4375872578596075,0.41633286942917497,0.5425434239200232,0.5293384997407112,0.7123104843904904,0.5438947249486737,0.5402185658198964,3.0789073395872215,0.4576152265701026,0.8756748573503652,0.15421364600972096,0.8891503272288628,0.3514638755221309,0.26088136238015297,1.4100677382466162,1.1314327850295958
51,3.054419921876356,3.2123171825451458,0.47777097348783204,1.6006696003837848,0.09868177779181042,1.2074918502572578,0.41862171754175415,0.6343990560427831,0.572100104692973,0.6614192873461051,0.9804871590968889,0.9199104203184677,0.5515129312490662,0.7098362187015268,0.7098362187015268,1.454363029826705,0.9962028629007218,0.08684471770110148,0.006152313046461374,0.0870623681529837,0.11614052168327438,0.41539627539797847,0.24448518604872724,0.09830706955233441
