z,a,D_LCDM,D_MAAT_eta002,f_LCDM,f_MAAT_eta002,fsigma8_LCDM,fsigma8_MAAT_eta002,mu_eta002,C_hat,delta_D_pct,delta_fsigma8_pct
2.524792152362484998e+00,2.837046715874443903e-01,3.569393815049666241e-01,3.547201911499970328e-01,9.738950643550123853e-01,9.850608930290266629e-01,2.819210380584320497e-01,2.833804214866805782e-01,1.014504834267333067e+00,7.252417133666586579e-01,-6.217275173203919980e-01,5.176568014573112997e-01
2.518552100327900778e+00,2.842078137500956836e-01,3.575558216434230885e-01,3.553398247399476850e-01,9.737609733227264863e-01,9.849134178766101311e-01,2.823690368744732893e-01,2.838329376080532818e-01,1.014439464194863749e+00,7.219732097431862394e-01,-6.197625012201125605e-01,5.184352894296859748e-01
2.512323095256573158e+00,2.847118482210562740e-01,3.581732410733143301e-01,3.559604474584945333e-01,9.736262193592536418e-01,9.847651641318792004e-01,2.828174823098897894e-01,2.842858707058624201e-01,1.014374377089761081e+00,7.187188544880573904e-01,-6.177998133497809574e-01,5.192000098366207350e-01
2.506105117591710396e+00,2.852167765828095281e-01,3.587916407688762077e-01,3.565820602152326990e-01,9.734907994511431406e-01,9.846161300483956547e-01,2.832663729400778374e-01,2.847392194689570277e-01,1.014309571486970318e+00,7.154785743485175820e-01,-6.158394741049333376e-01,5.199510671147529184e-01
2.499898147811143279e+00,2.857226004206453451e-01,3.594110217012154163e-01,3.572046639168751092e-01,9.733547105739341898e-01,9.844663138592367746e-01,2.837157073251105888e-01,2.851929825702341770e-01,1.014245045925776800e+00,7.122522962888362397e-01,-6.138815036603106901e-01,5.206885649904376967e-01
2.493702166427262057e+00,2.862293213226650979e-01,3.600313848382759585e-01,3.578282594672179684e-01,9.732179496921447015e-01,9.843157137770379705e-01,2.841654840096528023e-01,2.856471586665536577e-01,1.014180798949759099e+00,7.090399474879552910e-01,-6.119259219713919506e-01,5.214126064833843888e-01
2.487517153986959162e+00,2.867369408797865171e-01,3.606527311448050610e-01,3.584528477671050650e-01,9.730805137592583032e-01,9.841643279940351929e-01,2.846157015228750198e-01,2.861017463986518239e-01,1.014116829106741058e+00,7.058414553370511157e-01,-6.099727487760864264e-01,5.221232939101809745e-01
2.481343091071562146e+00,2.872454606857489101e-01,3.612750615823195344e-01,3.590784297143928550e-01,9.729423997177140127e-01,9.840121546821075649e-01,2.850663583783682453e-01,2.865567443910563838e-01,1.014053134948739832e+00,7.026567474369928012e-01,-6.080220035963259662e-01,5.228207288879562764e-01
2.475179958296778171e+00,2.877548823371179898e-01,3.618983771090714674e-01,3.597050062039147122e-01,9.728036044988936926e-01,9.838591919928197926e-01,2.855174530740577366e-01,2.870121512519997475e-01,1.013989715031913930e+00,6.994857515957010330e-01,-6.060737057396921035e-01,5.235050123378324205e-01
2.469027736312630061e+00,2.882652074332909264e-01,3.625226786800140322e-01,3.603325781274455686e-01,9.726641250231125024e-01,9.837054380574642432e-01,2.859689840921172954e-01,2.874679655733330397e-01,1.013926567916507704e+00,6.963283958253866368e-01,-6.041278743009587116e-01,5.241762444884188188e-01
