family,instance_id,heuristic,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,backtracks,max_depth,search_cost
random_3sat,16,moms,18,83,4.611111111111111,1,1,0,4,13,0,0,4,1.840549633397487
random_3sat,16,maat_v16_branch,18,83,4.611111111111111,1,1,0,12,30,3,5,7,2.89314568477889
random_3sat,16,maat_v16_heavy,18,83,4.611111111111111,1,1,0,8,27,2,3,5,2.5649493574615367
planted_3sat,17,random,18,83,4.611111111111111,1,1,0,7,18,1,1,6,2.336986519711378
planted_3sat,17,first,18,83,4.611111111111111,1,1,0,44,134,19,37,10,4.282896668766692
planted_3sat,17,degree,18,83,4.611111111111111,1,1,0,16,84,7,12,4,3.4094961844768505
planted_3sat,17,jeroslow_wang,18,83,4.611111111111111,1,1,0,8,33,2,3,5,2.6100697927420065
planted_3sat,17,moms,18,83,4.611111111111111,1,1,0,10,39,3,5,5,2.8302678338264595
planted_3sat,17,maat_v16_branch,18,83,4.611111111111111,1,1,0,8,33,2,3,5,2.6100697927420065
planted_3sat,17,maat_v16_heavy,18,83,4.611111111111111,1,1,0,10,56,4,6,4,2.954910279033736
random_3sat,18,random,18,83,4.611111111111111,1,1,0,4,12,0,0,4,1.824549292051046
random_3sat,18,first,18,83,4.611111111111111,1,1,0,24,77,9,16,8,3.6648428762856953
random_3sat,18,degree,18,83,4.611111111111111,1,1,0,13,43,4,7,6,3.0492730404820207
random_3sat,18,jeroslow_wang,18,83,4.611111111111111,1,1,0,11,34,3,5,6,2.859339648648436
random_3sat,18,moms,18,83,4.611111111111111,1,1,0,10,34,3,5,5,2.800325477211381
random_3sat,18,maat_v16_branch,18,83,4.611111111111111,1,1,0,13,43,4,7,6,3.0492730404820207
random_3sat,18,maat_v16_heavy,18,83,4.611111111111111,1,1,0,16,55,6,10,6,3.2809112157876537
planted_3sat,19,random,18,83,4.611111111111111,1,1,0,7,23,2,2,5,2.4336133554004498
planted_3sat,19,first,18,83,4.611111111111111,1,1,0,8,14,1,1,7,2.3933394562625097
planted_3sat,19,degree,18,83,4.611111111111111,1,1,0,8,46,3,5,4,2.7504709169861625
planted_3sat,19,jeroslow_wang,18,83,4.611111111111111,1,1,0,6,34,2,3,3,2.4595888418037104
planted_3sat,19,moms,18,83,4.611111111111111,1,1,0,6,30,2,2,4,2.4069451083182885
planted_3sat,19,maat_v16_branch,18,83,4.611111111111111,1,1,0,6,34,2,3,3,2.4595888418037104
planted_3sat,19,maat_v16_heavy,18,83,4.611111111111111,1,1,0,6,35,2,3,3,2.468099531471619
random_3sat,20,random,18,83,4.611111111111111,1,1,0,5,12,0,0,5,1.9740810260220096
random_3sat,20,first,18,83,4.611111111111111,1,1,0,12,63,5,8,5,3.120159851929043
random_3sat,20,degree,18,83,4.611111111111111,1,1,0,5,17,1,1,4,2.1102132003465894
random_3sat,20,jeroslow_wang,18,83,4.611111111111111,1,1,0,3,14,0,0,3,1.6863989535702288
random_3sat,20,moms,18,83,4.611111111111111,1,1,0,3,14,0,0,3,1.6863989535702288
