z,E_LCDM,D_growth,fsigma8_ref,U_struct,d_H,d_S,d_V,d_R,Gamma_H,Gamma_V,Gamma_R,CCI_v02_norm,CCI_v03_norm,F_struct_v03,curvature_log_CCI_v03
0.314922049,1.183706405,0.8475207724,0.4751805173,0.1655086323,0.1853457825,0.1655086323,0.2651070411,0.2252264118,0.843635684,0.7904469484,0.8161756802,1.758129135,1.705767994,1.217410011,-0.2160514537
0.3192650334,1.186709915,0.8455927425,0.4753590465,0.1678476238,0.1855363782,0.1678476238,0.2650602903,0.2252983343,0.8435000548,0.7904761596,0.8161277724,1.773811767,1.720157049,1.22237622,-0.1778257494
0.3236080178,1.189725607,0.843670112,0.4755277053,0.1701860054,0.185797885,0.1701860054,0.2650227694,0.2254103272,0.8433140357,0.7904996054,0.8160531846,1.789610357,1.734661621,1.227527518,-0.1343242207
0.3279510022,1.192753454,0.841752891,0.4756865899,0.1725237004,0.1861309968,0.1725237004,0.2649973058,0.2255641513,0.8430772003,0.7905155176,0.8159507594,1.805525411,1.749284015,1.232870189,-0.08451379552
0.3322939866,1.195793429,0.8398410892,0.4758357965,0.1748606326,0.1865361527,0.1748606326,0.2649872386,0.2257616956,0.8427893223,0.7905218088,0.8158192604,1.821557436,1.764026795,1.238410767,-0.0272649589
0.336636971,1.198845503,0.8379347155,0.4759754207,0.1771967267,0.1870135592,0.1771967267,0.2649964869,0.2260050231,0.8424503598,0.7905160293,0.8156573433,1.837706936,1.778892838,1.244156202,0.03864116167
0.3409799555,1.20190965,0.8360337782,0.476105558,0.1795319076,0.1875632152,0.1795319076,0.2650296248,0.22629642,0.8420604371,0.7904953215,0.8154635239,1.853974414,1.793885385,1.250114053,0.1145015075
0.3453229399,1.20498584,0.8341382851,0.4762263038,0.1818661013,0.1881849372,0.1818661013,0.26509196,0.2266384486,0.8416198259,0.7904563712,0.8152361449,1.870360372,1.809008101,1.256292673,0.2016747373
0.3496659243,1.208074046,0.8322482434,0.4763377529,0.1841992339,0.1888783873,0.1841992339,0.2651896183,0.2270340028,0.8411289251,0.790395357,0.8149733404,1.886865312,1.824265133,1.262701425,0.3015589043
0.3540089087,1.211174241,0.8303636597,0.4764399999,0.1865312325,0.1896431012,0.1865312325,0.2653296298,0.2274863655,0.8405882395,0.790307898,0.8146730001,1.903489733,1.839661183,1.269350891,0.4155622525
