gamma,alpha,z_tr
3.125000000000000000e+00,1.875000000000000000e+00,1.442926463231615886e+00
3.125000000000000000e+00,1.937500000000000000e+00,1.459379689844922501e+00
3.125000000000000000e+00,2.000000000000000000e+00,1.475832916458229116e+00
3.312500000000000000e+00,5.000000000000000000e-01,9.672786393196598498e-01
3.312500000000000000e+00,5.625000000000000000e-01,9.971935967983992510e-01
3.312500000000000000e+00,6.250000000000000000e-01,1.025612806403201738e+00
3.312500000000000000e+00,6.875000000000000000e-01,1.054032016008004113e+00
3.312500000000000000e+00,7.500000000000000000e-01,1.080955477738869464e+00
3.312500000000000000e+00,8.125000000000000000e-01,1.107878939469734814e+00
3.312500000000000000e+00,8.750000000000000000e-01,1.133306653326663360e+00
3.312500000000000000e+00,9.375000000000000000e-01,1.157238619309654881e+00
3.312500000000000000e+00,1.000000000000000000e+00,1.181170585292646402e+00
3.312500000000000000e+00,1.062500000000000000e+00,1.205102551275637923e+00
3.312500000000000000e+00,1.125000000000000000e+00,1.227538769384692419e+00
