gamma,alpha,z_tr
2.750000000000000000e+00,1.562500000000000000e+00,1.323266633316658281e+00
2.750000000000000000e+00,1.625000000000000000e+00,1.342711355677838947e+00
2.750000000000000000e+00,1.687500000000000000e+00,1.360660330165082588e+00
2.750000000000000000e+00,1.750000000000000000e+00,1.378609304652326228e+00
2.750000000000000000e+00,1.812500000000000000e+00,1.396558279139569869e+00
2.750000000000000000e+00,1.875000000000000000e+00,1.413011505752876484e+00
2.750000000000000000e+00,1.937500000000000000e+00,1.429464732366183100e+00
2.750000000000000000e+00,2.000000000000000000e+00,1.445917958979489715e+00
2.937500000000000000e+00,5.000000000000000000e-01,9.268934467233617136e-01
2.937500000000000000e+00,5.625000000000000000e-01,9.583041520760380294e-01
2.937500000000000000e+00,6.250000000000000000e-01,9.882191095547774307e-01
2.937500000000000000e+00,6.875000000000000000e-01,1.018134067033516832e+00
2.937500000000000000e+00,7.500000000000000000e-01,1.046553276638319208e+00
2.937500000000000000e+00,8.125000000000000000e-01,1.073476738369184558e+00
2.937500000000000000e+00,8.750000000000000000e-01,1.098904452226113104e+00
2.937500000000000000e+00,9.375000000000000000e-01,1.124332166083041651e+00
2.937500000000000000e+00,1.000000000000000000e+00,1.149759879939969975e+00
2.937500000000000000e+00,1.062500000000000000e+00,1.172196098049024471e+00
2.937500000000000000e+00,1.125000000000000000e+00,1.196128064032015992e+00
2.937500000000000000e+00,1.187500000000000000e+00,1.218564282141070487e+00
2.937500000000000000e+00,1.250000000000000000e+00,1.239504752376188179e+00
2.937500000000000000e+00,1.312500000000000000e+00,1.260445222611305649e+00
2.937500000000000000e+00,1.375000000000000000e+00,1.281385692846423341e+00
2.937500000000000000e+00,1.437500000000000000e+00,1.300830415207603785e+00
2.937500000000000000e+00,1.500000000000000000e+00,1.320275137568784452e+00
2.937500000000000000e+00,1.562500000000000000e+00,1.339719859929965118e+00
2.937500000000000000e+00,1.625000000000000000e+00,1.357668834417208759e+00
2.937500000000000000e+00,1.687500000000000000e+00,1.375617808904452399e+00
2.937500000000000000e+00,1.750000000000000000e+00,1.393566783391695818e+00
2.937500000000000000e+00,1.812500000000000000e+00,1.411515757878939459e+00
2.937500000000000000e+00,1.875000000000000000e+00,1.427968984492246296e+00
2.937500000000000000e+00,1.937500000000000000e+00,1.444422211105552911e+00
2.937500000000000000e+00,2.000000000000000000e+00,1.460875437718859526e+00
3.125000000000000000e+00,5.000000000000000000e-01,9.478339169584792945e-01
3.125000000000000000e+00,5.625000000000000000e-01,9.777488744372186957e-01
3.125000000000000000e+00,6.250000000000000000e-01,1.007663831915957875e+00
3.125000000000000000e+00,6.875000000000000000e-01,1.036083041520760473e+00
3.125000000000000000e+00,7.500000000000000000e-01,1.064502251125562848e+00
3.125000000000000000e+00,8.125000000000000000e-01,1.091425712856428198e+00
3.125000000000000000e+00,8.750000000000000000e-01,1.116853426713356745e+00
3.125000000000000000e+00,9.375000000000000000e-01,1.142281140570285292e+00
3.125000000000000000e+00,1.000000000000000000e+00,1.166213106553276591e+00
3.125000000000000000e+00,1.062500000000000000e+00,1.188649324662331308e+00
3.125000000000000000e+00,1.125000000000000000e+00,1.212581290645322829e+00
3.125000000000000000e+00,1.187500000000000000e+00,1.233521760880440299e+00
3.125000000000000000e+00,1.250000000000000000e+00,1.255957978989494794e+00
3.125000000000000000e+00,1.312500000000000000e+00,1.275402701350675461e+00
3.125000000000000000e+00,1.375000000000000000e+00,1.296343171585792931e+00
3.125000000000000000e+00,1.437500000000000000e+00,1.315787893946973597e+00
3.125000000000000000e+00,1.500000000000000000e+00,1.335232616308154041e+00
3.125000000000000000e+00,1.562500000000000000e+00,1.354677338669334707e+00
3.125000000000000000e+00,1.625000000000000000e+00,1.372626313156578348e+00
3.125000000000000000e+00,1.687500000000000000e+00,1.390575287643821989e+00
3.125000000000000000e+00,1.750000000000000000e+00,1.408524262131065630e+00
3.125000000000000000e+00,1.812500000000000000e+00,1.424977488744372245e+00
