feature_set,held_out_family,n_test,r2,rmse,spearman
mean_only,pigeonhole,5,-3.642330476355971,5.256264429238335,0.22360679774997894
mean_only,planted_3sat,96,-0.12597683233584478,0.7816053476340004,0.26892084418618906
mean_only,random_3sat,96,-0.15578464931158287,0.925437186181538,0.3331422788748323
mean_only,xor3_cnf,54,-1.3840572771979724,0.8853209288293372,0.0
mean_only,ALL_LFO,395,-1.8203823325282706,1.6440424140491248,-0.07985415666626589
mean_plus_tail,graph_coloring,72,-1.7797123928629115,1.2976421280389436,0.13255297945561575
mean_plus_tail,modular_3sat,72,-0.8904173068941874,0.6965228818604404,0.10701652839410897
mean_plus_tail,pigeonhole,5,-3.7699458631965452,5.328020701259721,0.09999999999999999
mean_plus_tail,planted_3sat,96,-0.017007473186646305,0.7428221867481601,0.3480151113421836
mean_plus_tail,random_3sat,96,-0.13625304963313867,0.9175843892701078,0.3131318269545507
mean_plus_tail,xor3_cnf,54,-0.29320435458129124,0.6520425956235636,-0.19817416001617122
mean_plus_tail,ALL_LFO,395,-0.20162493473618093,1.0731081436368406,0.043678368053306854
mean_tail_cluster,graph_coloring,72,-1.8611499226772765,1.3165134865460382,0.13631540026985814
mean_tail_cluster,modular_3sat,72,-0.871338882257336,0.692999253204602,0.09405749565888484
mean_tail_cluster,pigeonhole,5,-3.733565495386064,5.30766340894919,0.9999999999999999
mean_tail_cluster,planted_3sat,96,-0.03600825014483666,0.7497291583324479,0.38092363622441694
mean_tail_cluster,random_3sat,96,-0.14305655607822132,0.920327384873178,0.31876125461813315
mean_tail_cluster,xor3_cnf,54,-0.3024562061369156,0.6543708626471312,-0.32476319356371974
mean_tail_cluster,ALL_LFO,395,-0.21154388457262474,1.077528087825408,0.038994853800522505
mean_tail_cluster_scale,graph_coloring,72,-8.710297184692664,2.425332384184775,0.07322249738487072
mean_tail_cluster_scale,modular_3sat,72,-0.28208951260010195,0.5736086868775995,0.07556756061483054
mean_tail_cluster_scale,pigeonhole,5,-4.148983600296499,5.535666690807934,0.8999999999999998
mean_tail_cluster_scale,planted_3sat,96,-0.19936296819667176,0.8066740984983246,0.37387665408248766
mean_tail_cluster_scale,random_3sat,96,-0.09681714105142669,0.9015204858529209,0.35948304219903604
mean_tail_cluster_scale,xor3_cnf,54,-0.1717353100080865,0.620664844845005,0.05008767248608677
mean_tail_cluster_scale,ALL_LFO,395,-1.0122514369989846,1.3886734998310482,-0.09953604905211567
