case,t,energy,enstrophy,palinstrophy,equation_residual_defect,enstrophy_balance_defect,activity_pressure,low_mode_fraction,high_mode_fraction,H,B,S_eff,V,R_resp,R_rob,MAAT_warning
2d_navier_stokes_regular_control,0.96,0.12282616755454988,0.4824065433823956,5.26726364580568,0.051595184349844316,0.0675880770669199,1.096598084019687,0.988256396028685,0.01174360397131502,0.9509362679501586,0.9366908655887103,0.9947648693198493,0.988256396028685,0.9583830189305581,0.9583830189305581,0.04409250591710495
2d_navier_stokes_regular_control,1.0,0.12275238803486241,0.4816132547812032,5.315410290893277,0.052215373711818856,0.0672302821169548,1.106621793160785,0.9873667440917762,0.01263325590822384,0.9503757738041568,0.9370048964656466,0.9936841587993511,0.9873667440917762,0.9580141072067269,0.9580141072067269,0.044725498295126655
2d_navier_stokes_regular_control,1.04,0.12267871456560024,0.48081219902341715,5.365299742073164,0.052953581925240405,0.06685577193028025,1.117008339241542,0.98640852421381,0.013591475786190022,0.9497094811829985,0.9373338236626709,0.9924702787621593,0.98640852421381,0.9575922583908942,0.9575922583908942,0.04542932691291983
2d_navier_stokes_regular_control,1.08,0.12260514831008727,0.48000311003210716,5.416839894821473,0.05382190163417002,0.0664656342273668,1.1277385469080756,0.9853754309241575,0.01462456907584253,0.9489269471903098,0.9376767219737747,0.9911189995858497,0.9853754309241575,0.9571115297858717,0.9571115297858717,0.04621150820419227
2d_navier_stokes_regular_control,1.12,0.122531690502912,0.47918573655676533,5.469933157622232,0.05483135425042647,0.06606094193596164,1.1387920984628812,0.9842636837697823,0.01573631623021765,0.9480188429842512,0.9380326777416726,0.9896271868415286,0.9842636837697823,0.9565671583897806,0.9565671583897806,0.047078373171151586
2d_navier_stokes_regular_control,1.16,0.12245834244603021,0.4783598430091043,5.524476544834035,0.05599306568233983,0.06564275709979224,1.1501475531988588,0.9830725795431534,0.016927420456846587,0.9469759153710358,0.9384007851951787,0.987992865687415,0.9830725795431534,0.9559553900613273,0.9559553900613273,0.04803518923564032
2d_navier_stokes_regular_control,1.2,0.12238510550462862,0.4775252102767653,5.580361891081308,0.05731892231960786,0.06521213517138737,1.1617823920336943,0.9818048298246198,0.018195170175380193,0.9457884266424947,0.9387801424540707,0.9862152662568207,0.9818048298246198,0.9552733998499313,0.9552733998499313,0.04908618892534382
2d_navier_stokes_regular_control,1.24,0.12231198110276884,0.47668163649725853,5.637476186719821,0.05881999920601889,0.064770129875923,1.173673087350835,0.9804666575640865,0.019533342435913537,0.9444475933113027,0.9391698470321753,0.9842948484677696,0.9804666575640865,0.9545198069896588,0.9545198069896588,0.050233947289224166
2d_navier_stokes_regular_control,1.28,0.12223897071883563,0.4758289377739369,5.695702043046287,0.060501924616674294,0.06431779954455272,1.1857951998520484,0.9790676466205487,0.02093235337945132,0.9429497267168628,0.9395689900403095,0.9822333047806536,0.9790676466205487,0.9536960218327741,0.9536960218327741,0.051477816268220254
2d_navier_stokes_regular_control,1.32,0.12216607588081878,0.474966948813144,5.75491831087226,0.06235851312788114,0.06385621585735743,1.1981235073390806,0.9776203578674347,0.02237964213256527,0.9413018182117445,0.9399766482485643,0.9800335391940126,0.9776203578674347,0.9528080102944767,0.9528080102944767,0.05281183723564017
