k_hMpc,t,delta_lambda_a
1.000000000000000021e-02,9.389389389389389606e+00,6.268392522501991948e+01
1.000000000000000021e-02,9.399399399399399613e+00,6.331454293144620493e+01
1.000000000000000021e-02,9.409409409409409619e+00,6.395150482706739581e+01
1.000000000000000021e-02,9.419419419419419626e+00,6.459487473618970910e+01
1.000000000000000021e-02,9.429429429429429632e+00,6.524471712520960409e+01
1.000000000000000021e-02,9.439439439439439639e+00,6.590109710907339036e+01
1.000000000000000021e-02,9.449449449449449645e+00,6.656408045780182192e+01
1.000000000000000021e-02,9.459459459459459651e+00,6.723373360308029589e+01
1.000000000000000021e-02,9.469469469469469658e+00,6.791012364491541575e+01
1.000000000000000021e-02,9.479479479479479664e+00,6.859331835835850200e+01
1.000000000000000021e-02,9.489489489489489671e+00,6.928338620029667538e+01
1.000000000000000021e-02,9.499499499499499677e+00,6.998039631631237967e+01
1.000000000000000021e-02,9.509509509509509684e+00,7.068441854761178433e+01
1.000000000000000021e-02,9.519519519519519690e+00,7.139552343802300527e+01
1.000000000000000021e-02,9.529529529529529697e+00,7.211378224106464074e+01
1.000000000000000021e-02,9.539539539539539703e+00,7.283926692708548956e+01
1.000000000000000021e-02,9.549549549549549710e+00,7.357205019047601979e+01
1.000000000000000021e-02,9.559559559559559716e+00,7.431220545695245505e+01
1.000000000000000021e-02,9.569569569569569722e+00,7.505980689091411762e+01
1.000000000000000021e-02,9.579579579579579729e+00,7.581492940287476756e+01
1.000000000000000021e-02,9.589589589589589735e+00,7.657764865696874779e+01
1.000000000000000021e-02,9.599599599599599742e+00,7.734804107853258870e+01
1.000000000000000021e-02,9.609609609609609748e+00,7.812618386176293939e+01
1.000000000000000021e-02,9.619619619619619755e+00,7.891215497745149321e+01
1.000000000000000021e-02,9.629629629629629761e+00,7.970603318079774624e+01
1.000000000000000021e-02,9.639639639639639768e+00,8.050789801930038436e+01
1.000000000000000021e-02,9.649649649649649774e+00,8.131782984072800957e+01
1.000000000000000021e-02,9.659659659659659781e+00,8.213590980117010076e+01
1.000000000000000021e-02,9.669669669669669787e+00,8.296221987316890534e+01
1.000000000000000021e-02,9.679679679679679793e+00,8.379684285393321375e+01
1.000000000000000021e-02,9.689689689689689800e+00,8.463986237363474174e+01
1.000000000000000021e-02,9.699699699699699806e+00,8.549136290378795877e+01
1.000000000000000021e-02,9.709709709709709813e+00,8.635142976571418671e+01
1.000000000000000021e-02,9.719719719719719819e+00,8.722014913909097800e+01
1.000000000000000021e-02,9.729729729729729826e+00,8.809760807058734144e+01
1.000000000000000021e-02,9.739739739739739832e+00,8.898389448258595280e+01
1.000000000000000021e-02,9.749749749749749839e+00,8.987909718199307463e+01
1.000000000000000021e-02,9.759759759759759845e+00,9.078330586913710931e+01
1.000000000000000021e-02,9.769769769769769852e+00,9.169661114675666624e+01
1.000000000000000021e-02,9.779779779779779858e+00,9.261910452907906688e+01
1.000000000000000021e-02,9.789789789789789864e+00,9.355087845099018296e+01
1.000000000000000021e-02,9.799799799799799871e+00,9.449202627729647475e+01
1.000000000000000021e-02,9.809809809809809877e+00,9.544264231208030935e+01
1.000000000000000021e-02,9.819819819819819884e+00,9.640282180814928381e+01
1.000000000000000021e-02,9.829829829829829890e+00,9.737266097658071828e+01
1.000000000000000021e-02,9.839839839839839897e+00,9.835225699636207253e+01
1.000000000000000021e-02,9.849849849849849903e+00,9.934170802412842249e+01
1.000000000000000021e-02,9.859859859859859910e+00,1.003411132039978213e+02
1.000000000000000021e-02,9.869869869869869916e+00,1.013505726775056957e+02
1.000000000000000021e-02,9.879879879879879923e+00,1.023701875936391303e+02
1.000000000000000021e-02,9.889889889889889929e+00,1.034000601189721209e+02
1.000000000000000021e-02,9.899899899899899935e+00,1.044402934479027323e+02
1.000000000000000021e-02,9.909909909909909942e+00,1.054909918129933715e+02
1.000000000000000021e-02,9.919919919919919948e+00,1.065522604954149415e+02
1.000000000000000021e-02,9.929929929929929955e+00,1.076242058354961557e+02
1.000000000000000021e-02,9.939939939939939961e+00,1.087069352433789931e+02
1.000000000000000021e-02,9.949949949949949968e+00,1.098005572097812745e+02
1.000000000000000021e-02,9.959959959959959974e+00,1.109051813168675693e+02
1.000000000000000021e-02,9.969969969969969981e+00,1.120209182492294531e+02
1.000000000000000021e-02,9.979979979979979987e+00,1.131478798049762275e+02
1.000000000000000021e-02,9.989989989989989994e+00,1.142861789069372236e+02
1.000000000000000021e-02,1.000000000000000000e+01,1.154359296139767963e+02
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.001001001001000992e-02,1.051845496289940658e-04
1.000000000000000056e-01,2.002002002002001985e-02,2.103733337488754057e-04
1.000000000000000056e-01,3.003003003003002977e-02,3.155769555728552478e-04
1.000000000000000056e-01,4.004004004004003969e-02,4.208060191678604641e-04
1.000000000000000056e-01,5.005005005005004615e-02,5.260711305234162111e-04
1.000000000000000056e-01,6.006006006006005954e-02,6.313828986206576968e-04
1.000000000000000056e-01,7.007007007007007293e-02,7.367519365015786584e-04
1.000000000000000056e-01,8.008008008008007939e-02,8.421888623386246690e-04
1.000000000000000056e-01,9.009009009009008584e-02,9.477043005047384484e-04
1.000000000000000056e-01,1.001001001001000923e-01,1.053308882643966141e-03
1.000000000000000056e-01,1.101101101101101126e-01,1.159013248742730810e-03
1.000000000000000056e-01,1.201201201201201191e-01,1.264828048201882549e-03
1.000000000000000056e-01,1.301301301301301394e-01,1.370763940909633079e-03
1.000000000000000056e-01,1.401401401401401459e-01,1.476831598315481641e-03
1.000000000000000056e-01,1.501501501501501523e-01,1.583041704505242214e-03
1.000000000000000056e-01,1.601601601601601588e-01,1.689404957277278315e-03
