z,a,D_LCDM,D_MAAT,fsigma8_LCDM,fsigma8_MAAT,dD_pct,dfsigma8_pct
4.023162591029750246e+01,2.425322741760354422e-02,9.310158055269901478e-02,9.304422533170114695e-02,5.349647345475856686e-02,5.346352321735822755e-02,-6.160499172772110343e-02,-6.159328881408415723e-02
3.985285803928561421e+01,2.447809157044442824e-02,9.371208110089182530e-02,9.365434985375602206e-02,5.380239862628496267e-02,5.376926017777873545e-02,-6.160491417712612994e-02,-6.159288312851826652e-02
3.947756965997319867e+01,2.470504055456826734e-02,9.432607787665941990e-02,9.426796845247088774e-02,5.411094236938889662e-02,5.407761410453511969e-02,-6.160483452361489171e-02,-6.159246798228202452e-02
3.910572880855495725e+01,2.493409369951880492e-02,9.494360069436842686e-02,9.488511092393672741e-02,5.442210776461970517e-02,5.438858807651144461e-02,-6.160475272049457940e-02,-6.159204316972818199e-02
3.873730381485606244e+01,2.516527051405392790e-02,9.556467940510561532e-02,9.550580710094480619e-02,5.473589818051559364e-02,5.470218546040753194e-02,-6.160466871996206351e-02,-6.159160848494572849e-02
3.837226329963479543e+01,2.539859068780726467e-02,9.618934389993383238e-02,9.613008685624054028e-02,5.505231726998254665e-02,5.501840990712451168e-02,-6.160458247322846831e-02,-6.159116371387162586e-02
3.801057617190991778e+01,2.563407409296515962e-02,9.681762411310725069e-02,9.675798010573687102e-02,5.537136896676798925e-02,5.533726534824476989e-02,-6.160449393046510402e-02,-6.159070862720983364e-02
3.765221162631262075e+01,2.587174078595923590e-02,9.744955002524698096e-02,9.738951681168817043e-02,5.569305748201881789e-02,5.565875599257744111e-02,-6.160440304060642303e-02,-6.159024300731099494e-02
3.729713914046279655e+01,2.611161100917460537e-02,9.808515166647797934e-02,9.802472698582502530e-02,5.601738730091008339e-02,5.598288632280125354e-02,-6.160430975161049205e-02,-6.158976662638697419e-02
3.694532847236938977e+01,2.635370519267395129e-02,9.872445911952801301e-02,9.866364069245157908e-02,5.634436317934844035e-02,5.630966109217207249e-02,-6.160421401022782989e-02,-6.158927924326422498e-02
3.659674965785465162e+01,2.659804395593760168e-02,9.936750252278959972e-02,9.930628805150562566e-02,5.667399014076898028e-02,5.663908532131121248e-02,-6.160411576202665801e-02,-6.158878062241585766e-02
3.625137300800210483e+01,2.684464810961964543e-02,1.000143120733459484e-01,9.995269924158274588e-02,5.700627347298743708e-02,5.697116429507212421e-02,-6.160401495139864597e-02,-6.158827051192784785e-02
3.590916910662776473e+01,2.709353865732053168e-02,1.006649180299615115e-01,1.006029045029251806e-01,5.734121872513987805e-02,5.730590355947432629e-02,-6.160391152146315469e-02,-6.158774865743946170e-02
3.557010880777490769e+01,2.734473679737581611e-02,1.013193507160381063e-01,1.012569341403761758e-01,5.767883170468728754e-02,5.764330891870642071e-02,-6.160380541409293115e-02,-6.158721480827092365e-02
3.523416323323147736e+01,2.759826392466182068e-02,1.019776405225374105e-01,1.019148185263007433e-01,5.801911847449605503e-02,5.798338643221719046e-02,-6.160369656991945830e-02,-6.158666870226853218e-02
3.490130377007069740e+01,2.785414163241767965e-02,1.026398179108705816e-01,1.025765881034736704e-01,5.836208534997317648e-02,5.832614241185647003e-02,-6.160358492823721915e-02,-6.158611005959021417e-02
3.457150206821383875e+01,2.811239171408465645e-02,1.033059134157557069e-01,1.032422733879353460e-01,5.870773889629079395e-02,5.867158341908575159e-02,-6.160347042694534064e-02,-6.158553861001568597e-02
3.424473003801585946e+01,2.837303616516213128e-02,1.039759576480441261e-01,1.039119049718163490e-01,5.905608592566003595e-02,5.901971626226613921e-02,-6.160335300261789854e-02,-6.158495407175981068e-02
3.392095984787270169e+01,2.863609718508117186e-02,1.046499812975159593e-01,1.045855135261314350e-01,5.940713349467219295e-02,5.937054799399733157e-02,-6.160323259040521165e-02,-6.158435615841063859e-02
3.360016392185109169e+01,2.890159717909511483e-02,1.053280151356459082e-01,1.052631298035437146e-01,5.976088890171458307e-02,5.972408590854067639e-02,-6.160310912403647171e-02,-6.158374456985489520e-02
3.328231493733969870e+01,2.916955876018796981e-02,1.060100900183398726e-01,1.059447846410997429e-01,6.011735968442202815e-02,6.008033753926592113e-02,-6.160298253574893190e-02,-6.158311900331249478e-02
3.296738582272206486e+01,2.944000475100036138e-02,1.066962368886430895e-01,1.066305089629361325e-01,6.047655361722499567e-02,6.043931065620408022e-02,-6.160285275623741258e-02,-6.158247914826263381e-02
3.265534975507092952e+01,2.971295818577335268e-02,1.073864867794205730e-01,1.073203337829583826e-01,6.083847870893108883e-02,6.080101326362631620e-02,-6.160271971470055591e-02,-6.158182469357622452e-02
3.234618015786362832e+01,2.998844231231030319e-02,1.080808708160104353e-01,1.080142902074927580e-01,6.120314320036750882e-02,6.116545359769424289e-02,-6.160258333874794184e-02,-6.158115531726418568e-02
3.203985069871857405e+01,3.026648059395693063e-02,1.087794202188506892e-01,1.087124094379115780e-01,6.157055556208831937e-02,6.153264012417081902e-02,-6.160244355439099123e-02,-6.158047068337083735e-02
3.173633528715245689e+01,3.054709671159970205e-02,1.094821663060803474e-01,1.094147227732329003e-01,6.194072449213318399e-02,6.190258153617198000e-02,-6.160230028596123258e-02,-6.157977045626637780e-02
3.143560807235810728e+01,3.083031456568277595e-02,1.101891404961152232e-01,1.101212616126948096e-01,6.231365891383617434e-02,6.227528675198528568e-02,-6.160215345613544863e-02,-6.157905428719491481e-02
