dataset_id,family,split,gate_shuffled_R,gate_v17,jeroslow_wang,moms,progress_only,score_with_R,vsids,alpha,H,B,S,V,R_rob,G_gate,degree_cv,literal_imbalance,clustering_mean,largest_component_frac,delta_gate_vs_score_with_R,regret_gate_to_score_with_R,delta_gate_vs_moms,regret_gate_to_moms,delta_gate_vs_jeroslow_wang,regret_gate_to_jeroslow_wang,delta_gate_vs_vsids,regret_gate_to_vsids,delta_gate_vs_progress_only,regret_gate_to_progress_only,delta_gate_vs_gate_shuffled_R,regret_gate_to_gate_shuffled_R,delta_moms_vs_score_with_R
uf20-91_uf20-01,satlib_random_3sat_uf20,calibration,5.5360000000000005,7.351999999999999,6.2,7.256,7.172,0.968,3.96,4.55,0.7698957042142732,0.8220794645026646,0.9734469010825562,0.9215777763015414,0.835524578102855,0.7433273655153347,0.2164274175185393,0.2988772304172843,0.7759365037186895,1.0,-6.3839999999999995,6.3839999999999995,-0.0959999999999992,0.0959999999999992,-1.1519999999999992,1.1519999999999992,-3.3919999999999995,3.3919999999999995,-0.17999999999999972,0.17999999999999972,-1.815999999999999,1.815999999999999,-6.288
uf20-91_uf20-010,satlib_random_3sat_uf20,calibration,1.856,2.892,1.26,1.26,1.556,3.196,1.56,4.55,0.7926580906860032,0.8454370214828676,0.9734469010825562,0.9310366968960846,0.8544985284669354,0.8429594296192963,0.182820215568552,0.2615779889845739,0.8029619911316701,1.0,0.30400000000000027,-0.30400000000000027,-1.632,1.632,-1.632,1.632,-1.3319999999999999,1.3319999999999999,-1.3359999999999999,1.3359999999999999,-1.0359999999999998,1.0359999999999998,1.9360000000000002
uf20-91_uf20-0100,satlib_random_3sat_uf20,test,1.264,2.884,1.264,0.968,1.264,1.264,6.351999999999999,4.55,0.8354233086150067,0.8086893413431722,0.9734469010825562,0.9363897594034803,0.8584499655749788,0.8592319140883858,0.2365687896158927,0.1969979646101018,0.8182564554385152,1.0,-1.6199999999999999,1.6199999999999999,-1.916,1.916,-1.6199999999999999,1.6199999999999999,3.4679999999999995,-3.4679999999999995,-1.6199999999999999,1.6199999999999999,-1.6199999999999999,1.6199999999999999,0.29600000000000004
uf20-91_uf20-01000,satlib_random_3sat_uf20,test,9.012,4.9879999999999995,2.2920000000000003,3.3040000000000003,2.6,2.2920000000000003,4.9639999999999995,4.55,0.8154512607827686,0.8187785072584971,0.9734469010825562,0.9333023047183924,0.8541397369962878,0.8414085409890054,0.2213315214492913,0.22631486158974,0.8094351563382636,1.0,-2.6959999999999993,2.6959999999999993,-1.6839999999999993,1.6839999999999993,-2.6959999999999993,2.6959999999999993,-0.02400000000000002,0.02400000000000002,-2.3879999999999995,2.3879999999999995,4.024000000000001,-4.024000000000001,-1.012
uf20-91_uf20-0101,satlib_random_3sat_uf20,test,2.88,1.848,1.848,2.3200000000000003,1.552,10.164,2.576,4.55,0.8250588085160263,0.7889861069053323,0.9734469010825562,0.9245385957967042,0.8442928324106181,0.7938843353398684,0.2674494408049019,0.2120348145832512,0.7843959879905833,1.0,8.315999999999999,-8.315999999999999,0.4720000000000002,-0.4720000000000002,0.0,0.0,0.728,-0.728,-0.29600000000000004,0.29600000000000004,1.0319999999999998,-1.0319999999999998,7.843999999999999
uuf50-218_uuf50-01,satlib_random_3sat_uuf50,test,143.648,54.6,51.187999999999995,38.52,69.856,63.848,68.004,4.36,0.8465971682730862,0.7995467664846911,0.9968051145430328,0.8001884316890127,0.8151502205997015,0.5988584263803252,0.2507085788072495,0.1811993206164739,0.4291098048257505,1.0,9.247999999999998,-9.247999999999998,-16.08,16.08,-3.412000000000006,3.412000000000006,13.404000000000003,-13.404000000000003,15.255999999999993,-15.255999999999993,89.048,-89.048,25.327999999999996
uuf50-218_uuf50-010,satlib_random_3sat_uuf50,test,32.864,69.668,34.224000000000004,41.828,47.756,55.508,32.256,4.36,0.815134170004733,0.7834332214563531,0.9968051145430328,0.8063201255017887,0.8015172265849548,0.4893346867267158,0.2764329780923292,0.226791903465651,0.4466289300051104,1.0,-14.160000000000004,14.160000000000004,-27.840000000000003,27.840000000000003,-35.444,35.444,-37.412000000000006,37.412000000000006,-21.912000000000006,21.912000000000006,-36.80400000000001,36.80400000000001,13.68
uuf50-218_uuf50-0100,satlib_random_3sat_uuf50,calibration,35.004,33.524,33.604,28.84,35.152,36.196,28.692,4.36,0.8285316499959181,0.7873921702136953,0.9968051145430328,0.8050587894349703,0.8068186532107365,0.532391501731919,0.2700151688435048,0.2069544959506697,0.4430251126713437,1.0,2.671999999999997,-2.671999999999997,-4.684000000000001,4.684000000000001,0.0799999999999983,-0.0799999999999983,-4.832000000000001,4.832000000000001,1.6280000000000001,-1.6280000000000001,1.4799999999999969,-1.4799999999999969,7.355999999999998
uuf50-218_uuf50-01000,satlib_random_3sat_uuf50,test,50.6,79.78,43.808,54.904,50.656,72.288,59.148,4.36,0.8299977060243366,0.8141636959440668,0.9968051145430328,0.7994058942723948,0.8144266762840983,0.5931926194604034,0.2282542257554801,0.2048226070286015,0.4268739836354138,1.0,-7.492000000000004,7.492000000000004,-24.875999999999998,24.875999999999998,-35.972,35.972,-20.631999999999998,20.631999999999998,-29.124000000000002,29.124000000000002,-29.18,29.18,17.383999999999993
uuf50-218_uuf50-0101,satlib_random_3sat_uuf50,calibration,77.75999999999999,60.94,41.29600000000001,39.136,59.748000000000005,81.03999999999999,64.12,4.36,0.8040681653046197,0.7811199449015138,0.9968051145430328,0.8116491025116841,0.798839692650551,0.4676084982680801,0.2802131177511839,0.2436756523262574,0.4618545786048115,1.0,20.099999999999994,-20.099999999999994,-21.803999999999995,21.803999999999995,-19.64399999999999,19.64399999999999,3.180000000000007,-3.180000000000007,-1.191999999999993,1.191999999999993,16.819999999999993,-16.819999999999993,41.90399999999999
