family,instance_id,policy,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,structure_gate,runtime_s,compute_cost
random_3sat,20,mode_a,22,86,3.909090909090909,1,0,0,18,154,17,16,5,0.6183047919184846,0.004314999911002815,23.016
random_3sat,20,mode_a_gated,22,86,3.909090909090909,1,0,0,21,205,19,18,4,0.6183047919184846,0.00498774996958673,26.12
random_3sat,20,random,22,86,3.909090909090909,1,0,0,33,227,26,25,9,0.6183047919184846,0.007255875039845705,36.808
planted_3sat,21,vsids,22,86,3.909090909090909,1,1,0,12,8,0,0,12,0.5841281071225656,0.001353333005681634,3.6319999999999997
planted_3sat,21,progress_only,22,86,3.909090909090909,1,1,0,10,9,0,0,10,0.5841281071225656,0.0012207500403746963,3.036
planted_3sat,21,maat_only,22,86,3.909090909090909,1,1,0,10,9,0,0,10,0.5841281071225656,0.001409832970239222,3.036
planted_3sat,21,mode_a,22,86,3.909090909090909,1,1,0,6,12,0,0,6,0.5841281071225656,0.0010324160102754831,1.8479999999999999
planted_3sat,21,mode_a_gated,22,86,3.909090909090909,1,1,0,10,8,0,0,10,0.5841281071225656,0.0013395830756053329,3.032
planted_3sat,21,random,22,86,3.909090909090909,1,1,0,14,5,0,0,14,0.5841281071225656,0.0017182918963953853,4.22
random_3sat,22,vsids,22,86,3.909090909090909,1,1,0,7,13,0,0,7,0.5894408783730343,0.0009704169351607561,2.152
random_3sat,22,progress_only,22,86,3.909090909090909,1,1,0,7,13,0,0,7,0.5894408783730343,0.0009851249633356929,2.152
random_3sat,22,maat_only,22,86,3.909090909090909,1,1,0,8,12,0,0,8,0.5894408783730343,0.0013184159761294723,2.448
random_3sat,22,mode_a,22,86,3.909090909090909,1,1,0,6,14,0,0,6,0.5894408783730343,0.0008925830479711294,1.8559999999999999
random_3sat,22,mode_a_gated,22,86,3.909090909090909,1,1,0,12,59,5,5,7,0.5894408783730343,0.002244750037789345,8.836
random_3sat,22,random,22,86,3.909090909090909,1,1,0,9,79,6,6,5,0.5894408783730343,0.0022127500269562006,9.016
planted_3sat,23,vsids,22,86,3.909090909090909,1,1,0,12,8,0,0,12,0.5639413563118281,0.0013962079538032413,3.6319999999999997
planted_3sat,23,progress_only,22,86,3.909090909090909,1,1,0,12,8,0,0,12,0.5639413563118281,0.0015562500339001417,3.6319999999999997
planted_3sat,23,maat_only,22,86,3.909090909090909,1,1,0,8,12,0,0,8,0.5639413563118281,0.0012805839069187641,2.448
planted_3sat,23,mode_a,22,86,3.909090909090909,1,1,0,11,8,0,0,11,0.5639413563118281,0.0014371669385582209,3.332
planted_3sat,23,mode_a_gated,22,86,3.909090909090909,1,1,0,11,9,0,0,11,0.5639413563118281,0.0014629169600084424,3.336
planted_3sat,23,random,22,86,3.909090909090909,1,1,0,11,23,1,1,10,0.5639413563118281,0.0015827500028535724,4.3919999999999995
random_3sat,24,vsids,22,94,4.2727272727272725,1,1,0,8,62,5,5,3,0.5246822782176312,0.001917624962516129,7.648000000000001
random_3sat,24,progress_only,22,94,4.2727272727272725,1,1,0,10,48,3,3,7,0.5246822782176312,0.0019779159920290112,6.192
random_3sat,24,maat_only,22,94,4.2727272727272725,1,1,0,9,35,3,3,7,0.5246822782176312,0.0018461250001564622,5.839999999999999
random_3sat,24,mode_a,22,94,4.2727272727272725,1,1,0,5,33,1,1,4,0.5246822782176312,0.0011211250675842166,2.632
random_3sat,24,mode_a_gated,22,94,4.2727272727272725,1,1,0,6,15,0,0,6,0.5246822782176312,0.001031207968480885,1.8599999999999999
random_3sat,24,random,22,94,4.2727272727272725,1,1,0,7,37,3,3,4,0.5246822782176312,0.0014314580475911498,5.247999999999999
planted_3sat,25,vsids,22,94,4.2727272727272725,1,1,0,9,22,2,2,6,0.5603815716205902,0.0016397499712184072,4.787999999999999
planted_3sat,25,progress_only,22,94,4.2727272727272725,1,1,0,7,23,2,2,5,0.5603815716205902,0.0013446250231936574,4.191999999999999
planted_3sat,25,maat_only,22,94,4.2727272727272725,1,1,0,8,12,0,0,8,0.5603815716205902,0.0013349580112844706,2.448
planted_3sat,25,mode_a,22,94,4.2727272727272725,1,1,0,7,15,1,1,6,0.5603815716205902,0.001197167090140283,3.16
planted_3sat,25,mode_a_gated,22,94,4.2727272727272725,1,1,0,8,11,0,0,8,0.5603815716205902,0.0012957080034539104,2.444
