family,instance_id,n_vars,n_clauses,alpha,structure_gate,clustering_mean,degree_cv,v_std,tail_degree_pressure,symmetry_penalty
planted_3sat,37,26,101,3.8846153846153846,0.6007484002338713,0.6448030486148215,0.2617267840423184,0.1532782121019148,0.148014801415442,0.07532430999388788
random_3sat,38,26,101,3.8846153846153846,0.556047499732837,0.6141517220907491,0.2904477941492262,0.12359787466939565,0.17401740167323662,0.08355741658500146
planted_3sat,39,26,101,3.8846153846153846,0.5846394362307671,0.6476008366152617,0.2426359904176326,0.14360119001277738,0.17401740167323662,0.08982818080039912
random_3sat,40,26,101,3.8846153846153846,0.6393076362732323,0.6568581771409173,0.30749796753512637,0.16212671044158908,0.22602260218882617,0.05565709266816231
planted_3sat,41,26,101,3.8846153846153846,0.6571587194436614,0.6431687210069069,0.3322860389472459,0.16345022584471808,0.30403040296221046,0.04862996325798516
random_3sat,42,26,110,4.230769230769231,0.580968044126805,0.6697340614786511,0.22789812939977974,0.14601561485015127,0.13406795219145734,0.09477141569271942
planted_3sat,43,26,110,4.230769230769231,0.4935570545422908,0.6695468456096145,0.17721444261892794,0.11012598424690771,0.13406795219145734,0.16467379721322653
random_3sat,44,26,110,4.230769230769231,0.5797061873489914,0.724433885678762,0.2508388131508415,0.13590650670660767,0.15794306697378194,0.09192812214642654
planted_3sat,45,26,110,4.230769230769231,0.6209794306060158,0.6522168101989537,0.3033937214496436,0.14870170790635812,0.25344352610308046,0.0635359426985195
random_3sat,46,26,110,4.230769230769231,0.5723660234619553,0.6379151507182145,0.22894335473983,0.13872837535361307,0.18181818175610653,0.10018001429970164
planted_3sat,47,26,110,4.230769230769231,0.5464028565593501,0.6531388911670395,0.2978342393778825,0.11561462218523151,0.15794306697378194,0.08606724395830471
random_3sat,48,26,120,4.615384615384615,0.5377545126330786,0.7163602830748184,0.21822799266648749,0.11881150279303904,0.1599326598773381,0.12477591631170634
planted_3sat,49,26,120,4.615384615384615,0.5599099657263253,0.6588277993018395,0.277332977187719,0.11877823601881798,0.225589225529162,0.09287660271270277
random_3sat,50,26,120,4.615384615384615,0.6329024531800596,0.699311866053404,0.30092450139939636,0.15079621434872484,0.26936026929704454,0.06321222098104201
planted_3sat,51,26,120,4.615384615384615,0.5863423359920594,0.703942658708631,0.275882422600856,0.13747974301009708,0.1599326598773381,0.08005217750576736
random_3sat,52,26,120,4.615384615384615,0.5921875181772637,0.6620200560267058,0.29891780114095823,0.1319269760699565,0.24747474741310327,0.07472201837190423
planted_3sat,53,26,120,4.615384615384615,0.57996991808693,0.7076981319542676,0.27660865074679164,0.13120044082825816,0.1818181817612795,0.08404690352824212
