galaxy,family,n_points,mean_residual_fraction,outer_residual_fraction,mean_D_struct,peak_D_struct,mean_R_rob,mean_V,nfw_like_rmse_v2,nfw_like_chi2,nfw_like_rs_kpc,rar_mean_sigma_residual,morphology_proxy,vobs_max,median_gas_fraction_proxy,median_bulge_fraction_proxy,outer_residual_fraction_proxy
UGC00634,unknown,4,0.7989617078268917,0.8357159295510921,0.4337018608863739,0.6086735636259778,0.7917317839563418,0.6897504315387581,667.6633093311353,2.186448867753022,23.532687018360203,1.007988310710752,gas_rich_late_proxy,108.0,0.6606308888188868,0.0,0.8357159295510921
UGC00731,unknown,12,0.8547638720242586,0.7815979805964447,0.3379943681267732,0.7899430005340725,0.7167328489250236,0.5264218542789803,162.89573119445765,0.3367555129369568,8.145065361059286,3.784018312513405,dwarf_proxy,74.0,0.7945189985844656,0.0,0.7815979805964447
UGC00891,unknown,5,0.7419632600480854,0.8131502905603393,0.3502630709542219,0.4070936859650246,0.7335959589691148,0.6603890605300358,248.0548879959594,5.981326150883851,40.0,4.582024757300192,dwarf_proxy,63.75,0.7425134203514432,0.0,0.8131502905603393
UGC01230,unknown,11,0.7617775141345622,0.7868475633156248,0.2553631132895821,0.4244715767462279,0.6128107840786855,0.5617807557479334,2258.906761184996,2.034501156168217,15.808117829913492,1.538552811399473,dm_dominated_disk_proxy,113.0,0.2967231975760563,0.0,0.7868475633156248
UGC01281,unknown,25,0.8253216367359438,0.8152090241425151,0.2670778216361667,0.4324039877213033,0.5899081269646814,0.5503206464885654,415.6460359846316,2.5532058426048296,40.0,0.5005623877663486,dwarf_proxy,56.9,0.4523193968140594,0.0,0.8152090241425151
UGC02023,unknown,5,0.4678942135093275,0.5776783772113209,0.2012305215864567,0.3515114084064775,0.6839788998875573,0.6217192716050355,719.7209720104914,1.040484851872066,38.27021939503432,1.5393519774435478,dwarf_proxy,58.8,0.24242424242424243,0.0,0.5776783772113209
UGC02259,unknown,8,0.8417102553632543,0.8290558516030339,0.3841482265811698,0.7797897592285089,0.7325771925046972,0.5982779046973639,278.39977734644253,0.6242944747257397,3.6754613897046746,6.1534221170755785,dm_dominated_disk_proxy,90.0,0.33638285402856216,0.0,0.8290558516030339
UGC02455,unknown,8,0.0237355935904326,0.0474711871808653,0.005989395363975,0.0479151629118,0.1262396119012936,0.3526660393730644,249.65713803323172,1.665467054130758,40.0,10.957066621466474,dwarf_proxy,61.0,0.09787649937617637,0.0,0.04747118718086535
UGC02487,unknown,17,0.7116554083950843,0.7954997024462632,0.2415609483453895,0.4040648155734791,0.690483446717206,0.5044178710664223,7542.799716023734,5.532697335594754,12.673161446571156,13.877737546032352,bulge_proxy,383.0,0.0392466584417502,0.23938358259402065,0.7954997024462632
UGC02885,unknown,19,0.6010884350455606,0.7125489660167624,0.151474513607281,0.2576113661445054,0.6486553412716167,0.4029913752043146,9000.212747488153,4.698127911679996,35.03183391359687,0.9084214975601004,bulge_proxy,305.0,0.1239702973722034,0.1311059601957121,0.7125489660167624
