galaxy,n_points,rho_Dstruct_nfw_radius,rho_Dstruct_rar_radius,rho_Dstruct_radius
UGC06818,8,0.7142857142857144,-0.7142857142857144,0.8333333333333335
UGC06917,11,0.7363636363636363,0.6454545454545455,-0.7272727272727273
UGC06923,6,-0.6,-0.7714285714285715,0.6
UGC06930,10,0.06666666666666665,-0.6848484848484848,-0.4545454545454545
UGC06973,9,0.8529805141829194,-0.8529805141829194,0.8529805141829194
UGC06983,17,0.014705882352941176,0.3602941176470589,-0.1985294117647059
UGC07089,12,0.034965034965034975,-0.3846153846153847,-0.034965034965034975
UGC07125,13,0.054945054945054944,-0.6208791208791209,-0.532967032967033
UGC07151,11,0.07272727272727274,-0.3272727272727273,0.009090909090909092
UGC07261,7,0.6071428571428572,0.10714285714285716,-0.8571428571428573
UGC07323,10,0.406060606060606,-0.28484848484848485,-0.2727272727272727
UGC07399,10,0.38181818181818183,0.309090909090909,-0.6
UGC07524,31,0.13911290322580647,-0.3213709677419355,-0.36250000000000004
UGC07559,7,-0.10714285714285716,-0.25,-0.03571428571428572
UGC07577,9,0.7833333333333333,-0.19999999999999998,-0.16666666666666669
UGC07603,12,-0.18181818181818185,0.4265734265734266,0.3916083916083916
UGC07608,8,-0.2142857142857143,-0.14285714285714288,-0.09523809523809526
UGC07690,7,0.42857142857142866,0.21428571428571433,0.3214285714285715
UGC07866,7,0.6071428571428572,-0.7857142857142859,-0.8214285714285715
UGC08286,17,0.482843137254902,0.5073529411764706,-0.6715686274509804
UGC08490,30,0.3232480533926585,0.33303670745272523,-0.43003337041156836
UGC08550,11,0.20000000000000004,0.05454545454545456,-0.6727272727272727
UGC08699,41,0.9298475828240446,0.1308932586130942,0.8890632652268888
UGC08837,8,-0.261904761904762,-0.2380952380952381,0.4761904761904762
UGC09037,22,0.2752969537851605,-0.12266825250796677,0.1961561457155045
UGC09133,68,0.7599686991797572,0.5597740009078606,0.8164309338754352
UGC09992,5,-0.7,-0.9999999999999999,-0.9999999999999999
UGC10310,7,0.7500000000000002,-0.8571428571428573,-0.9642857142857145
UGC11455,36,0.7399588298808747,-0.5507209245355571,0.5777549110134595
UGC11557,12,0.9353967811175282,0.3190500648772964,0.8846388162506855
UGC11820,10,0.8303030303030302,-0.6969696969696969,-0.6484848484848483
UGC11914,65,0.40424392751459837,0.2829357838431995,-0.05107136223384238
UGC12506,31,-0.06653225806451614,0.5786290322580646,-0.7096774193548387
UGC12632,15,0.6249999999999999,-0.4964285714285714,-0.7499999999999999
UGC12732,16,0.17058823529411765,-0.12352941176470587,-0.6941176470588235
UGCA281,7,0.42857142857142866,-0.9642857142857145,0.03571428571428572
UGCA442,8,0.9523809523809524,-0.14285714285714288,-0.7619047619047621
UGCA444,36,0.24453024453024458,-0.06306306306306307,-0.8761904761904763
