r_kpc,v_obs_km_s,v_baryon_km_s,v_dark_residual_km_s,residual_fraction,rho_residual_norm,slope_dlnv_dlnr,H,B,S_eff,V,R_resp,R_rob,structural_dark_support,structural_warning
9.984937238493725,201.22260324304264,137.36236944108967,147.04460383651127,0.5340041803245579,0.11825238926110011,0.07498526236884118,1.0,0.9302453112672415,0.771148207870495,0.5702378509893026,0.8095018464116358,0.79973820977437,0.24352779938252428,0.11495960457364143
10.100418410041842,201.39312186692788,136.36378275918233,148.2029294140767,0.5415322282954834,0.116593449433532,0.07236719781175793,1.0,0.9325164011362634,0.7740125807829793,0.5740805832348754,0.8119758497434051,0.8023139422364081,0.24942587559063883,0.11480052386555771
10.215899581589959,201.55594296710495,135.35645013351984,149.3433277806907,0.5490102245630198,0.1149374980694883,0.06983412707984371,0.999999999999982,0.9347243415477324,0.7770578389851313,0.5778967627507866,0.8144128261140532,0.8049090122212949,0.255374473546501,0.11458666715928117
10.331380753138076,201.71141402392465,134.34111495475096,150.46580801047637,0.5564353281521801,0.11328580629062163,0.06738360794821574,1.0,0.9368702990691938,0.7802771863330885,0.5816856072017106,0.8168129157702038,0.807521649643797,0.26137087289202027,0.11431865664761985
10.446861924686193,201.8598668318368,133.31849607424132,151.57039434490295,0.5638048354185472,0.11163958037417725,0.06501325277449155,1.0,0.9389554518639801,0.7836638280012935,0.5854463277612504,0.8191762604396365,0.8101500606559516,0.2674122827222915,0.11399722275812318
10.56234309623431,202.0016182074807,132.2892884752515,152.65712532716083,0.5711161783435501,0.10999996275556485,0.06272072805640505,0.9999999999999822,0.9409809873840382,0.7872109596913363,0.5891781252014732,0.8215030009086817,0.8127924271808867,0.2734958404495372,0.11362320278399864
10.677824267782427,202.13697066581094,131.25416392735835,153.72605296982374,0.5783669226732157,0.10836803318662917,0.06050375395003016,1.0,0.9429481001602555,0.7909117572325431,0.5928801868073363,0.8237932750396835,0.8154469067030045,0.2796186109950096,0.1131975393151178
10.793305439330544,202.26621306570175,130.21377162450608,154.77724195520747,0.5855547659122307,0.10674481002665409,0.05836010375026035,1.0,0.9448579896922952,0.7947593666073519,0.5965516840282699,0.8260472161774348,0.8181116322854274,0.2857775863117182,0.11272127847905394
10.908786610878662,202.38962122640748,129.16873880706507,155.81076886775475,0.5926775351848784,0.10513125164538502,0.05628760333578953,1.0,0.9467118584389029,0.7987468944306416,0.6001917707892922,0.8282649518996392,0.8207847127896002,0.2919696852409636,0.11219556800150154
11.02426778242678,202.50745851619504,128.11967136826712,156.82672145771488,0.5997331849741285,0.10352825791935931,0.05428413058342585,1.0,0.9485109099068144,0.8028673989094391,0.6037995823954765,0.8304466030720444,0.8234642332756283,0.2981917537069943,0.11162165509499382
