z,E_H_over_H0,Omega_m_z,Omega_L_z,D_growth_norm,sigma8_z,Gamma_inst,Gamma_prod,Gamma_coh,U_struct,CCI_cos_v02,CCI_cos_v02_normalized
4.338153503893215079e-01,1.270243202469677257e+00,5.754617626199831637e-01,4.245382373800169473e-01,7.967090468580813045e-01,6.461310370019039961e-01,1.270243202469677257e+00,1.433815350389321619e+00,7.967090468580813045e-01,2.290977721118168942e-01,1.245916053706053184e+00,2.491832108658022626e+00
4.449388209121246107e-01,1.278786951337687494e+00,5.811156072223000457e-01,4.188843927776998433e-01,7.921655427630814872e-01,6.424462551808591826e-01,1.278786951337687494e+00,1.444938820912124555e+00,7.921655427630814872e-01,2.349746842217777798e-01,1.273290759142280848e+00,2.546581519557852502e+00
4.560622914349277135e-01,1.287405236618331061e+00,5.867051164968015708e-01,4.132948835031982071e-01,7.876580068126748380e-01,6.387906435250793047e-01,1.287405236618331061e+00,1.456062291434927713e+00,7.876580068126748380e-01,2.408346980010672711e-01,1.301142062874434346e+00,2.602284127050010998e+00
4.671857619577308163e-01,1.296097574936594166e+00,5.922300899118937423e-01,4.077699100881062022e-01,7.831863751681418240e-01,6.351641502613630808e-01,1.296097574936594166e+00,1.467185761957730872e+00,7.831863751681418240e-01,2.466768425235714157e-01,1.329474331808687015e+00,2.658948664946848339e+00
4.783092324805339191e-01,1.304863483134539814e+00,5.976903809116917987e-01,4.023096190883080903e-01,7.787505697169625485e-01,6.315667120404566681e-01,1.304863483134539814e+00,1.478309232480533808e+00,7.787505697169625485e-01,2.525001750900423003e-01,1.358291895819115913e+00,2.716583792996523972e+00
4.894327030033370773e-01,1.313702478535592411e+00,6.030858946679837906e-01,3.969141053320163759e-01,7.743504988526919153e-01,6.279982545695331764e-01,1.313702478535592411e+00,1.489432703003337188e+00,7.743504988526919153e-01,2.583037812092357499e-01,1.387599047438066835e+00,2.775198096263733039e+00
5.005561735261401246e-01,1.322614079196192893e+00,6.084165858580975472e-01,3.915834141419025083e-01,7.699860582230133588e-01,6.244586932188638251e-01,1.322614079196192893e+00,1.500556173526140125e+00,7.699860582230133588e-01,2.640867745476908057e-01,1.417400041590115345e+00,2.834800084597630665e+00
5.116796440489432829e-01,1.331597804145123964e+00,6.136824564728127207e-01,3.863175435271871683e-01,7.656571314471249945e-01,6.209479336036184405e-01,1.331597804145123964e+00,1.511679644048943283e+00,7.656571314471249945e-01,2.698482968492017520e-01,1.447699095368369715e+00,2.895398192184438724e+00
5.228031145717464412e-01,1.340653173610808935e+00,6.188835536580349350e-01,3.811164463419648984e-01,7.613635908035601974e-01,6.174658721416873552e-01,1.340653173610808935e+00,1.522803114571746441e+00,7.613635908035601974e-01,2.755875178250796753e-01,1.478500387851811926e+00,2.957000777182124285e+00
5.339265850945494885e-01,1.349779709236901493e+00,6.240199675935778068e-01,3.759800324064223043e-01,7.571052978895101981e-01,6.140123965883927948e-01,1.349779709236901493e+00,1.533926585094549377e+00,7.571052978895101981e-01,2.813036350163403143e-01,1.509808059962370441e+00,3.019616121434549161e+00
5.450500556173526467e-01,1.358976934286482807e+00,6.290918294120161347e-01,3.709081705879839763e-01,7.528821042526738783e-01,6.105873865489185315e-01,1.358976934286482807e+00,1.545050055617352758e+00,7.528821042526738783e-01,2.869958736289847656e-01,1.541626214360380498e+00,3.083252430262387378e+00
5.561735261401556940e-01,1.368244373835185490e+00,6.340993091602268317e-01,3.659006908397733349e-01,7.486938519966318539e-01,6.071907139692684918e-01,1.368244373835185490e+00,1.556173526140155694e+00,7.486938519966318539e-01,2.926634863435599310e-01,1.573958915377054124e+00,3.147917832328067433e+00
5.672969966629588523e-01,1.377581554953578147e+00,6.390426138058955541e-01,3.609573861941042794e-01,7.445403743606961999e-01,6.038222436065247001e-01,1.377581554953578147e+00,1.567296996662958852e+00,7.445403743606961999e-01,2.983057531002151763e-01,1.606810188982626730e+00,3.213620379572063701e+00
5.784204671857620106e-01,1.386988006879126711e+00,6.439219852909532360e-01,3.560780147090467640e-01,7.404214962751681783e-01,6.004818334791613976e-01,1.386988006879126711e+00,1.578420467185762011e+00,7.404214962751681783e-01,3.039219808604676221e-01,1.640184022788760299e+00,3.280368047217704586e+00
5.895439377085650579e-01,1.396463261178069404e+00,6.487376986336030882e-01,3.512623013663970784e-01,7.363370348928908182e-01,5.971693352981345404e-01,1.396463261178069404e+00,1.589543937708564947e+00,7.363370348928908182e-01,3.095115033469144072e-01,1.674084366083844921e+00,3.348168733841774269e+00
6.006674082313682161e-01,1.406006851897528165e+00,6.534900600803290605e-01,3.465099399196708285e-01,7.322868000979659842e-01,5.938845948794504448e-01,1.406006851897528165e+00,1.600667408231368327e+00,7.322868000979659842e-01,3.150736807621165037e-01,1.708515129899812246e+00,3.417030261508139599e+00
6.117908787541713744e-01,1.415618315708179642e+00,6.581794053090007646e-01,3.418205946909994575e-01,7.282705949924701549e-01,5.906274525388933716e-01,1.415618315708179642e+00,1.611790878754171263e+00,7.282705949924701549e-01,3.206078994878833188e-01,1.743480187109054391e+00,3.486960375961589254e+00
6.229143492769744217e-01,1.425297192037821015e+00,6.628060976839533769e-01,3.371939023160465121e-01,7.242882163619727143e-01,5.873977434695598632e-01,1.425297192037821015e+00,1.622914349276974422e+00,7.242882163619727143e-01,3.261135717661871047e-01,1.778983372550120290e+00,3.557966746879224207e+00
6.340378197997775800e-01,1.435043023196135969e+00,6.673705265636945549e-01,3.326294734363051675e-01,7.203394551206461216e-01,5.841952981028440961e-01,1.435043023196135969e+00,1.634037819799777580e+00,7.203394551206461216e-01,3.315901353629069903e-01,1.815028483180768148e+00,3.630056968176564869e+00
6.451612903225806273e-01,1.444855354490993893e+00,6.718731056616695785e-01,3.281268943383302550e-01,7.164240967367146995e-01,5.810199424534756574e-01,1.444855354490993893e+00,1.645161290322580516e+00,7.164240967367146995e-01,3.370370532156121146e-01,1.851619278257070844e+00,3.703238558365760991e+00
6.562847608453837855e-01,1.454733734336588924e+00,6.763142714603326278e-01,3.236857285396672612e-01,7.125419216389786703e-01,5.778714984492117068e-01,1.454733734336588924e+00,1.656284760845383897e+00,7.125419216389786703e-01,3.424538130665568114e-01,1.888759479537208685e+00,3.777518960963177186e+00
6.674082313681869438e-01,1.464677714353726179e+00,6.806944816785837071e-01,3.193055183214165704e-01,7.086927056051205431e-01,5.747497842457528483e-01,1.464677714353726179e+00,1.667408231368186833e+00,7.086927056051205431e-01,3.478399270820481948e-01,1.926452771508635475e+00,3.852905544943723726e+00
6.785317018909899911e-01,1.474686849462570448e+00,6.850142137924706276e-01,3.149857862075294834e-01,7.048762201324733079e-01,5.716546145274359336e-01,1.474686849462570448e+00,1.678531701890989991e+00,7.048762201324733079e-01,3.531949314593271216e-01,1.964702801637334240e+00,3.929405605239371546e+00
6.896551724137931494e-01,1.484760697968141363e+00,6.892739636089044719e-01,3.107260363910954171e-01,7.010922327919192343e-01,5.685858007942465875e-01,1.484760697968141363e+00,1.689655172413793149e+00,7.010922327919192343e-01,3.585183860220678143e-01,2.003513180637854774e+00,4.007026363279222458e+00
7.007786429365961967e-01,1.494898821638863895e+00,6.934742438919975216e-01,3.065257561080022564e-01,6.973405075655511043e-01,5.655431516356619337e-01,1.494898821638863895e+00,1.700778642936596086e+00,6.973405075655511043e-01,3.638098738055869918e-01,2.042887482762922424e+00,4.085774967568732485e+00
7.119021134593993549e-01,1.505100785778452854e+00,6.976155830415143866e-01,3.023844169584855024e-01,6.936208051687218212e-01,5.625264729918334483e-01,1.505100785778452854e+00,1.711902113459399466e+00,6.936208051687218212e-01,3.690690006328128381e-01,2.082829246111358668e+00,4.165658494305546355e+00
7.230255839822025132e-01,1.515366159291412274e+00,7.016985238228102828e-01,2.983014761771898282e-01,6.899328833570773645e-01,5.595355684025897780e-01,1.515366159291412274e+00,1.723025583982202402e+00,6.899328833570773645e-01,3.742953946820390954e-01,2.123341972953127321e+00,4.246683948029597033e+00
7.341490545050055605e-01,1.525694514742430785e+00,7.057236221475373661e-01,2.942763778524628004e-01,6.862764972191512935e-01,5.565702392447317015e-01,1.525694514742430785e+00,1.734149054505005561e+00,6.862764972191512935e-01,3.794887060474597118e-01,2.164429130070345320e+00,4.328858262305120164e+00
7.452725250278087188e-01,1.536085428409934339e+00,7.096914459043053292e-01,2.903085540956947264e-01,6.826513994550852393e-01,5.536302849580742036e-01,1.536085428409934339e+00,1.745272525027808719e+00,6.826513994550852393e-01,3.846486062934366679e-01,2.206094149113101199e+00,4.412188300432296373e+00
7.563959955506117661e-01,1.546538480334059606e+00,7.136025738384086381e-01,2.863974261615914729e-01,6.790573406420103986e-01,5.507155032606704248e-01,1.546538480334059606e+00,1.756395995550611655e+00,6.790573406420103986e-01,3.897747880034331258e-01,2.248340426968987504e+00,4.496680856186315189e+00
7.675194660734149243e-01,1.557053254359305416e+00,7.174575944796639515e-01,2.825424055203361040e-01,6.754940694866155004e-01,5.478256903536452560e-01,1.557053254359305416e+00,1.767519466073415035e+00,6.754940694866155004e-01,3.948669643244989702e-01,2.291171326145271081e+00,4.582342654581713859e+00
7.786429365962180826e-01,1.567629338172101816e+00,7.212571051173420900e-01,2.787428948826577990e-01,6.719613330654093941e-01,5.449606411160470287e-01,1.567629338172101816e+00,1.778642936596217972e+00,6.719613330654093941e-01,3.999248685081618349e-01,2.334590175162642112e+00,4.669180352659874522e+00
7.897664071190211299e-01,1.578266323333544996e+00,7.250017108211294081e-01,2.749982891788704809e-01,6.684588770531607604e-01,5.421201492901134289e-01,1.578266323333544996e+00,1.789766407119021130e+00,6.684588770531607604e-01,4.049482534485481788e-01,2.378600268959554231e+00,4.757200540297708891e+00
8.008898776418242882e-01,1.588963805307522792e+00,7.286920235070084573e-01,2.713079764929916537e-01,6.649864459399915662e-01,5.393040076573332176e-01,1.588963805307522792e+00,1.800889877641824288e+00,6.649864459399915662e-01,4.099368912185138436e-01,2.423204869306153864e+00,4.846409741035512475e+00
