instance_id,n_vars,n_clauses,alpha,satisfiable,dpll_nodes,dpll_timed_out,solve_time_s,log_nodes,degree_cv,max_degree_norm,literal_imbalance,expansion_defect,interaction_cycle_density,backdoor_density,propagation_depth,contradiction_rate,covariance_condition_log,H,B,S,V,R_resp,R_rob,F_MAAT,F_MAAT_primary,density_peak
307,30,142,4.718371211087771,False,41,False,0.002414833987131715,3.7376696182833684,0.19018431078969683,1.3380281689198572,0.19919725210822953,0.0,0.21366834170849974,0.3,0.0,0.0,2.8927279306300884,0.5803217594335464,0.713473037494091,0.5415058142046628,0.5997588908981623,0.6285517478654289,0.6055591348172248,2.5080152815657746,2.0064122252459495,0.48311164450528626
308,27,133,4.942439223080301,True,6,False,0.0003180829808115959,1.9459101490553132,0.21266369357554832,1.4887218044105375,0.244823398564419,0.0,0.22570694087397797,0.3333333333333333,0.0,0.0,2.692780800464955,0.5976588983344734,0.6766961204787865,0.5400368872334951,0.5820448877805879,0.6174491331303498,0.5971133007805552,2.5782419918251884,2.062593593455776,0.19936553475400362
309,32,166,5.194667138647536,False,33,False,0.0019399590091779828,3.5263605246161616,0.22657864339004363,1.7991967870329832,0.19367500859776748,0.0,0.21429758935989784,0.28125,0.0,0.0,2.939931611930569,0.5763745557843141,0.7033775870965883,0.5370354330178779,0.6047429339835125,0.6258756319177214,0.6023747615614845,2.5343774909296126,2.027501992737294,0.04856073683308899
310,27,87,3.233226889540713,True,8,False,0.0002031250623986125,2.1972245773362196,0.29929233482631545,1.5517241377705113,0.2315147814885904,0.0,0.18767849857193486,0.25925925925925924,0.0,0.0,2.9204825565677934,0.5779943764476152,0.6555492218120442,0.5394251147101623,0.6318059700638174,0.6209227155594755,0.5994610247728343,2.5586215892264272,2.046897271377244,0.025978260564182506
311,25,87,3.4803774204119615,True,11,False,0.00025770801585167646,2.4849066497880004,0.3417057492623393,1.7241379308693354,0.31823172901939567,0.0,0.19586206896542718,0.28,0.0,0.0,2.6324293428421592,0.6030972654562652,0.5988093658985038,0.5377579873308836,0.6189175345740829,0.6068801185835315,0.5888082685232463,2.648273334787479,2.118618667827983,0.12189320393902842
312,28,103,3.6744230965518665,True,13,False,0.0004428329411894083,2.6390573296152584,0.24276159269113745,1.72168284774043,0.21806133505244382,0.0,0.19606087734998626,0.2857142857142857,0.0,0.0,2.760469169622171,0.5916749118498756,0.6823372558884442,0.5377816540359912,0.6170199333975603,0.6292073850005748,0.6049881304507176,2.5127321928785995,2.0101857542980492,0.305035247737208
313,25,96,3.824217377728658,True,15,False,0.0003471249947324395,2.772588722239781,0.26457330833187714,1.736111110960407,0.27640148084578675,0.0,0.2147261516139954,0.28,0.0,0.0,2.5540169181721657,0.610312736439434,0.6419507470506826,0.5376425971643354,0.604795190068517,0.6188054881704906,0.5974327625949496,2.575567655268621,2.060454124212024,0.5181083119423259
314,36,145,4.0215349269204115,True,16,False,0.000993583002127707,2.833213344056216,0.23760597483484933,1.5724137929733173,0.24337128178301592,0.0,0.1734250543084407,0.3055555555555556,0.0,0.0,2.782082225513714,0.5897893695467571,0.6690810915309506,0.5392245138510823,0.628419168579572,0.6282633229482937,0.6047121395876576,2.515013674288377,2.0120109394264616,0.8212702793620925
315,32,139,4.345118402264666,True,14,False,0.0004350000526756048,2.70805020110221,0.2906233418850344,1.5347721821364204,0.23111805955182518,0.0,0.19708179202626444,0.28125,0.0,0.0,3.1242040159484152,0.5614662341288239,0.6585788859930574,0.5395895872031171,0.6176028227470054,0.6112425416944178,0.592483240163172,2.6171634566270976,2.0937307652975483,0.9752250070125875
316,30,134,4.470693131273072,False,37,False,0.001953541999682784,3.6375861597263857,0.22766290920982712,1.4925373133214523,0.2485158305532086,0.0,0.21297693468415324,0.3,0.0,0.0,2.8344522784989876,0.5852700168210841,0.6694256994984122,0.5399997979673731,0.600256716819643,0.6172558697131098,0.5969628714512704,2.579501788591861,2.0636014308695585,0.8575202277894767
317,25,118,4.728347787431455,True,11,False,0.00044049997813999653,2.4849066497880004,0.26550666975546827,1.5536723162744581,0.2470379774834104,0.0,0.23561643835609267,0.28,0.0,0.0,2.92642721550255,0.5774983083699059,0.6577738392891931,0.5394062193747932,0.5898894563320688,0.607387685187058,0.5896285094154887,2.641312918755822,2.113050335001242,0.46789051687876837
318,27,132,4.906158941214572,False,29,False,0.001447084010578692,3.4011973816621555,0.18556740474364905,1.3636363635433886,0.20227785246959656,0.0,0.2308823529411199,0.2962962962962963,0.0,0.0,2.5792561977081605,0.607971460572302,0.7131971910777918,0.5412556280590551,0.5886502084001675,0.6343321251812379,0.6096606097663172,2.4742642621784574,1.9794114097363096,0.23557848762273909
319,35,180,5.148067562211384,False,59,False,0.0034953750437125564,4.0943445622221,0.20512968896519332,1.4907407406441187,0.2020175259903813,0.0,0.207227937195424,0.3142857142857143,0.0,0.0,2.9443218631653574,0.5760101675610874,0.7059803344511013,0.5400172612054613,0.6002817317308689,0.6249701764328911,0.6025545641860084,2.5328852654380487,2.026308212344074,0.06516511444296623
