dataset_id,family,split,policy,n_vars,n_clauses,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,runtime_s,search_cost,structural_update_s,support_evaluation_s,gate_calculation_s,arbitration_s,structural_overhead_s,total_cost,activations,activation_rate,audit_max_abs_error
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,static_gate_v17_Paper69,100,157,1,0,0,140,234,29,28,32,0.08082625002134591,71.936,0.005678476,0.0,0.0,0.001842871,0.007521347,71.936,140,1.0,0.0
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,state_v18_primary,100,157,1,0,0,62,250,28,27,21,0.06981466698925942,47.599999999999994,0.004955819,0.022292041,0.000129251,0.000750417,0.028127528,55.164694792957505,3,0.04838709677419355,0.0
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,state_v18_gate_signal_shuffled,100,157,1,0,0,51,203,28,27,15,0.06282508303411305,44.111999999999995,0.004229924,0.020210456,0.000107294,0.00068317,0.025230844000000002,50.89765262573815,6,0.11764705882352941,0.0
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,random_activation_matched_q,100,157,1,0,0,86,267,30,29,29,0.09104745893273503,56.867999999999995,0.00561075,0.028999588,0.000175077,0.001205043,0.035990458,66.54737282752882,21,0.2441860465116279,0.0
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,state_Mode_A_always,100,157,1,0,0,188,199,28,27,36,0.17908212495967746,85.19600000000001,0.0064074,0.062981949,0.000373953,0.002256578,0.07201987999999998,104.56522474045444,188,1.0,0.0
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,state_gate_value_only_z_R,100,157,1,0,0,81,203,25,24,28,0.082186583080329,50.111999999999995,0.004567253,0.027091707,0.000175466,0.000929333,0.032763758999999996,58.92357551794152,0,0.0,0.0
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,state_gate_response_only_0_5z_t,100,157,1,0,0,66,246,31,30,24,0.07517979107797146,51.784,0.005364677,0.023239459,0.000141214,0.000854748,0.029600098000000002,59.74473182156754,17,0.25757575757575757,0.0
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,Paper68_hard_threshold_0_5,100,157,1,0,0,74,203,25,24,26,0.08661412505898625,48.012,0.004644117,0.028144459,0.000180415,0.000910083,0.033879074,57.123531403613654,16,0.21621621621621623,0.0
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,closure_HBV,100,157,1,0,0,79,237,28,27,25,0.09676933300215751,52.648,0.005493954,0.03145055,0.00019546,0.001066376,0.038206340000000005,62.92331823116359,7,0.08860759493670886,0.0
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,closure_HSV,100,157,1,0,0,62,251,28,27,25,0.0693301249993965,47.60399999999999,0.005111743,0.021598167,0.000126126,0.000739333,0.027575369000000002,55.02019563184443,4,0.06451612903225806,0.0
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,closure_BSV,100,157,1,0,0,62,250,28,27,21,0.07471020799130201,47.599999999999994,0.005394246,0.024044914,0.000153288,0.000796627,0.030389075,55.772921467371575,3,0.04838709677419355,0.0
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,closure_HBS,100,157,1,0,0,63,285,31,30,25,0.07717579207383096,51.04,0.006424299,0.023791376,0.000142002,0.000822459,0.031180135999999997,59.425671589871214,5,0.07936507936507936,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,jeroslow_wang,100,160,1,0,0,70,99,17,16,26,0.04515729192644358,38.396,0.003208009,0.0,0.0,0.000607209,0.003815218,38.396,0,0.0,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,vsids,100,160,1,0,0,102,286,27,26,22,0.06568529095966369,58.74399999999999,0.00636259,0.0,0.0,0.00075408,0.00711667,58.74399999999999,0,0.0,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,score_with_R_Paper69,100,160,1,0,0,111,167,21,20,36,0.06623108393978328,54.967999999999996,0.004835777,0.0,0.0,0.001354536,0.006190313,54.967999999999996,111,1.0,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,static_gate_v17_Paper69,100,160,1,0,0,143,162,21,20,39,0.0834279169794172,64.548,0.005225532,0.0,0.0,0.002280629,0.007506161,64.548,143,1.0,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,state_v18_primary,100,160,1,0,0,66,130,17,16,26,0.07401250000111759,37.32,0.003481713,0.025104666,0.000149421,0.000865254,0.029601054,45.280988930838646,2,0.030303030303030304,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,state_v18_gate_signal_shuffled,100,160,1,0,0,93,144,18,17,32,0.09629695804324001,46.476,0.003826998,0.033217745,0.000201544,0.001213413,0.0384597,56.81945756686147,28,0.3010752688172043,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,random_activation_matched_q,100,160,1,0,0,66,112,16,15,26,0.07201716699637473,36.248,0.003054623,0.024896672,0.000135711,0.001050382,0.029137388,44.08428932069617,12,0.18181818181818182,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,state_Mode_A_always,100,160,1,0,0,111,167,21,20,36,0.10723133303690702,54.967999999999996,0.004490574,0.03733913,0.000221501,0.001353376,0.043404581,66.64134747231262,111,1.0,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,state_gate_value_only_z_R,100,160,1,0,0,48,105,17,16,21,0.055004291934892535,31.82,0.002567786,0.018863543,0.000103626,0.000650247,0.022185201999999998,37.78654928403628,0,0.0,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,state_gate_response_only_0_5z_t,100,160,1,0,0,54,110,16,15,28,0.062103708973154426,32.64,0.002895632,0.021423873,0.000155294,0.000765246,0.025240045,39.42812716800116,12,0.2222222222222222,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,Paper68_hard_threshold_0_5,100,160,1,0,0,51,130,18,17,20,0.06373966694809496,33.82,0.003640657,0.021666624,0.000116833,0.000815293,0.026239407,40.87689833472721,13,0.2549019607843137,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,closure_HBV,100,160,1,0,0,66,130,17,16,26,0.074894665973261,37.32,0.003536636,0.026023704,0.000151377,0.000909206,0.030620923,45.55527530658411,3,0.045454545454545456,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,closure_HSV,100,160,1,0,0,66,130,17,16,26,0.07434537494555116,37.32,0.003529141,0.025686292,0.000144505,0.000860956,0.030220893999999998,45.447690406363506,2,0.030303030303030304,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,closure_BSV,100,160,1,0,0,48,105,17,16,21,0.057652082992717624,31.82,0.002769163,0.020520705,0.000109043,0.000648832,0.024047742999999996,38.28746618666526,0,0.0,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,closure_HBS,100,160,1,0,0,66,130,17,16,26,0.07303962507285178,37.32,0.003319252,0.025028079,0.000139123,0.000903454,0.029389908000000006,45.22420274448221,3,0.045454545454545456,0.0
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,jeroslow_wang,100,160,1,1,0,59,330,24,24,21,0.03765149996615946,43.02,0.004948496,0.0,0.0,0.000417042,0.005365538,43.02,0,0.0,0.0
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,vsids,100,160,1,1,0,116,531,23,23,22,0.07715549995191395,59.924,0.009076784,0.0,0.0,0.00085704,0.009933823999999999,59.924,0,0.0,0.0
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,score_with_R_Paper69,100,160,1,1,0,114,198,15,15,26,0.06245979096274823,49.992,0.004065461,0.0,0.0,0.001282289,0.00534775,49.992,114,1.0,0.0
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,static_gate_v17_Paper69,100,160,1,1,0,163,645,35,35,42,0.09765675000380725,86.48,0.011563698,0.0,0.0,0.002193714,0.013757412,86.48,163,1.0,0.0
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,state_v18_primary,100,160,1,1,0,22,148,9,9,12,0.02583041600883007,16.192,0.001869004,0.007984248,5.3414e-05,0.000309625,0.010216290999999999,18.939597418836048,3,0.13636363636363635,0.0
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,state_v18_gate_signal_shuffled,100,160,1,1,0,19,150,9,9,10,0.02210958395153284,15.299999999999999,0.00173234,0.006868249,4.0417e-05,0.000236208,0.008877214,17.68746236504571,0,0.0,0.0
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,random_activation_matched_q,100,160,1,1,0,32,228,22,22,11,0.037929416983388364,32.512,0.003263959,0.011383168,7.1627e-05,0.000498126,0.01521688,36.604469587126864,8,0.25,0.0
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,state_Mode_A_always,100,160,1,1,0,114,198,15,15,26,0.10155712498817593,49.992,0.004031938,0.034762086,0.000233047,0.001375001,0.040402072,60.85784443834149,114,1.0,1.1102230246251565e-16
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,state_gate_value_only_z_R,100,160,1,1,0,19,150,9,9,10,0.021926292101852596,15.299999999999999,0.001682867,0.006734328,4.0459e-05,0.000222622,0.008680276,17.634497317312565,0,0.0,0.0
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,state_gate_response_only_0_5z_t,100,160,1,1,0,23,148,9,9,12,0.024906542035751045,16.491999999999997,0.001727084,0.007814542,4.8292e-05,0.000277709,0.009867627,19.145826763082304,5,0.21739130434782608,0.0
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,Paper68_hard_threshold_0_5,100,160,1,1,0,35,190,16,16,14,0.03875887498725206,27.26,0.002627789,0.012363291,7.5166e-05,0.000438124,0.01550437,31.429787938957404,15,0.42857142857142855,0.0
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,closure_HBV,100,160,1,1,0,19,152,10,10,9,0.021853249985724688,16.308,0.001696127,0.006717291,4.0086e-05,0.000234835,0.008688339,18.64466580272357,1,0.05263157894736842,0.0
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,closure_HSV,100,160,1,1,0,21,150,9,9,11,0.023064333014190197,15.9,0.001698,0.00705225,4.271e-05,0.000247416,0.009040376000000001,18.33134360238049,3,0.14285714285714285,0.0
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,closure_BSV,100,160,1,1,0,20,150,9,9,10,0.02260262507479638,15.6,0.00169704,0.006980249,4.1584e-05,0.000241708,0.008960581,18.009883315468535,2,0.1,0.0
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,closure_HBS,100,160,1,1,0,22,148,9,9,12,0.02482029201928526,16.192,0.001700201,0.007959166,5.0042e-05,0.000263085,0.009972494,18.87402998267747,3,0.13636363636363635,0.0
aim_aim-100-1_6-yes1-4,satlib_dimacs_aim,test,jeroslow_wang,100,160,1,1,0,23,149,6,6,19,0.015524375019595027,13.495999999999999,0.001754754,0.0,0.0,0.00018329,0.001938044,13.495999999999999,0,0.0,0.0
aim_aim-100-1_6-yes1-4,satlib_dimacs_aim,test,vsids,100,160,1,1,0,115,470,20,20,30,0.06405645806808025,56.38,0.007399003,0.0,0.0,0.000707039,0.008106042,56.38,0,0.0,0.0
aim_aim-100-1_6-yes1-4,satlib_dimacs_aim,test,score_with_R_Paper69,100,160,1,1,0,67,223,16,16,31,0.037952874903567135,36.992,0.003439757,0.0,0.0,0.00071704,0.004156797,36.992,67,1.0,0.0
