galaxy,r_kpc,v_obs_km_s,e_v_obs_km_s,v_gas_km_s,v_disk_km_s,v_bulge_km_s,upsilon_disk,upsilon_bulge,v_baryon_km_s,v_residual_km_s,residual_fraction,H,B,S_eff,V,R_resp,R_rob,D_struct,v_nfw_like_km_s,v_rar_km_s,nfw_fractional_residual,rar_sigma_residual
DDO154,4.94,48.2,0.6,16.93,6.89,0.0,0.5,0.7,17.617064170854345,44.86512063953467,0.8664102933833784,1.0,0.5162802505354903,0.9709387148075052,0.39907987874928263,0.5906294725631815,0.5906294725631815,0.2042201305361775,45.822520540093635,50.41044538655933,0.03737209184040519,2.2104453865593285
DDO154,5.43,47.4,0.7,16.28,6.55,0.0,0.5,0.7,16.92600514002049,44.274940429096006,0.8724876488810553,1.0,0.45817832456301993,0.5243285851114885,0.36120788899309003,0.5490314915615274,0.5427487419358649,0.1710469522172636,47.42549155305527,50.45932919660895,0.1285882332999147,3.0593291966089495
DDO154,5.92,45.5,1.3,15.64,6.26,0.0,0.5,0.7,16.25433480644471,42.49760699145306,0.8723809201787224,1.0,0.48851572943030686,0.0015125491278253015,0.346272534744122,0.5530514466013177,0.12647407793617052,0.03820548581304059,48.89507395079222,50.409068833148034,0.28242079780385926,3.7762067947292564
DDO161,0.6,16.0,3.53,6.82,12.59,0.0,0.5,0.7,11.214564191264857,11.411991500172089,0.5087248046875,1.0,0.5713659760763489,0.0557908851536401,0.44909710036759,0.6354551085535304,0.34590311220301984,0.07902738914760356,15.217155773848258,24.371510465049965,0.3958135931467319,2.3715327096458827
DDO161,0.73,16.6,4.83,8.12,14.22,0.0,0.5,0.7,12.924341375869023,10.417360510225231,0.39382130933372067,1.0,0.5245459034774873,0.23681890040140574,0.6569319202575303,0.7010806082808885,0.5344782738670433,0.13827689935906418,16.749136986208164,27.548578723236393,0.6242277173129851,2.26678648514211
DDO161,0.85,18.6,2.5,9.3,15.27,0.0,0.5,0.7,14.250489465278028,11.953390732340344,0.4130059833506764,1.0,0.5498652159297635,0.7772247806099125,0.9211774286528742,0.7971373865834938,0.7921119105698478,0.30136039406748427,18.03795549833032,30.088332128172848,0.5274722180591541,4.595332851269139
DDO161,0.98,20.0,7.58,10.41,17.04,0.0,0.5,0.7,15.923218895688144,12.10169822793479,0.3661277500000001,1.0,0.503796844440417,0.5934995240435569,0.7084970259127419,0.7093564001366012,0.6784275291745585,0.1759843873501349,19.327212526318178,33.03868133347225,0.5677251100936755,1.7201426561309034
DDO161,1.07,21.4,4.03,11.27,18.03,0.0,0.5,0.7,17.01626721698975,12.977158779948711,0.3677322255218795,1.0,0.4750855484153663,0.9996242582093091,0.721897520286557,0.6999748829933561,0.6999748829933561,0.18581881952788132,20.165619441604967,34.96244075760315,0.5202322418194522,3.365369915038002
DDO161,1.54,28.9,2.74,15.22,22.44,0.0,0.5,0.7,21.9869324827271,18.755927063197912,0.42119323283964505,1.0,0.5365384358075255,0.9642784826230599,0.7160468373372444,0.7269659839203203,0.7269659839203203,0.21924863877117262,24.00914494947196,43.74634046666109,0.2689793479541133,5.418372433087988
DDO161,2.02,32.9,2.65,18.74,24.92,0.0,0.5,0.7,25.72335125911863,20.511440710003768,0.3886874659325024,1.0,0.6425923957926709,0.8812106264563372,0.7656262605369689,0.7894369822971382,0.7894369822971382,0.23492802347542963,27.28686021366855,50.714001578448226,0.2991967372070544,6.722264746584237
DDO161,2.49,35.2,2.88,21.52,25.85,0.0,0.5,0.7,28.235113776997604,21.01947549298032,0.35658118381973153,1.0,0.6939854040070454,0.7370431700594088,0.5156641712583246,0.7099685288058382,0.7099685288058382,0.13054627305318323,30.07061839559834,55.93994884246661,0.3732113093150319,7.201371125856462
DDO161,2.96,37.6,3.05,23.28,26.01,0.0,0.5,0.7,29.668475693907837,23.09851835075142,0.3773918840538706,1.0,0.6468683948112351,0.7920977636123698,0.503513020314272,0.6880323831102185,0.6880323831102185,0.13074110193339758,32.54512833626045,59.723597280746205,0.3718055599420429,7.253638452703673
DDO161,3.43,40.6,3.68,24.59,25.36,0.0,0.5,0.7,30.43407465325667,26.87242266711359,0.4380882210196802,1.0,0.6718408032037456,0.746320840014225,0.44143456061564734,0.666874691850409,0.666874691850409,0.12896508366254644,34.7789609028663,62.56012350600754,0.2957175747307036,5.9674248657629185
DDO161,3.9,42.7,3.25,25.62,25.01,0.0,0.5,0.7,31.130924335779046,29.22593967693768,0.4684693877551021,1.0,0.5733101381262083,0.7906739025537538,0.5136515718051075,0.6653028967293537,0.6653028967293537,0.16009186089768623,36.81820052208737,65.16507605792904,0.2750107441408854,6.912331094747397
DDO161,4.37,45.5,2.99,26.35,24.48,0.0,0.5,0.7,31.52709469646704,32.806894092553165,0.5198851829489192,1.0,0.5522562252818505,0.6844055334181477,0.46724497656513286,0.6366417081022278,0.6366417081022278,0.15464901843374323,38.695668283999595,67.2897705542009,0.2033872449923112,7.287548680334749
DDO161,4.86,48.9,1.96,27.08,23.7,0.0,0.5,0.7,31.84605784080661,37.1084707310878,0.5758752263498397,1.0,0.5096557353088663,0.7596251326324505,0.6461693594828555,0.690570081300256,0.690570081300256,0.2569700536660221,40.50707141663285,69.2763554782955,0.11031412328996343,10.396099733824235
DDO161,5.34,51.5,1.53,27.81,22.69,0.0,0.5,0.7,32.106294554183606,40.26705663442512,0.6113435196531247,1.0,0.5551202814607014,0.9353935674484479,0.5515408475924678,0.6739922854771607,0.6739922854771607,0.22725734091183059,42.15711828842724,71.06110550114197,0.058737589738692336,12.785036275256187
