galaxy,family,n_points,mean_residual_fraction,outer_residual_fraction,mean_D_struct,peak_D_struct,mean_R_rob,mean_V,nfw_like_rmse_v2,nfw_like_chi2,nfw_like_rs_kpc,rar_mean_sigma_residual
KK98-251,unknown,15,0.6021883168617831,0.6175983107508559,0.26716209666043705,0.42954683643358066,0.6635132454869634,0.6676069214890005,141.18929890427407,3.549400989910217,40.0,5.275450273185501
NGC0024,unknown,29,0.7551738570916152,0.7779664901795601,0.24795698576411224,0.3654321424160954,0.6159146031754743,0.539601515647482,1211.739916581852,2.06912486927503,5.234849253331126,2.884680805851904
NGC0055,unknown,21,0.5921138669544337,0.6747348463617718,0.21818714656624363,0.3590895077370333,0.6610394985652469,0.566663958490167,566.8588842649984,8.241697358024842,40.0,5.692828482390044
NGC0100,unknown,21,0.6625031519643316,0.7987177091235275,0.19175768229369455,0.3677187964474072,0.6319573296006753,0.4787606170794111,1145.035300403832,8.553501242169144,40.0,1.0695422733428837
NGC0247,unknown,26,0.7604148021530015,0.7528475992886102,0.2555285304085137,0.5667070740125667,0.6183767260312224,0.5306267334383756,372.8471599036367,2.170878385720377,23.532687018360203,1.4790061817131972
NGC0289,unknown,28,0.6077894647784046,0.7588776461693788,0.12067533679975288,0.19924185424837026,0.53162868408725,0.40676626508922276,3246.897986499175,3.061847267128411,19.71856749225275,2.7891964953709114
NGC0300,unknown,25,0.7825177971547599,0.824901354675203,0.22035512834088714,0.38670988238965087,0.5818785049508117,0.48389686457955017,637.6318352745243,0.8493580766264737,22.51502737868303,1.0183347652120078
NGC0801,unknown,13,0.3719190642610069,0.5076953332739029,0.1344951979059744,0.25432407856192907,0.6136723911787448,0.5420137676747934,19136.299571685373,270.68207924804994,40.0,7.539613708065378
NGC0891,unknown,18,0.23924298815188166,0.4122454196711268,0.05284384432228309,0.09632600068420134,0.5489205295876048,0.36697794654178484,14382.328698112002,327.5601131068795,40.0,5.233732342717254
NGC1003,unknown,36,0.7505323754542017,0.8666540139105979,0.16941479614842236,0.35763587420104853,0.5357918894191687,0.4421889004103206,712.8382672129482,3.2504536273592906,30.68073468374589,2.779556642539951
NGC1090,unknown,24,0.4950169729911698,0.6256570230251517,0.10276041887812808,0.20980595484344208,0.5541721373273608,0.3849356804467072,7761.564848744033,192.43366362170158,40.0,5.447882165206534
NGC1705,unknown,14,0.8546569373166409,0.9128372692927114,0.27525394063187963,0.5552360870651527,0.6984991395389889,0.465582957050621,275.4361881859271,0.11260760661943725,1.389738210743153,3.5160695890926825
NGC2366,unknown,26,0.6316168619196474,0.6966016329835545,0.18118225240349328,0.3401656621509565,0.5816400211710853,0.5003615810837581,338.402290674318,8.45684337186375,40.0,4.7183460780197874
NGC2403,unknown,73,0.6113141787326661,0.7503897257453893,0.14184203856724592,0.2998410717721473,0.5497469823786297,0.4280190379042743,822.0198059040993,19.267225793172,12.12511672472422,3.2187903534870954
NGC2683,unknown,11,0.5744094735086371,0.6997600289419332,0.14500425500164113,0.2103956030201903,0.6098968280304242,0.4521237375458394,2734.9356064502986,1.3569909767107928,7.1334144236004935,1.316076917886519
NGC2841,unknown,50,0.653528111110567,0.78106563588581,0.2018514250194105,0.35037668583656467,0.6219946776143965,0.508222102050956,5540.524402523947,3.95095136710842,11.099102173911993,8.715399076611112
NGC2903,unknown,34,0.38779561155008324,0.6455412967609466,0.0733661203183151,0.14310050621186196,0.511454334089661,0.3509348231839517,12882.439347004994,786.547498134399,40.0,2.4331938294352504
NGC2915,unknown,30,0.8056495206010977,0.9244370536065237,0.1339701349002541,0.2097169445767163,0.43366644411670674,0.38449060582335287,3748.696353563197,16.855899077766246,40.0,2.6034154940429284
NGC2955,unknown,24,0.23839855930505024,0.375936620365237,0.04198890325703883,0.08981046793930034,0.5217681530329168,0.38375004783628075,19617.13569127471,48.805018783844226,40.0,2.182848963179174
NGC2976,unknown,27,0.37670752594362744,0.42812156698340004,0.098461283413032,0.20166281685648818,0.5010666895463552,0.47404433410882385,1566.5632199936142,23.8631048980641,40.0,1.5359033321311417
NGC2998,unknown,13,0.6183769535194982,0.610418933550939,0.21923971966694275,0.4179795768976578,0.6638309933933039,0.5393085184143376,5703.082015850467,2.6202410130077327,18.865847602107614,3.323345815508711
NGC3109,unknown,25,0.8581754070961091,0.8847003512955545,0.2774817200165959,0.5314614631870481,0.5934399998767532,0.5381262619934384,872.6351481215477,15.004653329386894,40.0,1.909406756434175
