d_H,d_B,d_S,d_V,d_R,label,source,alpha,runtime,C_hat
0.5,0.024074074074074026,0.0,0.8628851540616247,0.24895396674503933,sat,sat_hardness_atlas,3.0,7.510185241699219e-05,0.0382097140627278
0.5,0.011111111111111183,0.0,0.8609243697478992,0.2522368308950955,sat,sat_hardness_atlas,3.0,7.486343383789062e-05,0.0393446753536644
0.5,0.005555555555555647,0.0,0.8620448179271709,0.2522368308950955,sat,sat_hardness_atlas,3.0,7.081031799316406e-05,0.0392469558562767
0.5,0.07037037037037042,0.0,0.8605042016806723,0.2370185204730091,sat,sat_hardness_atlas,3.0,8.7738037109375e-05,0.0367784438913227
0.5,0.007407407407407418,0.0,0.861764705882353,0.24930361876621465,sat,sat_hardness_atlas,3.0,8.511543273925781e-05,0.0391876438279747
0.5,0.024074074074074026,0.0,0.8614845938375351,0.25443444992307396,sat,sat_hardness_atlas,3.0,7.414817810058594e-05,0.0387211982670267
0.5,0.005555555555555647,0.0,0.8599439775910365,0.2644187902720543,sat,sat_hardness_atlas,3.0,7.700920104980469e-05,0.0401242926824999
0.5,0.007407407407407418,0.0,0.8626050420168068,0.2319003055367621,sat,sat_hardness_atlas,3.0,7.486343383789062e-05,0.0385660439614772
0.5,0.007407407407407418,0.002777777777777768,0.8606442577030813,0.23250194004550395,sat,sat_hardness_atlas,3.0,7.414817810058594e-05,0.0390210468450692
0.5,0.05370370370370359,0.0,0.8638655462184874,0.24248622453367652,sat,sat_hardness_atlas,3.0,8.082389831542969e-05,0.0366493664872161
0.5,0.06111111111111123,0.0,0.861764705882353,0.22676721486440776,sat,sat_hardness_atlas,3.0,9.202957153320312e-05,0.036596318975652
0.5,0.01666666666666683,0.002777777777777768,0.8638655462184874,0.2475454765497408,sat,sat_hardness_atlas,3.0,9.202957153320312e-05,0.038087636283159
0.5,0.020370370370370372,0.0,0.8614845938375351,0.25443444992307396,sat,sat_hardness_atlas,3.0,8.392333984375e-05,0.0388681477822716
0.5,0.012962962962962954,0.0,0.8626050420168068,0.24842764525513972,sat,sat_hardness_atlas,3.0,8.106231689453125e-05,0.038712050737538
0.5,0.031481481481481444,0.0,0.861624649859944,0.25510297920783764,sat,sat_hardness_atlas,3.0,0.0001180171966552,0.0384031524525382
0.5,0.01851851851851838,0.0,0.8614845938375351,0.22676721486440776,sat,sat_hardness_atlas,3.0,8.606910705566406e-05,0.0383340277527113
