d_H,d_B,d_S,d_V,d_R,label,source
0.5454545454545454,0.0473856209150328,0.0,0.8436974789915967,0.246296136419863,sat,sat_hardness_atlas
0.5454545454545454,0.065359477124183,0.0,0.8459383753501402,0.2319927911001881,sat,sat_hardness_atlas
0.5454545454545454,0.0392156862745097,0.0,0.846498599439776,0.2487775595192838,sat,sat_hardness_atlas
0.5454545454545454,0.0424836601307188,0.0,0.8441176470588236,0.2249080931714465,sat,sat_hardness_atlas
0.5454545454545454,0.0081699346405228,0.0,0.8457983193277311,0.2189586087317996,sat,sat_hardness_atlas
0.5454545454545454,0.0277777777777777,0.0,0.8480392156862746,0.2401594678988453,sat,sat_hardness_atlas
0.5454545454545454,0.0212418300653596,0.0,0.8455182072829132,0.2468518521015935,sat,sat_hardness_atlas
0.5454545454545454,0.0326797385620916,0.0,0.8446778711484594,0.2469903941316032,sat,sat_hardness_atlas
0.5454545454545454,0.0588235294117648,0.0,0.8449579831932773,0.2343165104678612,sat,sat_hardness_atlas
0.5454545454545454,0.0669934640522875,0.0,0.8453781512605043,0.2368977146157617,sat,sat_hardness_atlas
0.5454545454545454,0.0245098039215687,0.0,0.8415966386554622,0.2257344174275677,sat,sat_hardness_atlas
0.5454545454545454,0.0196078431372548,0.0,0.8443977591036416,0.2502700368649694,sat,sat_hardness_atlas
0.5454545454545454,0.0261437908496732,0.0,0.8455182072829132,0.2389833594712711,sat,sat_hardness_atlas
0.5454545454545454,0.0032679738562092,0.0,0.8456582633053222,0.2659728476394746,sat,sat_hardness_atlas
0.5454545454545454,0.0,0.0,0.846078431372549,0.2234062405143798,sat,sat_hardness_atlas
0.5454545454545454,0.0130718954248365,0.0,0.8446778711484594,0.2374972355547184,sat,sat_hardness_atlas
0.5454545454545454,0.0326797385620916,0.0,0.8418767507002802,0.2193066838679388,sat,sat_hardness_atlas
0.5454545454545454,0.0294117647058823,0.0,0.8431372549019608,0.2302600913847821,sat,sat_hardness_atlas
0.5454545454545454,0.0098039215686274,0.0,0.8445378151260505,0.2307351016390774,sat,sat_hardness_atlas
0.5454545454545454,0.0130718954248365,0.0,0.842296918767507,0.2281799335895693,sat,sat_hardness_atlas
0.5454545454545454,0.0506535947712419,0.0,0.8449579831932773,0.2341629652514424,sat,sat_hardness_atlas
0.5454545454545454,0.0032679738562092,0.0,0.8457983193277311,0.2424785665380339,sat,sat_hardness_atlas
0.5454545454545454,0.0130718954248365,0.0,0.8449579831932773,0.2380938431938519,sat,sat_hardness_atlas
0.5454545454545454,0.0098039215686274,0.0,0.8436974789915967,0.2494581696525843,sat,sat_hardness_atlas
0.5454545454545454,0.0245098039215687,0.0,0.8445378151260505,0.2249080931714465,sat,sat_hardness_atlas
0.5454545454545454,0.0326797385620916,0.0,0.8445378151260505,0.2377959015989175,sat,sat_hardness_atlas
0.5454545454545454,0.0735294117647058,0.0,0.8459383753501402,0.2377959015989175,sat,sat_hardness_atlas
0.5454545454545454,0.0310457516339868,0.0,0.8449579831932773,0.2327722959966061,sat,sat_hardness_atlas
0.5454545454545454,0.0065359477124183,0.0,0.8455182072829132,0.2411794371644665,sat,sat_hardness_atlas
0.5454545454545454,0.0277777777777777,0.0,0.8442577030812325,0.2058852392622749,sat,sat_hardness_atlas
0.5454545454545454,0.0016339869281045,0.0,0.8456582633053222,0.2349287691527782,sat,sat_hardness_atlas
0.5454545454545454,0.0408496732026143,0.0,0.8434173669467787,0.24461392582867,sat,sat_hardness_atlas
0.5454545454545454,0.0114379084967319,0.0,0.8445378151260505,0.245036619346622,sat,sat_hardness_atlas
