source_domain,target_domain,transfer,fit_rule,is_cross_domain,spearman,pearson,mutual_info,score_mean,score_std,quality_mean,quality_std,source_quality_label,target_quality_label,dominant_sector,v_weight
Quantum-Pointer,SAT-Frustration,Quantum-Pointer->SAT-Frustration,nnls,True,-0.04075887445711216,-0.1715713730353742,0.046329495058256676,-0.7128597106072553,0.02721551015271641,0.6020963304392412,0.17777924688593708,minmax(pointer robustness target),1 - minmax(log DPLL nodes),H,0.21834073386365818
Quantum-Pointer,Quantum-Pointer,Quantum-Pointer->Quantum-Pointer,nnls,False,0.36356875942835354,0.38056836565200497,0.1710966262610425,-0.7146391355857966,0.23339207368442275,0.49155158461081316,0.1292109864594332,minmax(pointer robustness target),minmax(pointer robustness target),H,0.21834073386365818
Quantum-Pointer,Active-Significance,Quantum-Pointer->Active-Significance,nnls,True,0.9987954052141017,0.7920848156397401,2.9429260582488137,-1.2826962236721438,1.4184797882018692,0.42764126164245453,0.33842713239672106,minmax(pointer robustness target),minmax(active significance R_sig),H,0.21834073386365818
Quantum-Pointer,Societal-CCI,Quantum-Pointer->Societal-CCI,nnls,True,0.9156899476355976,0.8694815772118052,0.8984113717245252,-0.9097484159944411,0.4948458471857646,0.3794947870383546,0.21856253280103527,minmax(pointer robustness target),minmax(societal constructive-impact ASI_soc),H,0.21834073386365818
Quantum-Pointer,SAT-Frustration,Quantum-Pointer->SAT-Frustration,ridge_pos,True,-0.27457118052250357,-0.30707538611358337,0.05909358666716491,-0.6238339799557523,0.0054616038290208006,0.6020963304392412,0.17777924688593708,minmax(pointer robustness target),1 - minmax(log DPLL nodes),S,0.0
Quantum-Pointer,Quantum-Pointer,Quantum-Pointer->Quantum-Pointer,ridge_pos,False,0.13454102210830501,0.15953447120841688,0.17197088290212026,-0.5231186467605902,0.19834026916745587,0.49155158461081316,0.1292109864594332,minmax(pointer robustness target),minmax(pointer robustness target),S,0.0
Quantum-Pointer,Active-Significance,Quantum-Pointer->Active-Significance,ridge_pos,True,0.9989644540257835,0.742786241549698,3.340965777720884,-2.8586537605664906,3.581547898705663,0.42764126164245453,0.33842713239672106,minmax(pointer robustness target),minmax(active significance R_sig),S,0.0
Quantum-Pointer,Societal-CCI,Quantum-Pointer->Societal-CCI,ridge_pos,True,0.9199654135986165,0.8508336986504099,1.0578218245492579,-1.4456851280600223,1.2210574379870074,0.3794947870383546,0.21856253280103527,minmax(pointer robustness target),minmax(societal constructive-impact ASI_soc),S,0.0
Quantum-Pointer,SAT-Frustration,Quantum-Pointer->SAT-Frustration,lasso_pos,True,0.2083229476590571,0.1957392655463691,0.0678083265200411,-0.7812309261771739,0.010547769807056613,0.6020963304392412,0.17777924688593708,minmax(pointer robustness target),1 - minmax(log DPLL nodes),V,0.7830651052511175
Quantum-Pointer,Quantum-Pointer,Quantum-Pointer->Quantum-Pointer,lasso_pos,False,0.5935583211068018,0.484457171543044,0.3292819697266065,-0.86562736347233,0.4722607204945228,0.49155158461081316,0.1292109864594332,minmax(pointer robustness target),minmax(pointer robustness target),V,0.7830651052511175
Quantum-Pointer,Active-Significance,Quantum-Pointer->Active-Significance,lasso_pos,True,0.93689884822379,0.8913167236462824,1.2314136207370252,-0.267389186194223,0.20458903276643584,0.42764126164245453,0.33842713239672106,minmax(pointer robustness target),minmax(active significance R_sig),V,0.7830651052511175
Quantum-Pointer,Societal-CCI,Quantum-Pointer->Societal-CCI,lasso_pos,True,0.25594212246168485,0.2670980792686022,0.07145450727395097,-0.6819574563180497,0.3894876656811333,0.3794947870383546,0.21856253280103527,minmax(pointer robustness target),minmax(societal constructive-impact ASI_soc),V,0.7830651052511175
Quantum-Pointer,SAT-Frustration,Quantum-Pointer->SAT-Frustration,response_top20,True,-0.12153470783142327,-0.1883336976050024,0.0012775037241130605,-0.7091946236904545,0.013701856847066584,0.6020963304392412,0.17777924688593708,minmax(pointer robustness target),1 - minmax(log DPLL nodes),V,0.3822638163312314
Quantum-Pointer,Quantum-Pointer,Quantum-Pointer->Quantum-Pointer,response_top20,False,0.49820421587672903,0.4531237858171665,0.2327801045432656,-0.7448907256596602,0.3056330845491474,0.49155158461081316,0.1292109864594332,minmax(pointer robustness target),minmax(pointer robustness target),V,0.3822638163312314
Quantum-Pointer,Active-Significance,Quantum-Pointer->Active-Significance,response_top20,True,0.9984335410660753,0.813248284074096,2.8203955162781416,-0.9111014263505707,0.9607992970434189,0.42764126164245453,0.33842713239672106,minmax(pointer robustness target),minmax(active significance R_sig),V,0.3822638163312314
Quantum-Pointer,Societal-CCI,Quantum-Pointer->Societal-CCI,response_top20,True,0.8797128973965157,0.8421535889885527,0.7962963393933373,-0.8533906246981645,0.3689046740083346,0.3794947870383546,0.21856253280103527,minmax(pointer robustness target),minmax(societal constructive-impact ASI_soc),V,0.3822638163312314
Quantum-Pointer,SAT-Frustration,Quantum-Pointer->SAT-Frustration,v_only,True,0.16004437902688984,0.25338895659087857,0.028019694692181574,-0.7941427856881128,0.023603595092574675,0.6020963304392412,0.17777924688593708,minmax(pointer robustness target),1 - minmax(log DPLL nodes),V,1.0
Quantum-Pointer,Quantum-Pointer,Quantum-Pointer->Quantum-Pointer,v_only,False,0.603448095815005,0.477594073266966,0.33714878066661225,-0.8882786122772317,0.581453815437522,0.49155158461081316,0.1292109864594332,minmax(pointer robustness target),minmax(pointer robustness target),V,1.0
Quantum-Pointer,Active-Significance,Quantum-Pointer->Active-Significance,v_only,True,0.8334706917947551,0.6666956202810358,0.732198870585723,-0.200404448578027,0.2084598692070664,0.42764126164245453,0.33842713239672106,minmax(pointer robustness target),minmax(active significance R_sig),V,1.0
Quantum-Pointer,Societal-CCI,Quantum-Pointer->Societal-CCI,v_only,True,0.21345548399421932,0.2260212247609746,0.03302593386657904,-0.7071245896899391,0.48349187130010973,0.3794947870383546,0.21856253280103527,minmax(pointer robustness target),minmax(societal constructive-impact ASI_soc),V,1.0
Active-Significance,SAT-Frustration,Active-Significance->SAT-Frustration,equal,True,-0.2683245685215357,-0.3083069293516405,0.038168029956416216,-0.6398494682801088,0.016797553926516145,0.6020963304392412,0.17777924688593708,minmax(active significance R_sig),1 - minmax(log DPLL nodes),H,0.2
Active-Significance,Quantum-Pointer,Active-Significance->Quantum-Pointer,equal,True,0.3771438857143697,0.3830591116425921,0.20426266921623792,-0.6531833429929268,0.24158424530508318,0.49155158461081316,0.1292109864594332,minmax(active significance R_sig),minmax(pointer robustness target),H,0.2
Active-Significance,Active-Significance,Active-Significance->Active-Significance,equal,False,0.9985482573471512,0.7992870650673997,3.0308220391831058,-1.1230116341799419,1.2234646736480415,0.42764126164245453,0.33842713239672106,minmax(active significance R_sig),minmax(active significance R_sig),H,0.2
Active-Significance,Societal-CCI,Active-Significance->Societal-CCI,equal,True,0.9551051677402066,0.9093208036086022,1.4109513355889947,-0.9305120521420311,0.4173214287780572,0.3794947870383546,0.21856253280103527,minmax(active significance R_sig),minmax(societal constructive-impact ASI_soc),H,0.2
Active-Significance,SAT-Frustration,Active-Significance->SAT-Frustration,nnls,True,-0.019901805868639672,-0.07995041131785066,0.03365049202879611,-0.7698695220094733,0.01659038775249844,0.6020963304392412,0.17777924688593708,minmax(active significance R_sig),1 - minmax(log DPLL nodes),V,0.5944730134593926
Active-Significance,Quantum-Pointer,Active-Significance->Quantum-Pointer,nnls,True,0.5517824457898207,0.48157201592249316,0.27227111677253024,-0.845574166581579,0.3866952507519395,0.49155158461081316,0.1292109864594332,minmax(active significance R_sig),minmax(pointer robustness target),V,0.5944730134593926
Active-Significance,Active-Significance,Active-Significance->Active-Significance,nnls,False,0.9642639046109505,0.9458503026581344,1.4603111888521259,-0.3289245222268021,0.23609830420878403,0.42764126164245453,0.33842713239672106,minmax(active significance R_sig),minmax(active significance R_sig),V,0.5944730134593926
Active-Significance,Societal-CCI,Active-Significance->Societal-CCI,nnls,True,0.2824196227847849,0.3012900769992688,0.09412226051825723,-0.661230213964715,0.33457375507636916,0.3794947870383546,0.21856253280103527,minmax(active significance R_sig),minmax(societal constructive-impact ASI_soc),V,0.5944730134593926
