set,source_n,t,delta,sigma,config,alpha,dsigma,F_MAAT,H,B,R
known_zero,7,40.9187190121475,-0.002,0.498,HBR,10.0,0.002,0.028751998658332723,0.9970220796459638,0.9803921568627451,0.9940507590528069
known_zero,7,40.9187190121475,0.0,0.5,HBR,10.0,0.002,0.005944752673356388,0.9999999999999951,1.0,0.9940728824031336
known_zero,7,40.9187190121475,0.002,0.502,HBR,10.0,0.002,0.02869643776015811,0.9970331850905182,0.9803921568627451,0.9940949181001331
known_zero,7,40.9187190121475,0.005,0.505,HBR,10.0,0.002,0.06207054348736949,0.9926363671327026,0.9523809523809523,0.994127808037279
known_zero,7,40.9187190121475,0.01,0.51,HBR,10.0,0.002,0.11580438914309968,0.9854475149523834,0.9090909090909091,0.9941821911199265
known_zero,7,40.9187190121475,0.02,0.52,HBR,10.0,0.002,0.21688964597725363,0.9715708623879178,0.8333333333333333,0.9942893505291519
known_zero,7,40.9187190121475,0.05,0.55,HBR,10.0,0.002,0.47961695685240635,0.9335735315547302,0.6666666666666665,0.9945983423150876
jittered_zero,7,40.765894027706324,-0.05,0.45,HBR,10.0,0.002,0.6390304258799052,0.7970523455724908,0.6666666666666666,0.9932922046865709
jittered_zero,7,40.765894027706324,-0.02,0.48,HBR,10.0,0.002,0.40155936952495874,0.8082615918379685,0.8333333333333333,0.993651942444745
jittered_zero,7,40.765894027706324,-0.01,0.49,HBR,10.0,0.002,0.31142968058955084,0.810691863147937,0.9090909090909091,0.9937672477605874
jittered_zero,7,40.765894027706324,-0.005,0.495,HBR,10.0,0.002,0.26366484004290514,0.8116552587956364,0.9523809523809523,0.9938240612242045
jittered_zero,7,40.765894027706324,-0.002,0.498,HBR,10.0,0.002,0.23403045696189656,0.812152804919513,0.9803921568627451,0.9938578838486355
jittered_zero,7,40.765894027706324,0.0,0.5,HBR,10.0,0.002,0.21383806117282025,0.812451075330416,1.0,0.9938803223675559
jittered_zero,7,40.765894027706324,0.002,0.502,HBR,10.0,0.002,0.23328393040129283,0.8127226985043737,0.9803921568627451,0.9939026733630766
jittered_zero,7,40.765894027706324,0.005,0.505,HBR,10.0,0.002,0.26179787380616915,0.8130803965057547,0.9523809523809523,0.9939360364862591
jittered_zero,7,40.765894027706324,0.01,0.51,HBR,10.0,0.002,0.3076911128268612,0.8135450170000904,0.9090909090909091,0.9939912088273687
jittered_zero,7,40.765894027706324,0.02,0.52,HBR,10.0,0.002,0.3940453496468902,0.8139907572987476,0.8333333333333333,0.9940999489247065
jittered_zero,7,40.765894027706324,0.05,0.55,HBR,10.0,0.002,0.6196209195165975,0.8117573226826148,0.6666666666666665,0.994413697510775
known_zero,8,43.327073280915,-0.05,0.45,HBR,10.0,0.002,0.5054082975711859,0.9121996883466348,0.6666666666666666,0.991985455983426
known_zero,8,43.327073280915,-0.02,0.48,HBR,10.0,0.002,0.22662154406301344,0.9639597111058769,0.8333333333333333,0.9924345545760233
known_zero,8,43.327073280915,-0.01,0.49,HBR,10.0,0.002,0.12110350602729135,0.9818232084395584,0.9090909090909091,0.992578370069253
known_zero,8,43.327073280915,-0.005,0.495,HBR,10.0,0.002,0.06533789381595043,0.9908721293886014,0.9523809523809523,0.992649205448942
known_zero,8,43.327073280915,-0.002,0.498,HBR,10.0,0.002,0.03080547796364997,0.9963393374684193,0.9803921568627451,0.9926913673884493
known_zero,8,43.327073280915,0.0,0.5,HBR,10.0,0.002,0.007307298525104289,0.9999999999999958,1.0,0.992719334865578
known_zero,8,43.327073280915,0.002,0.502,HBR,10.0,0.002,0.030735136060865254,0.996353395344953,0.9803921568627451,0.9927471904510379
known_zero,8,43.327073280915,0.005,0.505,HBR,10.0,0.002,0.06510960686022915,0.9909590365118206,0.9523809523809523,0.9927887649551141
known_zero,8,43.327073280915,0.01,0.51,HBR,10.0,0.002,0.12047466076983133,0.98216461380263,0.9090909090909091,0.9928575022939433
known_zero,8,43.327073280915,0.02,0.52,HBR,10.0,0.002,0.2246928855620879,0.965277563275705,0.8333333333333333,0.9929929247303005
known_zero,8,43.327073280915,0.05,0.55,HBR,10.0,0.002,0.495887136155889,0.9196305441075909,0.6666666666666665,0.99338323189146
jittered_zero,8,43.32183058735719,-0.05,0.45,HBR,10.0,0.002,0.5057284920389585,0.9118860185809801,0.6666666666666666,0.9920089916352852
jittered_zero,8,43.32183058735719,-0.02,0.48,HBR,10.0,0.002,0.22775760528410344,0.96284305418566,0.8333333333333333,0.9924573971739443
