set,source_n,t,delta,sigma,config,alpha,dsigma,F_MAAT,H,B,R
random_critical_line,32,25.70418411220618,0.02,0.52,HBR,10.0,0.001,0.8724143883724401,0.5031161534182765,0.8333333333333333,0.9968463658329891
random_critical_line,32,25.70418411220618,0.05,0.55,HBR,10.0,0.001,1.0861462850480479,0.507811832245636,0.6666666666666665,0.9969677386620122
random_critical_line,33,52.08932885627607,-0.05,0.45,HBR,10.0,0.001,1.4420107849185064,0.35640182936157633,0.6666666666666666,0.9951625122101583
random_critical_line,33,52.08932885627607,-0.02,0.48,HBR,10.0,0.001,1.1971300733209125,0.3641238029173573,0.8333333333333333,0.99546315743934
random_critical_line,33,52.08932885627607,-0.01,0.49,HBR,10.0,0.001,1.1031492297223342,0.3666350026009055,0.9090909090909091,0.9955593083712686
random_critical_line,33,52.08932885627607,-0.005,0.495,HBR,10.0,0.001,1.0531956548057069,0.3678785375166517,0.9523809523809523,0.995606644894589
random_critical_line,33,52.08932885627607,-0.002,0.498,HBR,10.0,0.001,1.022164273547641,0.36862076364011614,0.9803921568627451,0.9956348132306804
random_critical_line,33,52.08932885627607,0.0,0.5,HBR,10.0,0.001,1.0010058513208593,0.3691139506470776,1.0,0.995653495458095
random_critical_line,33,52.08932885627607,0.002,0.502,HBR,10.0,0.001,1.0194580867342176,0.3696058291978386,0.9803921568627451,0.995672100722675
random_critical_line,33,52.08932885627607,0.005,0.505,HBR,10.0,0.001,1.0464301449980273,0.3703411860934554,0.9523809523809523,0.9956998650004067
random_critical_line,33,52.08932885627607,0.01,0.51,HBR,10.0,0.001,1.0896179045978291,0.3715601903454856,0.9090909090909091,0.9957457584104566
random_critical_line,33,52.08932885627607,0.02,0.52,HBR,10.0,0.001,1.1700649796324023,0.373973303187599,0.8333333333333333,0.9958361361439582
random_critical_line,33,52.08932885627607,0.05,0.55,HBR,10.0,0.001,1.374305361330611,0.3810102696999556,0.6666666666666665,0.9960963355830343
