series,spacing_center,P_empirical,P_GUE_proxy,abs_diff,V_bin
uniform_points_control,0.5625,0.07692307692307693,0.08571266827507568,0.008789591351998749,0.991286992424041
uniform_points_control,0.6875,0.07179487179487179,0.10494100634369743,0.033146134548825645,0.9679172834893288
uniform_points_control,0.8125,0.046153846153846156,0.11544267687003044,0.06928883071618429,0.9352010151740047
uniform_points_control,0.9375,0.035897435897435895,0.11633275235946404,0.08043531646202814,0.9255528625948474
uniform_points_control,1.0625,0.035897435897435895,0.10868687473205,0.07278943883461411,0.9321493704172867
uniform_points_control,1.1875,0.02564102564102564,0.09489999827748423,0.06925897263645858,0.93522712980777
uniform_points_control,1.3125,0.046153846153846156,0.07787486525624683,0.031721019102400674,0.9692542668850558
uniform_points_control,1.4375,0.05128205128205128,0.06030232798823592,0.00902027670618464,0.9910603613084663
uniform_points_control,1.5625,0.015384615384615385,0.044197538538573826,0.02881292315395844,0.971994011247809
uniform_points_control,1.6875,0.03076923076923077,0.030733019046333233,3.621172289753824e-05,0.9999637895883438
uniform_points_control,1.8125,0.02564102564102564,0.020312028402782862,0.005328997238242778,0.9946992504415149
uniform_points_control,1.9375,0.020512820512820513,0.012778511295694713,0.0077343092171258,0.9923250512100413
uniform_points_control,2.0625,0.010256410256410256,0.007661332289213287,0.0025950779671969695,0.9974116390313239
uniform_points_control,2.1875,0.020512820512820513,0.004381794696964028,0.016131025815856487,0.984125053358247
uniform_points_control,2.3125,0.015384615384615385,0.0023926483460129867,0.0129919670386024,0.9871746593641967
uniform_points_control,2.4375,0.0,0.0012481997763131333,0.0012481997763131333,0.9987533562840941
uniform_points_control,2.5625,0.0,0.0006224751693707325,0.0006224751693707325,0.9993779120649221
uniform_points_control,2.6875,0.005128205128205128,0.00029690029807544747,0.004831304830129681,0.9951919244485059
uniform_points_control,2.8125,0.005128205128205128,0.00013549963503891273,0.004992705493166215,0.9950320977795394
uniform_points_control,2.9375,0.015384615384615385,5.9192701450321945e-05,0.015325422683165063,0.9849059007675931
uniform_points_control,3.0625,0.005128205128205128,2.4759617074972935e-05,0.005103445511130155,0.9949224673998259
uniform_points_control,3.1875,0.010256410256410256,9.91953710226861e-06,0.010246490719307989,0.9898574349790491
uniform_points_control,3.3125,0.0,3.8073434498653872e-06,3.8073434498653872e-06,0.999996192671046
uniform_points_control,3.4375,0.005128205128205128,1.400344623790132e-06,0.005126804783581338,0.9948993452774497
uniform_points_control,3.5625,0.0,4.936492322092337e-07,4.936492322092337e-07,0.9999995063510115
uniform_points_control,3.6875,0.005128205128205128,1.6682147413389726e-07,0.0051280383067309945,0.9948981243072577
uniform_points_control,3.8125,0.005128205128205128,5.4051375412111495e-08,0.005128151076829716,0.9948980126849141
uniform_points_control,3.9375,0.005128205128205128,1.6793735102046393e-08,0.005128188334470026,0.9948979758064813
