set,config,alpha,dsigma,delta,mean_F,median_F,std_F,mean_H,mean_B,mean_R
jittered_zero,BR,5.0,0.002,0.005,0.03275863555257706,0.032177864960222846,0.0027312266833606747,0.8599369485364905,0.9756097560975612,0.9919700251217186
jittered_zero,BR,5.0,0.002,0.01,0.0567571369691115,0.056162876701817174,0.0026877883483139944,0.8591036540259818,0.9523809523809523,0.9920681710467723
jittered_zero,BR,5.0,0.002,0.02,0.10308306901870354,0.10246314190121619,0.0026028332754449487,0.855638454617325,0.909090909090909,0.9922605166688003
jittered_zero,BR,5.0,0.002,0.05,0.2303650752488366,0.22974858700194817,0.00236264301768438,0.8381556567268396,0.7999999999999998,0.992807188801106
jittered_zero,BR,5.0,0.005,-0.05,0.24609106284015586,0.24460412422669814,0.008012572147045031,0.8214002277480669,0.8,0.977344311869817
jittered_zero,BR,5.0,0.005,-0.02,0.11661389485067168,0.11535100676890912,0.00729164207736738,0.8497522067529146,0.909090909090909,0.9789469363534744
jittered_zero,BR,5.0,0.005,-0.01,0.06957474337531203,0.0682615462867508,0.00706510014882594,0.8562582644403356,0.9523809523809523,0.979453725616894
jittered_zero,BR,5.0,0.005,-0.005,0.04522281848993342,0.04387222742547182,0.006954295467818422,0.8585300784244148,0.9756097560975612,0.9797021640822742
jittered_zero,BR,5.0,0.005,-0.002,0.030329549576734678,0.028957080948793106,0.0068885876469196965,0.8594465753298236,0.9900990099009901,0.9798496642753884
jittered_zero,BR,5.0,0.005,0.0,0.020279236782960865,0.01889241288779553,0.006845102102299597,0.8598261347082454,1.0,0.9799473518243854
jittered_zero,BR,5.0,0.005,0.002,0.030130123396974677,0.02872912635612268,0.006801870494212915,0.8600072776802227,0.9900990099009901,0.9800445255867516
jittered_zero,BR,5.0,0.005,0.005,0.04472424092647455,0.0433023224900016,0.0067374958661478865,0.8599369485364905,0.9756097560975612,0.9801893283716503
jittered_zero,BR,5.0,0.005,0.01,0.06857750171709913,0.06712160459847478,0.006631452945150152,0.8591036540259818,0.9523809523809523,0.9804281328467159
jittered_zero,BR,5.0,0.005,0.02,0.11461871921191973,0.1130981246787792,0.006423963635342857,0.855638454617325,0.909090909090909,0.9808963800622627
jittered_zero,BR,5.0,0.005,0.05,0.24109100004832026,0.23957539996387095,0.005836651840700733,0.8381556567268396,0.7999999999999998,0.9822289375371339
jittered_zero,BR,10.0,0.001,-0.05,0.41010189372882777,0.4097941254531956,0.00163573878331333,0.8214002277480669,0.6666666666666666,0.9953752455105596
jittered_zero,BR,10.0,0.001,-0.02,0.18662285729845682,0.18636188791107905,0.0014863377867952155,0.8497522067529146,0.8333333333333333,0.995709008821016
jittered_zero,BR,10.0,0.001,-0.01,0.09950563874981558,0.09923476072981863,0.0014394750339253217,0.8562582644403356,0.909090909090909,0.9958143352647377
jittered_zero,BR,10.0,0.001,-0.005,0.05293378059621238,0.05265548621728164,0.0014165686695446677,0.8585300784244148,0.9523809523809523,0.9958659303813351
jittered_zero,BR,10.0,0.001,-0.002,0.023915477762255975,0.02363284650077236,0.0014029896821127444,0.8594465753298236,0.980392156862745,0.9958965510459452
jittered_zero,BR,10.0,0.001,0.0,0.0040924800497214656,0.0038070039514483496,0.0013940049811366308,0.8598261347082454,1.0,0.995916825885169
jittered_zero,BR,10.0,0.001,0.002,0.023874848411238377,0.023586564258195566,0.001385074245506726,0.8600072776802227,0.980392156862745,0.9959369902592291
jittered_zero,BR,10.0,0.001,0.005,0.05283220461117087,0.052539776687670486,0.0013717785823762366,0.8599369485364905,0.9523809523809523,0.9959670309737076
jittered_zero,BR,10.0,0.001,0.01,0.09930246815411113,0.09900331364676529,0.0013498841759940414,0.8591036540259818,0.909090909090909,0.996016554729805
jittered_zero,BR,10.0,0.001,0.02,0.18621636708210126,0.185904416975403,0.0013070705910483839,0.855638454617325,0.8333333333333333,0.996113594012157
jittered_zero,BR,10.0,0.001,0.05,0.4090830580143255,0.4087730692580235,0.0011860736465125724,0.8381556567268396,0.6666666666666665,0.9963892701195458
jittered_zero,BR,10.0,0.002,-0.05,0.414714738591026,0.41410450717748115,0.0032545673591502533,0.8214002277480669,0.6666666666666666,0.9907981280086032
jittered_zero,BR,10.0,0.002,-0.02,0.19090363886911677,0.1903859834631736,0.0029584372690507304,0.8497522067529146,0.8333333333333333,0.9914588662198607
jittered_zero,BR,10.0,0.002,-0.01,0.10368160274124508,0.1031440352458119,0.0028655071407481347,0.8562582644403356,0.909090909090909,0.9916674867135266
jittered_zero,BR,10.0,0.002,-0.005,0.0570583939159228,0.05650596039577338,0.0028200756802588007,0.8585300784244148,0.9523809523809523,0.9917697005645572
jittered_zero,BR,10.0,0.002,-0.002,0.02800961399043083,0.02744848616252465,0.002793141384162648,0.8594465753298236,0.980392156862745,0.9918303683990637
jittered_zero,BR,10.0,0.002,0.0,0.008166435887954146,0.007599604470346463,0.0027753190226083983,0.8598261347082454,1.0,0.9918705407956064
jittered_zero,BR,10.0,0.002,0.002,0.02792873332448615,0.027356271710776422,0.002757602950091956,0.8600072776802227,0.980392156862745,0.9919104962497242
jittered_zero,BR,10.0,0.002,0.005,0.05685618713161271,0.05627541653925851,0.002731226683360678,0.8599369485364905,0.9523809523809523,0.9919700251217186
jittered_zero,BR,10.0,0.002,0.01,0.10327715260395431,0.10268289233666,0.0026877883483139883,0.8591036540259818,0.909090909090909,0.9920681710467723
jittered_zero,BR,10.0,0.002,0.02,0.1900944460082334,0.189474518890746,0.0026028332754449582,0.855638454617325,0.8333333333333333,0.9922605166688003
jittered_zero,BR,10.0,0.002,0.05,0.4126866320425412,0.41207014379565277,0.002362643017684373,0.8381556567268396,0.6666666666666665,0.992807188801106
jittered_zero,BR,10.0,0.005,-0.05,0.4284126196338606,0.42692568102040285,0.00801257214704499,0.8214002277480669,0.6666666666666666,0.977344311869817
jittered_zero,BR,10.0,0.005,-0.02,0.20362527184020154,0.20236238375843896,0.007291642077367377,0.8497522067529146,0.8333333333333333,0.9789469363534744
jittered_zero,BR,10.0,0.005,-0.01,0.11609475901015484,0.11478156192159361,0.0070651001488259415,0.8562582644403356,0.909090909090909,0.979453725616894
jittered_zero,BR,10.0,0.005,-0.005,0.06932037006896907,0.06796977900450746,0.0069542954678184265,0.8585300784244148,0.9523809523809523,0.9797021640822742
jittered_zero,BR,10.0,0.005,-0.002,0.040181846019736345,0.03880937739179477,0.0068885876469196965,0.8594465753298236,0.980392156862745,0.9798496642753884
jittered_zero,BR,10.0,0.005,0.0,0.020279236782960865,0.01889241288779553,0.006845102102299597,0.8598261347082454,1.0,0.9799473518243854
jittered_zero,BR,10.0,0.005,0.002,0.039982419839976344,0.03858142279912435,0.006801870494212915,0.8600072776802227,0.980392156862745,0.9800445255867516
jittered_zero,BR,10.0,0.005,0.005,0.06882179250551021,0.06739987406903725,0.006737495866147882,0.8599369485364905,0.9523809523809523,0.9801893283716503
jittered_zero,BR,10.0,0.005,0.01,0.11509751735194196,0.11364162023331761,0.006631452945150158,0.8591036540259818,0.909090909090909,0.9804281328467159
jittered_zero,BR,10.0,0.005,0.02,0.20163009620144953,0.20010950166830904,0.0064239636353428395,0.855638454617325,0.8333333333333333,0.9808963800622627
jittered_zero,BR,10.0,0.005,0.05,0.42341255684202495,0.42189695675757555,0.005836651840700723,0.8381556567268396,0.6666666666666665,0.9822289375371339
