set,config,alpha,dsigma,delta,mean_F,median_F,std_F,mean_H,mean_B,mean_R
known_zero,BR,10.0,0.002,0.005,0.0568694397449376,0.05609021550725494,0.002742517672338368,0.9899068812178097,0.9523809523809523,0.991956909034615
known_zero,BR,10.0,0.002,0.01,0.10329046532313438,0.1025243611998071,0.002698197386384076,0.9801575346888203,0.909090909090909,0.9920549912508816
known_zero,BR,10.0,0.002,0.02,0.19010788740819834,0.18936737979934837,0.0026114601049148896,0.9616210023101075,0.8333333333333333,0.9922472012629171
known_zero,BR,10.0,0.002,0.05,0.41270051913579486,0.41203184332893683,0.002365783156383349,0.9126603954221671,0.6666666666666665,0.9927934089622313
known_zero,HBR,10.0,0.002,-0.05,0.5179636254885668,0.5077586410564319,0.03734216179530058,0.9024210172020192,0.6666666666666666,0.9907855026366278
known_zero,HBR,10.0,0.002,-0.02,0.23208280765191427,0.22733546690213857,0.016858710680306987,0.9597595791545208,0.8333333333333333,0.9914460236761531
known_zero,HBR,10.0,0.002,-0.01,0.12425721908995743,0.12145955308801229,0.009866362406995836,0.9796707204251268,0.909090909090909,0.9916545441401876
known_zero,HBR,10.0,0.002,-0.005,0.06734774038003066,0.06554560358286068,0.00633790435584864,0.9897823372072599,0.9523809523809523,0.9917567031876688
known_zero,HBR,10.0,0.002,-0.002,0.03213206636766904,0.030933976559119277,0.004210308959852451,0.9959001102435833,0.980392156862745,0.9918173366617488
known_zero,HBR,10.0,0.002,0.0,0.008179631358937501,0.007387068830125002,0.0027874857689545304,0.9999999999999927,1.0,0.9918574855482681
known_zero,HBR,10.0,0.002,0.002,0.032030926345511794,0.030846314987819708,0.004164939961091132,0.9959203186489791,0.980392156862745,0.9918974170172419
known_zero,HBR,10.0,0.002,0.005,0.06701963209358179,0.06526111037222379,0.006190917172149916,0.9899068812178097,0.9523809523809523,0.991956909034615
known_zero,HBR,10.0,0.002,0.01,0.123354719039146,0.12067591253857057,0.00946401427404938,0.9801575346888203,0.909090909090909,0.9920549912508816
known_zero,HBR,10.0,0.002,0.02,0.22932534724980314,0.2249322582671926,0.015645142348797953,0.9616210023101075,0.8333333333333333,0.9922472012629171
known_zero,HBR,10.0,0.002,0.05,0.504507895256437,0.4958216530564966,0.03166258742962962,0.9126603954221671,0.6666666666666665,0.9927934089622313
known_zero,HR,10.0,0.002,-0.05,0.11249851738190224,0.10229353294976745,0.0373421617953006,0.9024210172020192,0.6666666666666666,0.9907855026366278
known_zero,HR,10.0,0.002,-0.02,0.04976125085915953,0.04501391010938384,0.016858710680306987,0.9597595791545208,0.8333333333333333,0.9914460236761531
known_zero,HR,10.0,0.002,-0.01,0.028947039286732524,0.026149373284787385,0.009866362406995835,0.9796707204251268,0.909090909090909,0.9916545441401876
known_zero,HR,10.0,0.002,-0.005,0.018557576211648583,0.016755439414478594,0.006337904355848641,0.9897823372072599,0.9523809523809523,0.9917567031876688
known_zero,HR,10.0,0.002,-0.002,0.012329439072509264,0.011131349263959499,0.004210308959852452,0.9959001102435833,0.980392156862745,0.9918173366617488
known_zero,HR,10.0,0.002,0.0,0.00817963135993759,0.007387068831125091,0.0027874857689545304,0.9999999999999927,1.0,0.9918574855482681
known_zero,HR,10.0,0.002,0.002,0.012228299050352016,0.01104368769265993,0.004164939961091135,0.9959203186489791,0.980392156862745,0.9918974170172419
known_zero,HR,10.0,0.002,0.005,0.018229467925199708,0.016470946203841704,0.006190917172149918,0.9899068812178097,0.9523809523809523,0.991956909034615
known_zero,HR,10.0,0.002,0.01,0.028044539235921075,0.025365732735345654,0.009464014274049377,0.9801575346888203,0.909090909090909,0.9920549912508816
known_zero,HR,10.0,0.002,0.02,0.0470037904570484,0.042610701474437865,0.01564514234879796,0.9616210023101075,0.8333333333333333,0.9922472012629171
known_zero,HR,10.0,0.002,0.05,0.09904278714977237,0.09035654494983202,0.031662587429629595,0.9126603954221671,0.6666666666666665,0.9927934089622313
random_critical_line,BR,10.0,0.002,-0.05,0.41592979208242553,0.41485940871976446,0.005329057152120459,0.44823200478233527,0.6666666666666666,0.9896035510915878
random_critical_line,BR,10.0,0.002,-0.02,0.19210008369922132,0.19109713103312292,0.0049868795944596955,0.45780801354462436,0.8333333333333333,0.9902811080251009
