dataset_id,family,split,policy,n_vars,n_clauses,alpha,solved,sat,timeout,runtime_budget_exceeded,decisions,propagations,conflicts,learned_clauses,max_level,gate_value,runtime_s,compute_cost
dubois_dubois23,satlib_dimacs_dubois,calibration,gate_plus_L,69,184,2.6666666666666665,1,0,0,0,631,2321,200,199,27,0.4990041500104128,0.36270474997581914,398.58399999999995
dubois_dubois23,satlib_dimacs_dubois,calibration,gate_shuffled_L,69,184,2.6666666666666665,1,0,0,0,555,1944,204,203,28,0.499004150011448,0.31096391699975356,378.276
dubois_dubois24,satlib_dimacs_dubois,test,vsids,72,192,2.6666666666666665,1,0,0,0,685,1879,198,197,36,0.4987273522258898,0.3326550829806365,411.016
dubois_dubois24,satlib_dimacs_dubois,test,moms,72,192,2.6666666666666665,1,0,0,0,79,1761,52,51,25,0.4987273522258898,0.07197266694856808,82.744
dubois_dubois24,satlib_dimacs_dubois,test,jeroslow_wang,72,192,2.6666666666666665,1,0,0,0,538,2812,311,310,25,0.4987273522258898,0.43066204199567437,483.64799999999997
dubois_dubois24,satlib_dimacs_dubois,test,score_with_R,72,192,2.6666666666666665,1,0,0,0,703,1827,153,152,30,0.4987273522258898,0.3434777499642223,371.20799999999997
dubois_dubois24,satlib_dimacs_dubois,test,frozen_gate_v17,72,192,2.6666666666666665,1,0,0,0,590,1829,170,169,31,0.4987273522258898,0.2931946670287289,354.316
dubois_dubois24,satlib_dimacs_dubois,test,gate_plus_L,72,192,2.6666666666666665,1,0,0,0,752,2575,239,238,29,0.49872735222689696,0.4572703330195509,474.90000000000003
dubois_dubois24,satlib_dimacs_dubois,test,gate_shuffled_L,72,192,2.6666666666666665,1,0,0,0,535,1540,167,166,29,0.4987273522266055,0.2664150829659775,333.66
dubois_dubois25,satlib_dimacs_dubois,test,vsids,75,200,2.6666666666666665,1,0,0,0,798,2429,227,226,27,0.49847263211275195,0.4247842920012772,476.116
dubois_dubois25,satlib_dimacs_dubois,test,moms,75,200,2.6666666666666665,1,0,0,0,82,1909,54,53,26,0.49847263211275195,0.07954891701228917,86.23599999999999
dubois_dubois25,satlib_dimacs_dubois,test,jeroslow_wang,75,200,2.6666666666666665,1,0,0,0,599,3033,329,328,26,0.49847263211275195,0.5011424999684095,520.832
dubois_dubois25,satlib_dimacs_dubois,test,score_with_R,75,200,2.6666666666666665,1,0,0,0,728,2500,225,224,28,0.49847263211275195,0.44728179200319573,453.4
dubois_dubois25,satlib_dimacs_dubois,test,frozen_gate_v17,75,200,2.6666666666666665,1,0,0,0,703,2651,244,243,30,0.49847263211275195,0.43314408301375806,465.50399999999996
dubois_dubois25,satlib_dimacs_dubois,test,gate_plus_L,75,200,2.6666666666666665,1,0,0,0,692,1975,178,177,31,0.498472632114027,0.37344462500186637,393.5
dubois_dubois25,satlib_dimacs_dubois,test,gate_shuffled_L,75,200,2.6666666666666665,1,0,0,0,686,2378,217,216,28,0.498472632114027,0.42903562501305714,432.31199999999995
dubois_dubois26,satlib_dimacs_dubois,test,vsids,78,208,2.6666666666666665,1,0,0,0,808,2154,221,220,39,0.4982374496708327,0.42816504201618955,472.01599999999996
dubois_dubois26,satlib_dimacs_dubois,test,moms,78,208,2.6666666666666665,1,0,0,0,85,2063,56,55,27,0.4982374496708327,0.08751337503781542,89.752
dubois_dubois26,satlib_dimacs_dubois,test,jeroslow_wang,78,208,2.6666666666666665,1,0,0,0,649,3232,346,345,27,0.4982374496708327,0.5667995829717256,553.628
dubois_dubois26,satlib_dimacs_dubois,test,score_with_R,78,208,2.6666666666666665,1,0,0,0,1029,3383,292,291,31,0.4982374496708327,0.6793964589596726,614.2320000000001
dubois_dubois26,satlib_dimacs_dubois,test,frozen_gate_v17,78,208,2.6666666666666665,1,0,0,0,728,2095,190,189,31,0.4982374496708327,0.42374379199463874,416.78
dubois_dubois26,satlib_dimacs_dubois,test,gate_plus_L,78,208,2.6666666666666665,1,0,0,0,858,2573,240,239,31,0.4982374496723549,0.5528110419982113,507.69199999999995
dubois_dubois26,satlib_dimacs_dubois,test,gate_shuffled_L,78,208,2.6666666666666665,1,0,0,0,913,3950,363,362,30,0.49823744967088157,0.7377563340123743,652.6999999999999
dubois_dubois27,satlib_dimacs_dubois,test,vsids,81,216,2.6666666666666665,1,0,0,0,915,2789,247,246,29,0.49801964012623834,0.5239979159669019,532.656
dubois_dubois27,satlib_dimacs_dubois,test,moms,81,216,2.6666666666666665,1,0,0,0,88,2223,58,57,28,0.49801964012623834,0.09568083303747699,93.292
dubois_dubois27,satlib_dimacs_dubois,test,jeroslow_wang,81,216,2.6666666666666665,1,0,0,0,711,3501,370,369,28,0.49801964012623834,0.6513355000060983,597.304
dubois_dubois27,satlib_dimacs_dubois,test,score_with_R,81,216,2.6666666666666665,1,0,0,0,1012,2505,206,205,33,0.49801964012623834,0.579307375010103,519.62
dubois_dubois27,satlib_dimacs_dubois,test,frozen_gate_v17,81,216,2.6666666666666665,1,0,0,0,777,2310,202,201,31,0.49801964012623834,0.46170616598101333,444.34000000000003
dubois_dubois27,satlib_dimacs_dubois,test,gate_plus_L,81,216,2.6666666666666665,1,0,0,0,942,2784,230,229,32,0.4980196401279892,0.5789174580131657,523.7359999999999
dubois_dubois27,satlib_dimacs_dubois,test,gate_shuffled_L,81,216,2.6666666666666665,1,0,0,0,699,2068,195,194,32,0.4980196401282015,0.39733229199191555,412.972
dubois_dubois28,satlib_dimacs_dubois,test,vsids,84,224,2.6666666666666665,1,0,0,0,942,2475,248,247,42,0.497817347112324,0.5443095419905148,540.4999999999999
dubois_dubois28,satlib_dimacs_dubois,test,moms,84,224,2.6666666666666665,1,0,0,0,91,2389,60,59,29,0.497817347112324,0.10535933298524469,96.856
dubois_dubois28,satlib_dimacs_dubois,test,jeroslow_wang,84,224,2.6666666666666665,1,0,0,0,774,3731,389,388,29,0.497817347112324,0.7379365839879028,636.124
dubois_dubois28,satlib_dimacs_dubois,test,score_with_R,84,224,2.6666666666666665,1,0,0,0,913,2606,234,233,33,0.497817347112324,0.577152332989499,518.324
dubois_dubois28,satlib_dimacs_dubois,test,frozen_gate_v17,84,224,2.6666666666666665,1,0,0,0,868,2707,268,267,34,0.497817347112324,0.5970785839599557,539.228
dubois_dubois28,satlib_dimacs_dubois,test,gate_plus_L,84,224,2.6666666666666665,1,0,0,0,845,2346,209,208,32,0.4978173471142871,0.49347229197155684,471.884
dubois_dubois28,satlib_dimacs_dubois,test,gate_shuffled_L,84,224,2.6666666666666665,1,0,0,0,917,2545,219,218,33,0.4978173471138462,0.5783930419711396,504.28
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,vsids,90,300,3.3333333333333335,1,1,0,0,5,85,0,0,5,0.2682747118065584,0.0029728750232607126,1.84
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,moms,90,300,3.3333333333333335,1,1,0,0,17,73,0,0,17,0.2682747118065584,0.007182749977800995,5.3919999999999995
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,jeroslow_wang,90,300,3.3333333333333335,1,1,0,0,19,71,0,0,19,0.2682747118065584,0.009089833009056747,5.984
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,score_with_R,90,300,3.3333333333333335,1,1,0,0,16,144,2,2,12,0.2682747118065584,0.00938674999633804,7.3759999999999994
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,frozen_gate_v17,90,300,3.3333333333333335,1,1,0,0,13,107,1,1,12,0.2682747118065584,0.008586250012740493,5.328
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,gate_plus_L,90,300,3.3333333333333335,1,1,0,0,10,80,0,0,10,0.26827471181079543,0.005362041003536433,3.32
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,gate_shuffled_L,90,300,3.3333333333333335,1,1,0,0,15,75,0,0,15,0.26827471179732104,0.007185291964560747,4.8
flat30-60_flat30-10,satlib_graph_coloring_flat30,calibration,vsids,90,300,3.3333333333333335,1,1,0,0,9,81,0,0,9,0.2563755747330389,0.004306624992750585,3.0239999999999996
flat30-60_flat30-10,satlib_graph_coloring_flat30,calibration,moms,90,300,3.3333333333333335,1,1,0,0,13,77,0,0,13,0.2563755747330389,0.006032791978213936,4.208
flat30-60_flat30-10,satlib_graph_coloring_flat30,calibration,jeroslow_wang,90,300,3.3333333333333335,1,1,0,0,23,251,7,7,18,0.2563755747330389,0.014020207978319377,14.903999999999998
flat30-60_flat30-10,satlib_graph_coloring_flat30,calibration,score_with_R,90,300,3.3333333333333335,1,1,0,0,26,179,5,5,17,0.2563755747330389,0.01419337501283735,13.516
flat30-60_flat30-10,satlib_graph_coloring_flat30,calibration,frozen_gate_v17,90,300,3.3333333333333335,1,1,0,0,20,93,1,1,19,0.2563755747330389,0.010130667011253536,7.372
flat30-60_flat30-10,satlib_graph_coloring_flat30,calibration,gate_plus_L,90,300,3.3333333333333335,1,1,0,0,11,79,0,0,11,0.2563755746780509,0.006264875002671033,3.6159999999999997
flat30-60_flat30-10,satlib_graph_coloring_flat30,calibration,gate_shuffled_L,90,300,3.3333333333333335,1,1,0,0,12,110,2,2,8,0.2563755746780509,0.007845207990612835,6.04
flat30-60_flat30-100,satlib_graph_coloring_flat30,test,vsids,90,300,3.3333333333333335,1,1,0,0,6,84,0,0,6,0.26300981955056757,0.003224708023481071,2.1359999999999997
flat30-60_flat30-100,satlib_graph_coloring_flat30,test,moms,90,300,3.3333333333333335,1,1,0,0,10,80,0,0,10,0.26300981955056757,0.005243166990112513,3.32
