epsilon,chi2
-5.859999999999999758e-03,1.239496880333515350e+01
-5.839999999999999705e-03,1.239507896906216899e+01
-5.819999999999999653e-03,1.239518936996834597e+01
-5.799999999999999600e-03,1.239530000605366311e+01
-5.779999999999999548e-03,1.239541087731814528e+01
-5.759999999999999495e-03,1.239552198376178538e+01
-5.739999999999999443e-03,1.239563332538457985e+01
-5.720000000000000258e-03,1.239574490218652336e+01
-5.700000000000000205e-03,1.239585671416762302e+01
-5.680000000000000153e-03,1.239596876132789305e+01
-5.660000000000000100e-03,1.239608104366730856e+01
-5.640000000000000048e-03,1.239619356118587490e+01
-5.619999999999999996e-03,1.239630631388360449e+01
-5.599999999999999943e-03,1.239641930176050089e+01
-5.579999999999999891e-03,1.239653252481653567e+01
-5.559999999999999838e-03,1.239664598305173548e+01
-5.539999999999999786e-03,1.239675967646608257e+01
-5.519999999999999733e-03,1.239687360505959646e+01
-5.499999999999999681e-03,1.239698776883226472e+01
-5.479999999999999628e-03,1.239710216778408025e+01
-5.459999999999999576e-03,1.239721680191505193e+01
-5.439999999999999523e-03,1.239733167122519397e+01
-5.419999999999999471e-03,1.239744677571447440e+01
-5.399999999999999419e-03,1.239756211538292163e+01
-5.380000000000000233e-03,1.239767769023052679e+01
-5.360000000000000181e-03,1.239779350025727389e+01
-5.340000000000000129e-03,1.239790954546319135e+01
-5.320000000000000076e-03,1.239802582584825430e+01
-5.300000000000000024e-03,1.239814234141248583e+01
-5.279999999999999971e-03,1.239825909215586286e+01
-5.259999999999999919e-03,1.239837607807839603e+01
-5.239999999999999866e-03,1.239849329918008891e+01
-5.219999999999999814e-03,1.239861075546094327e+01
-5.199999999999999761e-03,1.239872844692094311e+01
-5.179999999999999709e-03,1.239884637356010089e+01
-5.159999999999999656e-03,1.239896453537842191e+01
-5.139999999999999604e-03,1.239908293237589376e+01
-5.119999999999999551e-03,1.239920156455252354e+01
-5.099999999999999499e-03,1.239932043190830768e+01
-5.079999999999999447e-03,1.239943953444324976e+01
-5.059999999999999394e-03,1.239955887215734798e+01
-5.040000000000000209e-03,1.239967844505060057e+01
-5.020000000000000157e-03,1.239979825312299688e+01
-5.000000000000000104e-03,1.239991829637456888e+01
-4.980000000000000052e-03,1.240003857480529881e+01
-4.959999999999999999e-03,1.240015908841516179e+01
-4.939999999999999947e-03,1.240027983720419158e+01
-4.919999999999999894e-03,1.240040082117238640e+01
-4.899999999999999842e-03,1.240052204031973204e+01
-4.879999999999999789e-03,1.240064349464622850e+01
-4.859999999999999737e-03,1.240076518415188467e+01
-4.839999999999999684e-03,1.240088710883669876e+01
-4.819999999999999632e-03,1.240100926870065834e+01
-4.799999999999999580e-03,1.240113166374378650e+01
-4.779999999999999527e-03,1.240125429396606904e+01
-4.759999999999999475e-03,1.240137715936750418e+01
-4.739999999999999422e-03,1.240150025994809013e+01
-4.719999999999999370e-03,1.240162359570784467e+01
-4.700000000000000185e-03,1.240174716664675358e+01
-4.680000000000000132e-03,1.240187097276480976e+01
-4.660000000000000080e-03,1.240199501406201676e+01
-4.640000000000000027e-03,1.240211929053839057e+01
-4.619999999999999975e-03,1.240224380219392408e+01
-4.599999999999999922e-03,1.240236854902860486e+01
-4.579999999999999870e-03,1.240249353104243824e+01
-4.559999999999999817e-03,1.240261874823543309e+01
-4.539999999999999765e-03,1.240274420060759297e+01
-4.519999999999999712e-03,1.240286988815889835e+01
-4.499999999999999660e-03,1.240299581088935987e+01
-4.479999999999999608e-03,1.240312196879897400e+01
-4.459999999999999555e-03,1.240324836188774960e+01
