z,C_proj_norm,R_proj,H,B,S,V,R_resp,R_rob,CCI_min,CCI_diag
2.002503128911138908e-01,1.872312569457522669e+00,6.364973551189555545e-01,9.630806901976063372e-01,5.243875659190225802e-01,5.041283289597017214e-01,6.043661023553803524e-01,6.732944782140182216e-01,6.263095952721763338e-01,2.409982066303298087e-01,1.854678551020412791e-01
2.027534418022528262e-01,1.886671286763083710e+00,6.339620870640882977e-01,9.628299741168796499e-01,5.245088996909872403e-01,5.041602524367161386e-01,6.053200088489900654e-01,6.736420121609811851e-01,6.265619597027078935e-01,2.409185064105570651e-01,1.854061445038987233e-01
2.052565707133917339e-01,1.901131247327097595e+00,6.314139492091926931e-01,9.625777715634420417e-01,5.246311457442416337e-01,5.041924050922135248e-01,6.062817966669752368e-01,6.739921045640313579e-01,6.268161558324636395e-01,2.408381378175416809e-01,1.853439443498434425e-01
2.077596996245306693e-01,1.915693104348161091e+00,6.288529320149749413e-01,9.623240759087362539e-01,5.247543108414999269e-01,5.042247884658261903e-01,6.072515302469547738e-01,6.743447717481817483e-01,6.270721950071300732e-01,2.407570958010918083e-01,1.852812512496647412e-01
2.102628285356696047e-01,1.930357514688572307e+00,6.262790266661077965e-01,9.620688805097852292e-01,5.248784017970471449e-01,5.042574041067241497e-01,6.082292745701373127e-01,6.747000301184788995e-01,6.273300886234361995e-01,2.406753752810789071e-01,1.852180617960823006e-01
2.127659574468085124e-01,1.945125138892942696e+00,6.236922250778795807e-01,9.618121787092567265e-01,5.250034254772030229e-01,5.042902535736751846e-01,6.092150951666316372e-01,6.750578961603374006e-01,6.275898481293171738e-01,2.405929711473578370e-01,1.851543725647220306e-01
2.152690863579474478e-01,1.959996641206935841e+00,6.210925199027895749e-01,9.615539638354859697e-01,5.251293888007931843e-01,5.043233384351067938e-01,6.102090581208221565e-01,6.754183864398691783e-01,6.278514850240736189e-01,2.405098782596938045e-01,1.850901801140961700e-01
2.177722152690863555e-01,1.974972689596130371e+00,6.184799045370891202e-01,9.612942292025520308e-01,5.252562987396237615e-01,5.043566602691678114e-01,6.112112300768113293e-01,6.757815176042304417e-01,6.281150108585422664e-01,2.404260914476839817e-01,1.850254809855796934e-01
2.202753441802252909e-01,1.990053955764974347e+00,6.158543731272735355e-01,9.610329681103353394e-01,5.253841623189638987e-01,5.043902206637904673e-01,6.122216782439275917e-01,6.761473063819688489e-01,6.283804372352664869e-01,2.403416055106828431e-01,1.849602717033888288e-01
2.227784730913641986e-01,2.005241115175874889e+00,6.132159205765135290e-01,9.607701738445775241e-01,5.255129866180312526e-01,5.044240212167538928e-01,6.132404704023004527e-01,6.765157695833755591e-01,6.286477758086694845e-01,2.402564152177290024e-01,1.848945487745603522e-01
2.252816020025031341e-01,2.020534847068386597e+00,6.105645425510327629e-01,9.605058396769471374e-01,5.256427787704853749e-01,5.044580635357465148e-01,6.142676749085039800e-01,6.768869241008445004e-01,6.289170382852319330e-01,2.401705153074723820e-01,1.848283086889307425e-01
2.277847309136420695e-01,2.035935834478530104e+00,6.079002354864223578e-01,9.602399588650900597e-01,5.257735459649258702e-01,5.044923492384310038e-01,6.153033607012712292e-01,6.772607869092326371e-01,6.291882364236696112e-01,2.400839004881052952e-01,1.847615479191177246e-01
2.302878598247809772e-01,2.051444764258221198e+00,6.052229965938964451e-01,9.599725246527117672e-01,5.259052954453963258e-01,5.045268799525080006e-01,6.163475973072769509e-01,6.776373750662332274e-01,6.294613820351196987e-01,2.399965654372910873e-01,1.846942629204998687e-01
2.327909887359199126e-01,2.067062327094813856e+00,6.025328238664842129e-01,9.597035302696355075e-01,5.260380345118949030e-01,5.045616573157811757e-01,6.174004548469921305e-01,6.780167057127481911e-01,6.297364869833254053e-01,2.399085048020969391e-01,1.846264501311984940e-01
2.352941176470588203e-01,2.082789217530770731e+00,5.998297160851553400e-01,9.594329689318880083e-01,5.261717705208897033e-01,5.045966829762229544e-01,6.184620040406120234e-01,6.783987960732735800e-01,6.300135631848297058e-01,2.398197131989261155e-01,1.845581059720589889e-01
2.377972465581977557e-01,2.098626133983428677e+00,5.971136728248849224e-01,9.591608338417607627e-01,5.263065108858416830e-01,5.046319585920404638e-01,6.195323162140543571e-01,6.787836634562830485e-01,6.302926226091662976e-01,2.397301852134537392e-01,1.844892268466342411e-01
2.403003754693366911e-01,2.114573778764913037e+00,5.943846944606410165e-01,9.588871181878836358e-01,5.264422630777328971e-01,5.046674858317419243e-01,6.206114633050349161e-01,6.791713252546218715e-01,6.305736772790577760e-01,2.396399154005635357e-01,1.844198091411678175e-01
