source,target,source_candidate_id,target_candidate_id,source_background_id,target_background_id,source_type,target_type,feature_distance,tunnel_barrier_proxy,delta_F_bridge,structural_uphill,structural_downhill,avg_control,avg_tadpole,stability_loss,gamma_proxy,transition_weight,structural_action,energy_action,P_structural,P_energy,source_F_bridge,target_F_bridge,source_abs_energy,target_abs_energy
7,59,17,126,8,70,AdS minimum,AdS minimum,4.96615151105,0.4298971720542852,-0.0012135949626792542,0.0,0.0012135949626792542,0.009194812088395735,0.12,5.374019784731843e-09,0.6505759886764207,0.5957039465049973,0.5180114693820352,0.4298971720542852,0.18641830544388727,0.21074515393619805,-1.587604771977871,-1.5888183669405502,2.7112053391451424e-15,4.980377992421974e-16
7,39,17,84,8,46,AdS minimum,AdS minimum,5.10778390723786,0.4075797028580906,-1.0172715727238286,0.0,1.0172715727238286,0.009322431574724906,0.08,0.0,0.6652584262869861,0.6251057912370732,0.46983437759028795,0.43755055554221495,0.1956192551841655,0.20913839686181138,-1.587604771977871,-2.6048763447016996,2.7112053391451424e-15,2.810295884989643e-15
7,12,17,29,8,15,AdS minimum,AdS minimum,5.320330001597594,0.4155623897735881,-1.019117017005586,0.0,1.019117017005586,0.009276906666726037,0.08,0.0,0.6599690164914099,0.6201666869812077,0.47776698710698673,0.6778724053814295,0.19407362257388802,0.16446114947681983,-1.587604771977871,-2.606721788983457,2.7112053391451424e-15,3.921326889136822e-15
7,56,17,120,8,67,AdS minimum,AdS minimum,5.499516945978854,0.5325133781513103,-0.39616150464562305,0.0,0.39616150464562305,0.009540878784330048,0.1,0.0,0.587127440380545,0.544434115018796,0.6080083448140734,1.2403327695093718,0.17037403519500594,0.09371085254514985,-1.587604771977871,-1.983766276623494,2.7112053391451424e-15,1.6208430673390828e-14
8,64,19,136,9,76,dS minimum,dS minimum,4.9194680505818225,0.5367184512641587,0.7255979999180879,0.7255979999180879,0.0,0.007804066011610874,0.12,0.0,0.584663710280223,0.2893665012778006,1.2400612238073054,0.5367184512641587,0.11102579380712224,0.16379062631255561,-2.0133871137356336,-1.2877891138175457,5.682582840659357e-15,3.792256627267396e-15
8,32,19,71,9,39,dS minimum,dS minimum,5.221044905419122,0.553984400557716,0.9724016291776056,0.9724016291776056,0.0,0.0077342922728853465,0.14,0.0,0.5746555848261756,0.22763006108770217,1.4800335068588546,0.553984400557716,0.08733840342619065,0.16098689981557945,-2.0133871137356336,-1.040985484558028,5.682582840659357e-15,1.9996712722978376e-15
8,28,19,63,9,35,dS minimum,dS minimum,5.3240451155651725,0.43914285221308985,-0.6302856599500966,0.0,0.6302856599500966,0.007339793272398092,0.06,0.0,0.6445886921313028,0.6149485797629247,0.4862166248127277,0.43914285221308985,0.23594698735772093,0.18057831150076847,-2.0133871137356336,-2.64367277368573,5.682582840659357e-15,4.967725246209075e-15
8,66,19,140,9,78,dS minimum,dS minimum,5.416901495489622,0.519554815221618,0.01048200584567427,0.01048200584567427,0.0,0.007646515477416635,0.08,0.0,0.5947852783911907,0.5549508724756221,0.5888756872155995,0.519554815221618,0.21292672395900397,0.16662613320482708,-2.0133871137356336,-2.0029051078899593,5.682582840659357e-15,5.1297443370066085e-15
8,57,19,122,9,68,dS minimum,dS minimum,5.479640354122716,0.4874070503088935,0.41422709238303,0.41422709238303,0.0,0.007487385526480749,0.1,0.0,0.6142169648476666,0.4014243415161331,0.9127362029135977,0.4874070503088935,0.15402078669618693,0.17206982337928645,-2.0133871137356336,-1.5991600213526036,5.682582840659357e-15,4.973486642754688e-15
8,10,19,24,9,13,dS minimum,dS minimum,5.684351341587464,0.5857834566919411,0.013504011882557121,0.013504011882557121,0.0,0.007779913692853791,0.08,0.0,0.5566695644289866,0.5179794176107559,0.6578197718542539,0.5857834566919411,0.19874130475377524,0.15594820578698304,-2.0133871137356336,-1.9998831018530765,5.682582840659357e-15,2.494950291988872e-15
9,16,22,37,11,22,AdS minimum,AdS minimum,3.9812902667508867,0.4271483379494609,-0.3090177162428438,0.0,0.3090177162428438,0.009431506749967695,0.14,1.513294833888068e-08,0.6523667743005621,0.5894749776004745,0.5285230067241367,0.4271483379494609,0.17950804728649927,0.16773300484809434,-1.2798851110272786,-1.5889028272701224,1.5120518506755212e-14,4.461358351983369e-15
9,5,22,12,11,6,AdS minimum,AdS minimum,4.12508149237634,0.3116565567444436,-5.345225236919049e-05,0.0,5.345225236919049e-05,0.009753026420389277,0.16,1.6202616470728515e-09,0.7322329655221244,0.6528650144861677,0.42638488702206806,0.3116565567444436,0.19881170252406266,0.18826776652986135,-1.2798851110272786,-1.2799385632796478,1.5120518506755212e-14,1.4122724124775823e-14
9,62,22,132,11,73,AdS minimum,AdS minimum,4.867473954724755,0.43454681148110863,0.24433916800782218,0.24433916800782218,0.0,0.009587567334893278,0.18,9.12514885875737e-09,0.6475580664714352,0.46311427772990543,0.7697814352000016,0.43454681148110863,0.14102844535351472,0.1664966159861987,-1.2798851110272786,-1.0355459430194565,1.5120518506755212e-14,7.96692343588014e-15
