node_id,candidate_id,background_id,vacuum_type,tau,W0,D,energy,abs_energy,lambda_min,F_bridge,F_pheno,Delta_Q_10,Delta_dim,Delta_E,R_support,rank_energy_minima,rank_bridge_minima,rank_pheno_minima
62,132,73,AdS minimum,103.22619332327962,-0.0002710747687500261,4.828125e-10,-7.96692343588014e-15,7.96692343588014e-15,5.921465777595614e-12,-1.0355459430194565,-0.5555459425116814,0.2,0.009417576157027348,1.0842076108734651e-07,0.3678795092962019,65.0,73.0,73.0
63,134,75,dS minimum,111.40232170842596,-0.0001469012431284431,4.6875e-10,4.852796687006685e-15,4.852796687006685e-15,1.026728140518902e-12,-1.0419903431617752,-0.561990342973378,0.2,0.008072224222916438,2.2487498871904785e-07,0.36787946139724265,47.0,62.0,62.0
64,136,76,dS minimum,109.09068717560574,-0.00017256230647016597,5.015625e-10,3.792256627267396e-15,3.792256627267396e-15,1.7248392044356234e-12,-1.2877891138175457,-0.980589113702496,0.16,0.008421103562353508,1.273520221100193e-07,0.3678794727258672,38.0,48.0,48.0
65,138,77,AdS minimum,105.1740796347371,-0.00023354821070052114,5.671875e-10,-8.340534537158508e-16,8.340534537158508e-16,3.9369436994979584e-12,-1.0372201385776272,-0.5572201385720619,0.2,0.009067355349723872,1.5291172808121848e-08,0.3678794936984517,10.0,70.0,70.0
66,140,78,dS minimum,111.17187631511385,-0.00015020992197445392,4.921875e-10,5.1297443370066085e-15,5.1297443370066085e-15,1.0716560562419564e-12,-2.0029051078899593,-1.926105107679445,0.08,0.008106002493965031,2.2735184328391342e-07,0.3678794613540398,51.0,17.0,17.0
67,142,79,dS minimum,109.35380026337798,-0.00017292492442094496,5.8125e-10,5.434840828007613e-15,5.434840828007613e-15,1.5814131359007035e-12,-1.040511309154688,-0.560511308918388,0.2,0.008380241671499577,1.8174883687132771e-07,0.3678794670143759,53.0,65.0,65.0
68,144,80,dS minimum,106.67229951984694,-0.00020786777281162059,5.578125e-10,1.8410839386576936e-15,1.8410839386576936e-15,2.8774707201994592e-12,-1.0384448818081522,-0.5584448817810354,0.2,0.008811430283090485,4.2608796109215736e-08,0.36787948470290227,19.0,69.0,69.0
69,146,81,dS minimum,108.65668240581667,-0.0001769344216603861,4.78125e-10,2.9530396863399185e-15,2.9530396863399185e-15,1.912121828388883e-12,-1.5936876114293996,-1.420887611359636,0.12,0.008489175264840831,9.432886782483796e-08,0.3678794766982374,32.0,31.0,31.0
70,148,82,AdS minimum,104.63231456504936,-0.00024574683865782334,6.375e-10,-7.782892749815e-16,7.782892749815e-16,4.363084241723138e-12,-2.6091180223246715,-2.5899180223198255,0.04,0.00916272188812454,1.2887395787954146e-08,0.3678794940028065,9.0,11.0,11.0
71,150,83,dS minimum,116.09688733132938,-0.00011917608163137546,4.921875e-10,6.604578519424716e-15,6.604578519424716e-15,2.5804983587310154e-13,-1.0450886512121305,-0.5650886508631667,0.2,0.007428307935435829,4.65014936914419e-07,0.3678794433890193,61.0,58.0,58.0
72,154,85,AdS minimum,103.41180122617912,-0.00026420666803319046,3.75e-10,-9.443839446524109e-15,9.443839446524109e-15,5.685062403242457e-12,-2.6046386156692614,-2.5854386149557724,0.04,0.009383313622134798,1.3528855147744643e-07,0.3678795132661314,72.0,15.0,15.0
73,156,86,dS minimum,107.68566455546868,-0.00019101078447062846,5.0625e-10,2.3460428573554022e-15,2.3460428573554022e-15,2.3426903158741026e-12,-1.9968129241777324,-1.920012924133701,0.08,0.008644563768058205,6.430136097233717e-08,0.36787948107251905,25.0,19.0,19.0
74,158,87,dS minimum,107.9681252248357,-0.0001820859052198421,3.75e-10,3.204880241365777e-16,3.204880241365777e-16,2.278772665811791e-12,-1.0394632930249885,-0.5594632930241668,0.2,0.008598915719223202,9.66627500349785e-09,0.3678794874182258,3.0,67.0,67.0
75,159,87,dS minimum,113.29411764705883,-0.0001820859052198421,3.75e-10,1.467861398419798e-15,1.467861398419798e-15,6.187597717058477e-14,-1.0432865665724869,-0.5632865665552498,0.2,0.007802872106565794,4.42723311810805e-08,0.3678794746868436,16.0,60.0,60.0
76,161,88,dS minimum,105.81567512012646,-0.00022452781305255085,6.421875e-10,1.9138355607841833e-15,1.9138355607841833e-15,3.3995567355001356e-12,-1.2846165020149676,-0.9774165019856654,0.16,0.008956377400752868,3.7963332384696974e-08,0.36787948618936755,20.0,53.0,53.0
