eta_g,beta_s,chi2_growth,max_abs_delta_mu_pct,max_abs_delta_slip_pct,max_abs_delta_Sigma_pct,max_abs_delta_Weyl_pct,max_abs_delta_EG_pct,stable
0.004,-0.038,12.2757274,0.399323013,3.793568623,1.505035595,1.65700248,1.740687501,True
0.004,-0.036,12.2757274,0.399323013,3.593907117,1.404806194,1.556927723,1.640697902,True
0.004,-0.034,12.2757274,0.399323013,3.39424561,1.304576794,1.456852965,1.540708303,True
0.004,-0.032,12.2757274,0.399323013,3.194584104,1.204347394,1.356778208,1.440718704,True
0.004,-0.03,12.2757274,0.399323013,2.994922597,1.104117993,1.25670345,1.340729105,True
0.004,-0.028,12.2757274,0.399323013,2.795261091,1.003888593,1.156628693,1.240739506,True
0.004,-0.026,12.2757274,0.399323013,2.595599584,0.9036591924,1.056553935,1.140749908,True
0.004,-0.024,12.2757274,0.399323013,2.395938078,0.803429792,0.9564791776,1.040760309,True
0.004,-0.022,12.2757274,0.399323013,2.196276571,0.7032003916,0.8564044201,0.94077071,True
0.004,-0.02,12.2757274,0.399323013,1.996615065,0.6029709912,0.7563296627,0.8407811112,True
0.004,-0.018,12.2757274,0.399323013,1.796953558,0.5027415908,0.6562549052,0.7407915124,True
0.004,-0.016,12.2757274,0.399323013,1.597292052,0.4025121903,0.5561801477,0.6408019136,True
0.004,-0.014,12.2757274,0.399323013,1.397630545,0.3022827899,0.4561053902,0.5408123147,True
0.004,-0.012,12.2757274,0.399323013,1.197969039,0.2020533895,0.3560306327,0.4408227159,True
0.004,-0.01,12.2757274,0.399323013,0.9983075324,0.1018239891,0.2559558752,0.3408331171,True
0.004,-0.008,12.2757274,0.399323013,0.7986460259,0.001594588687,0.1558811177,0.2408435183,True
0.004,-0.006,12.2757274,0.399323013,0.5989845195,0.09863481173,0.05591864597,0.1588689549,True
0.004,-0.004,12.2757274,0.399323013,0.399323013,0.1988642121,0.04426839723,0.1080399703,True
0.004,-0.002,12.2757274,0.399323013,0.1996615065,0.2990936126,0.1443431547,0.09036788059,True
0.004,0,12.2757274,0.399323013,0,0.399323013,0.2444179122,0.159114877,True
0.004,0.002,12.2757274,0.399323013,0.1996615065,0.4995524134,0.3444926697,0.2591044758,True
0.004,0.004,12.2757274,0.399323013,0.399323013,0.5997818138,0.4445674272,0.3590940747,True
0.004,0.006,12.2757274,0.399323013,0.5989845195,0.7000112142,0.5446421847,0.4590836735,True
0.004,0.008,12.2757274,0.399323013,0.7986460259,0.8002406146,0.6447169421,0.5590732723,True
0.004,0.01,12.2757274,0.399323013,0.9983075324,0.900470015,0.7447916996,0.6590628711,True
0.004,0.012,12.2757274,0.399323013,1.197969039,1.000699415,0.8448664571,0.75905247,True
0.004,0.014,12.2757274,0.399323013,1.397630545,1.100928816,0.9449412146,0.8590420688,True
0.004,0.016,12.2757274,0.399323013,1.597292052,1.201158216,1.045015972,0.9590316676,True
0.004,0.018,12.2757274,0.399323013,1.796953558,1.301387617,1.14509073,1.059021266,True
0.004,0.02,12.2757274,0.399323013,1.996615065,1.401617017,1.245165487,1.159010865,True
0.004,0.022,12.2757274,0.399323013,2.196276571,1.501846418,1.345240245,1.259000464,True
0.004,0.024,12.2757274,0.399323013,2.395938078,1.602075818,1.445315002,1.358990063,True
0.004,0.026,12.2757274,0.399323013,2.595599584,1.702305218,1.54538976,1.458979662,True
0.004,0.028,12.2757274,0.399323013,2.795261091,1.802534619,1.645464517,1.558969261,True
0.004,0.03,12.2757274,0.399323013,2.994922597,1.902764019,1.745539274,1.658958859,True
0.004,0.032,12.2757274,0.399323013,3.194584104,2.00299342,1.845614032,1.758948458,True
0.004,0.034,12.2757274,0.399323013,3.39424561,2.10322282,1.945688789,1.858938057,True
0.004,0.036,12.2757274,0.399323013,3.593907117,2.20345222,2.045763547,1.958927656,True
0.004,0.038,12.2757274,0.399323013,3.793568623,2.303681621,2.145838304,2.058917255,True
0.004,0.04,12.2757274,0.399323013,3.99323013,2.403911021,2.245913062,2.158906853,True
0.004,0.042,12.2757274,0.399323013,4.192891636,2.504140422,2.345987819,2.258896452,True
0.004,0.044,12.2757274,0.399323013,4.392553143,2.604369822,2.446062577,2.358886051,True
0.004,0.046,12.2757274,0.399323013,4.592214649,2.704599223,2.546137334,2.45887565,True
0.004,0.048,12.2757274,0.399323013,4.791876156,2.804828623,2.646212092,2.558865249,True
0.004,0.05,12.2757274,0.399323013,4.991537662,2.905058023,2.746286849,2.658854848,True
0.004,0.052,12.2757274,0.399323013,5.191199169,3.005287424,2.846361607,2.758844446,True
0.004,0.054,12.2757274,0.399323013,5.390860675,3.105516824,2.946436364,2.858834045,True
0.004,0.056,12.2757274,0.399323013,5.590522182,3.205746225,3.046511122,2.958823644,True
0.004,0.058,12.2757274,0.399323013,5.790183688,3.305975625,3.146585879,3.058813243,True
0.004,0.06,12.2757274,0.399323013,5.989845195,3.406205025,3.246660637,3.158802842,True
0.006,-0.06,12.31267474,0.5989845195,5.989845195,2.413877201,2.639510075,2.763509251,True
0.006,-0.058,12.31267474,0.5989845195,5.790183688,2.313448477,2.539313556,2.663440343,True
0.006,-0.056,12.31267474,0.5989845195,5.590522182,2.213019753,2.439117037,2.563371436,True
0.006,-0.054,12.31267474,0.5989845195,5.390860675,2.112591029,2.338920519,2.463302529,True
0.006,-0.052,12.31267474,0.5989845195,5.191199169,2.012162305,2.238724,2.363233621,True
0.006,-0.05,12.31267474,0.5989845195,4.991537662,1.911733581,2.138527482,2.263164714,True
0.006,-0.048,12.31267474,0.5989845195,4.791876156,1.811304857,2.038330963,2.163095806,True
0.006,-0.046,12.31267474,0.5989845195,4.592214649,1.710876133,1.938134444,2.063026899,True
0.006,-0.044,12.31267474,0.5989845195,4.392553143,1.610447409,1.837937926,1.962957991,True
0.006,-0.042,12.31267474,0.5989845195,4.192891636,1.510018685,1.737741407,1.862889084,True
0.006,-0.04,12.31267474,0.5989845195,3.99323013,1.409589961,1.637544888,1.762820176,True
0.006,-0.038,12.31267474,0.5989845195,3.793568623,1.309161237,1.53734837,1.662751269,True
0.006,-0.036,12.31267474,0.5989845195,3.593907117,1.208732513,1.437151851,1.562682361,True
0.006,-0.034,12.31267474,0.5989845195,3.39424561,1.108303789,1.336955333,1.462613454,True
0.006,-0.032,12.31267474,0.5989845195,3.194584104,1.007875065,1.236758814,1.362544546,True
0.006,-0.03,12.31267474,0.5989845195,2.994922597,0.9074463406,1.136562295,1.262475639,True
0.006,-0.028,12.31267474,0.5989845195,2.795261091,0.8070176165,1.036365777,1.162406732,True
0.006,-0.026,12.31267474,0.5989845195,2.595599584,0.7065888925,0.936169258,1.062337824,True
0.006,-0.024,12.31267474,0.5989845195,2.395938078,0.6061601685,0.8359727394,0.9622689166,True
0.006,-0.022,12.31267474,0.5989845195,2.196276571,0.5057314445,0.7357762207,0.8622000091,True
0.006,-0.02,12.31267474,0.5989845195,1.996615065,0.4053027205,0.6355797021,0.7621311017,True
0.006,-0.018,12.31267474,0.5989845195,1.796953558,0.3048739965,0.5353831835,0.6620621942,True
0.006,-0.016,12.31267474,0.5989845195,1.597292052,0.2044452725,0.4351866648,0.5619932867,True
0.006,-0.014,12.31267474,0.5989845195,1.397630545,0.1040165485,0.3349901462,0.4619243793,True
0.006,-0.012,12.31267474,0.5989845195,1.197969039,0.003587824545,0.2347936276,0.3618554718,True
0.006,-0.01,12.31267474,0.5989845195,0.9983075324,0.09684089946,0.1345971089,0.2734908973,True
0.006,-0.008,12.31267474,0.5989845195,0.7986460259,0.1972696235,0.04476684662,0.208020457,True
0.006,-0.006,12.31267474,0.5989845195,0.5989845195,0.2976983475,0.06579592833,0.1618392233,True
0.006,-0.004,12.31267474,0.5989845195,0.399323013,0.3981270715,0.165992447,0.1418721625,True
0.006,-0.002,12.31267474,0.5989845195,0.1996615065,0.4985557955,0.2661889656,0.1384890655,True
0.006,0,12.31267474,0.5989845195,0,0.5989845195,0.3663854842,0.238557973,True
0.006,0.002,12.31267474,0.5989845195,0.1996615065,0.6994132435,0.4665820029,0.3386268804,True
0.006,0.004,12.31267474,0.5989845195,0.399323013,0.7998419675,0.5667785215,0.4386957879,True
0.006,0.006,12.31267474,0.5989845195,0.5989845195,0.9002706915,0.6669750401,0.5387646954,True
0.006,0.008,12.31267474,0.5989845195,0.7986460259,1.000699415,0.7671715588,0.6388336028,True
0.006,0.01,12.31267474,0.5989845195,0.9983075324,1.101128139,0.8673680774,0.7389025103,True
0.006,0.012,12.31267474,0.5989845195,1.197969039,1.201556863,0.967564596,0.8389714178,True
0.006,0.014,12.31267474,0.5989845195,1.397630545,1.301985587,1.067761115,0.9390403252,True
0.006,0.016,12.31267474,0.5989845195,1.597292052,1.402414311,1.167957633,1.039109233,True
0.006,0.018,12.31267474,0.5989845195,1.796953558,1.502843035,1.268154152,1.13917814,True
0.006,0.02,12.31267474,0.5989845195,1.996615065,1.603271759,1.368350671,1.239247048,True
0.006,0.022,12.31267474,0.5989845195,2.196276571,1.703700483,1.468547189,1.339315955,True
0.006,0.024,12.31267474,0.5989845195,2.395938078,1.804129207,1.568743708,1.439384863,True
0.006,0.026,12.31267474,0.5989845195,2.595599584,1.904557931,1.668940226,1.53945377,True
0.006,0.028,12.31267474,0.5989845195,2.795261091,2.004986655,1.769136745,1.639522677,True
0.006,0.03,12.31267474,0.5989845195,2.994922597,2.105415379,1.869333264,1.739591585,True
0.006,0.032,12.31267474,0.5989845195,3.194584104,2.205844103,1.969529782,1.839660492,True
0.006,0.034,12.31267474,0.5989845195,3.39424561,2.306272827,2.069726301,1.9397294,True
0.006,0.036,12.31267474,0.5989845195,3.593907117,2.406701551,2.16992282,2.039798307,True
0.006,0.038,12.31267474,0.5989845195,3.793568623,2.507130275,2.270119338,2.139867215,True
