z,a,D_LCDM,D_MAAT_eta002,f_LCDM,f_MAAT_eta002,fsigma8_LCDM,fsigma8_MAAT_eta002,C_hat,mu_eta002,eta_slip_beta003,Sigma_eta002_beta003,Weyl_proxy,EG_proxy,delta_D_pct,delta_fsigma8_pct,delta_mu_pct,delta_slip_pct,delta_Sigma_pct,delta_Weyl_pct,delta_EG_pct
2.927124268034443588e+00,2.546392555335428298e-01,3.211479578322144479e-01,3.187553043853705304e-01,9.809338128560605163e-01,9.926405391141939205e-01,2.554851864122734129e-01,2.566080535615791747e-01,9.544377733587360302e-01,1.019088755467174812e+00,1.028633133200762106e+00,1.033678607506520075e+00,1.025977376273807584e+00,1.021487897959471036e+00,-7.450314998091853713e-01,4.395038182346135969e-01,1.908875546717481164e+00,2.863313320076210644e+00,3.367860750652007518e+00,2.597737627380758418e+00,2.148789795947103620e+00
2.920171954615795595e+00,2.550908510078372382e-01,3.217066079014127000e-01,3.193164149122419970e-01,9.808348893462833784e-01,9.925380966799106641e-01,2.559038038471526666e-01,2.570332361301715940e-01,9.501578663005613157e-01,1.019003157326011211e+00,1.028504735989016927e+00,1.033526365311787654e+00,1.025847544262366240e+00,1.021339857430151321e+00,-7.429729232988524501e-01,4.413503301004152446e-01,1.900315732601121077e+00,2.850473598901692718e+00,3.352636531178765367e+00,2.584754426236623992e+00,2.133985743015132108e+00
2.913231949099463147e+00,2.555432473738558086e-01,3.222661731352539638e-01,3.198784549062087534e-01,9.807354665630009238e-01,9.924349417078668356e-01,2.563229290561609419e-01,2.574588887119895197e-01,9.458970616208988158e-01,1.018917941232418078e+00,1.028376911848627007e+00,1.033374813532086600e+00,1.025718385134088972e+00,1.021192712279742842e+00,-7.409149417748829292e-01,4.431752009121612823e-01,1.891794123241807846e+00,2.837691184862700666e+00,3.337481353208660018e+00,2.571838513408897242e+00,2.119271227974284244e+00
2.906304229696373920e+00,2.559964460519572049e-01,3.228266546424420902e-01,3.204414253936399559e-01,9.806355421309694842e-01,9.923310737854716956e-01,2.567425613980805488e-01,2.578850108181826584e-01,9.416552692559270188e-01,1.018833105385118509e+00,1.028249658077677875e+00,1.033223948817792781e+00,1.025589895223263381e+00,1.021046457132995799e+00,-7.388575926123505111e-01,4.449785862854022112e-01,1.883310538511850929e+00,2.824965807767787496e+00,3.322394881779278109e+00,2.558989522326338140e+00,2.104645713299579945e+00
2.899388774656029621e+00,2.564504484650190763e-01,3.233880535302683934e-01,3.210053273998244583e-01,9.805351136651374588e-01,9.922264924768247063e-01,2.571627002210881696e-01,2.583116019486373927e-01,9.374323994764427459e-01,1.018748647989528910e+00,1.028122971984293255e+00,1.033073767832751955e+00,1.025462070880994059e+00,1.020901086643802635e+00,-7.368009128453835155e-01,4.467606408555704900e-01,1.874864798952891043e+00,2.812297198429325462e+00,3.307376783275195464e+00,2.546207088099405880e+00,2.090108664380263548e+00
2.892485562266436716e+00,2.569052560384425532e-01,3.239503709045885582e-01,3.215701619489459984e-01,9.804341787706202238e-01,9.921211973227691550e-01,2.575833448626855260e-01,2.587386615919087807e-01,9.332283628856927749e-01,1.018664567257713927e+00,1.027996850886570890e+00,1.032924267254187622e+00,1.025334908475082907e+00,1.020756595494991092e+00,-7.347449391695837217e-01,4.485215182833888758e-01,1.866456725771392655e+00,2.799685088657088983e+00,3.292426725418762246e+00,2.533490847508290678e+00,2.075659549499109247e+00
2.885594570854041141e+00,2.573608702001565773e-01,3.245136078697989923e-01,3.221359300640583845e-01,9.803327350426753739e-01,9.920151878409447788e-01,2.580044946496302671e-01,2.591661892251524435e-01,9.290430704172218945e-01,1.018580861408344473e+00,1.027871292112516599e+00,1.032775443772609769e+00,1.025208404389912342e+00,1.020612978398118154e+00,-7.326897079442589167e-01,4.502613712601231666e-01,1.858086140834447342e+00,2.787129211251659910e+00,3.277544377260976916e+00,2.520840438991234222e+00,2.061297839811815358e+00
2.878715778783655921e+00,2.578172923806225647e-01,3.250777655288133450e-01,3.227026327670607930e-01,9.802307800666784088e-01,9.919084635258398341e-01,2.584261488978662480e-01,2.595941843140558425e-01,9.248764333327206266e-01,1.018497528666654439e+00,1.027746292999981659e+00,1.032627294091725600e+00,1.025082555026328945e+00,1.020470230093269981e+00,-7.306352551946625473e-01,4.519803515128103522e-01,1.849752866665443918e+00,2.774629299998165877e+00,3.262729409172560047e+00,2.508255502632894540e+00,2.047023009326998100e+00
2.871849164458396775e+00,2.582745240128387909e-01,3.256428449830389149e-01,3.232702710786722333e-01,9.801283114180976419e-01,9.918010238488438324e-01,2.588483069124537517e-01,2.600226463127692789e-01,9.207283632198930423e-01,1.018414567264397830e+00,1.027621850896596856e+00,1.032479814928347395e+00,1.024957356801524666e+00,1.020328345348854970e+00,-7.285816166144406525e-01,4.536786098093760766e-01,1.841456726439782976e+00,2.762185089659685566e+00,3.247981492834739470e+00,2.495735680152466607e+00,2.032834534885497035e+00
2.864994706319612838e+00,2.587325665323448876e-01,3.262088473323527249e-01,3.238388460184065121e-01,9.800253266624699977e-01,9.916928682582987209e-01,2.592709679874992679e-01,2.604515746638368379e-01,9.165987719903260222e-01,1.018331975439806580e+00,1.027497963159709871e+00,1.032333003012305683e+00,1.024832806148924691e+00,1.020187318961409018e+00,-7.265288275678110086e-01,4.553562959638785546e-01,1.833197543980658040e+00,2.749796315970987060e+00,3.233300301230568330e+00,2.483280614892469096e+00,2.018731896140901760e+00
