z,a,dH,dB,dS,dV,H,B,S,V,R_resp,R_rob,CCI_min,CCI_diag,Omega_MAAT
5.491070776755291405e+01,1.788566161883462305e-02,6.160662575857944571e-04,6.160247301608437432e-04,2.013207011224549107e-04,1.348022148027450129e-01,9.993843130463715418e-01,9.993843545226782643e-01,9.997987198207444193e-01,8.812108285969667554e-01,9.583297414946796433e-01,9.583297414946796433e-01,3.471548047883725174e-01,2.604789395249549888e-01,6.641731077287436235e-07
5.439709281106399885e+01,1.805148879221110322e-02,6.160659689089445631e-04,6.160229019359598698e-04,2.058351492095598250e-04,1.348018147396445598e-01,9.993843133346930196e-01,9.993843563486528581e-01,9.997942072101799749e-01,8.812111392590855630e-01,9.583298547870218176e-01,9.583298547870218176e-01,3.471532001964288128e-01,2.604777349341565462e-01,6.790666333273296032e-07
5.388819609789671006e+01,1.821885343465167242e-02,6.160656701722881656e-04,6.160210258488077028e-04,2.104508278796526010e-04,1.348014042030363790e-01,9.993843136330619048e-01,9.993843582224305466e-01,9.997895934523524097e-01,8.812114580544544440e-01,9.583299710461706811e-01,9.583299710461706811e-01,3.471515594966619878e-01,2.604765032343943632e-01,6.942941267221996041e-07
5.338397428464797656e+01,1.838776980082328094e-02,6.160653611407244804e-04,6.160191009367381194e-04,2.151700069872226103e-04,1.348009829822678363e-01,9.993843139417131205e-01,9.993843601449732272e-01,9.997848762811848422e-01,8.812117851466698681e-01,9.583300903318112685e-01,9.583300903318112685e-01,3.471498818823965937e-01,2.604752438200709230e-01,7.098630763450048503e-07
5.288438442608222800e+01,1.855825227755519141e-02,6.160650415744132417e-04,6.160171262304082410e-04,2.199950072772949880e-04,1.348005508652215245e-01,9.993843142608859198e-01,9.993843621172489033e-01,9.997800533798810729e-01,8.812121207004670609e-01,9.583302127040441709e-01,9.583302127040441709e-01,3.471481665292088792e-01,2.604739560722695857e-01,7.257811385193474289e-07
5.238938397147350656e+01,1.873031538506438401e-02,6.160647112301493623e-04,6.160151007417267316e-04,2.249282015261248337e-04,1.348001076356774020e-01,9.993843145908236636e-01,9.993843641402444522e-01,9.997751223797926023e-01,8.812124648837674767e-01,9.583303382241328272e-01,9.583303382241328272e-01,3.471464125942855250e-01,2.604726393582691979e-01,7.420561412240216786e-07
5.189893076098150715e+01,1.890397377819221653e-02,6.160643698583672832e-04,6.160130234860563062e-04,2.299720157074421284e-04,1.347996530781712110e-01,9.993843149317752639e-01,9.993843662149433094e-01,9.997700808592607791e-01,8.812128178639075937e-01,9.583304669531290676e-01,9.583304669531290676e-01,3.471446192164783229e-01,2.604712930315926100e-01,7.586960879405502858e-07
5.141298302206056547e+01,1.907924224765266893e-02,6.160640172053478665e-04,6.160108933897876643e-04,2.351289301848257332e-04,1.347991869577694068e-01,9.993843152839941846e-01,9.993843683424177282e-01,9.997649263424328581e-01,8.812131798233427959e-01,9.583305989575945372e-01,9.583305989575945372e-01,3.471427855139896934e-01,2.604699164302387016e-01,7.757091615869204876e-07
5.093149936590212690e+01,1.925613572129198509e-02,6.160636530117566748e-04,6.160087093933423828e-04,2.404014809307817755e-04,1.347987090426086276e-01,9.993843156477394407e-01,9.993843705237257513e-01,9.997596562980511914e-01,8.812135509421457069e-01,9.583307343032250181e-01,9.583307343032250181e-01,3.471409105860739364e-01,2.604685088779936653e-01,7.931037285394221842e-07
5.045443878390924652e+01,1.943466926536022155e-02,6.160632770129087325e-04,6.160064704105365843e-04,2.457922607731371275e-04,1.347982190950036963e-01,9.993843160232753764e-01,9.993843727599526217e-01,9.997542681382167729e-01,8.812139314049112215e-01,9.583308730573653067e-01,9.583308730573653067e-01,3.471389935117707437e-01,2.604670696834674448e-01,8.108883427445992392e-07
4.998176064420422904e+01,1.961485808579432194e-02,6.160628889392801618e-04,6.160041753350977518e-04,2.513039206693425511e-04,1.347977168728733965e-01,9.993843164108712207e-01,9.993843750522031222e-01,9.997487592171244719e-01,8.812143213996489477e-01,9.583310152886060918e-01,9.583310152886060918e-01,3.471370333496007210e-01,2.604655981398668607e-01,8.290717499232778141e-07
4.951342468816762477e+01,1.979671752951334129e-02,6.160624885155184137e-04,6.160018230197945952e-04,2.569391710093264108e-04,1.347972021251737651e-01,9.993843168108021979e-01,9.993843774016232251e-01,9.997431268297701790e-01,8.812147211213294806e-01,9.583311610680759207e-01,9.583311610680759207e-01,3.471350291366863683e-01,2.604640935243295319e-01,8.476628918687847665e-07
4.904939102700951992e+01,1.998026308572551160e-02,6.160620754605769262e-04,6.159994122707182105e-04,2.627007829475251611e-04,1.347966745906464536e-01,9.993843172233487504e-01,9.993843798094048658e-01,9.997373682106293069e-01,8.812151307728572913e-01,9.583313104697961382e-01,9.583313104697961382e-01,3.471329798881755413e-01,2.604625550974886683e-01,8.666709108414231902e-07
