activity,H,B,S_eff,V,R_resp,R_rob,R_sig
9.442060085836910532e-02,6.518310738488608536e-01,7.512845609039542349e-01,5.353182245898463650e-03,4.723149774555318037e-01,6.138426790129792865e-01,1.875840109114070287e-01,7.266190962437432677e-02
9.756795422031475096e-02,6.518994733220018212e-01,7.513329538792923312e-01,5.551023567531154432e-03,4.750594467741178217e-01,6.150640479580786746e-01,1.895760737181092226e-01,7.393908472204602234e-02
1.007153075822603827e-01,6.519701605927444854e-01,7.513829717843594214e-01,5.755449403572253028e-03,4.778231631912850941e-01,6.162904277993953572e-01,1.915838413573869303e-01,7.523460418382935111e-02
1.038626609442060145e-01,6.520432017857205054e-01,7.514346616681292224e-01,5.966649633653579345e-03,4.806059028897059493e-01,6.175217120354733469e-01,1.936073355139729668e-01,7.654863819935574243e-02
1.070100143061516601e-01,6.521186645468459719e-01,7.514880716625772505e-01,6.184818502831786538e-03,4.834074330997990554e-01,6.187577933654840878e-01,1.956465758361173590e-01,7.788135643459090374e-02
1.101573676680972919e-01,6.521966180642725375e-01,7.515432509975733533e-01,6.410154681821633380e-03,4.862275121095385733e-01,6.199985637713474329e-01,1.977015799199541013e-01,7.923292797941712540e-02
1.133047210300429375e-01,6.522771330891111718e-01,7.516002500156114818e-01,6.642861326588830537e-03,4.890658892822496995e-01,6.212439146015091840e-01,1.997723632952144168e-01,8.060352129486306194e-02
1.164520743919885692e-01,6.523602819559044530e-01,7.516591201863581650e-01,6.883146137233417047e-03,4.919223050825220489e-01,6.224937366563010332e-01,2.018589394123193603e-01,8.199330416001458788e-02
1.195994277539342010e-01,6.524461386028238552e-01,7.517199141210018087e-01,7.131221416092111375e-03,4.947964911103557295e-01,6.237479202748026363e-01,2.039613196308769083e-01,8.340244361863745348e-02
1.227467811158798466e-01,6.525347785915647236e-01,7.517826855863868341e-01,7.387304124986602584e-03,4.976881701436514649e-01,6.250063554231259921e-01,2.060795132096117366e-01,8.483110592554524154e-02
1.258941344778254923e-01,6.526262791269128449e-01,7.518474895189094509e-01,7.651615941542545818e-03,5.005970561891367465e-01,6.262689317840317571e-01,2.082135272977496954e-01,8.627945649274426643e-02
1.290414878397711240e-01,6.527207190759571898e-01,7.519143820381598564e-01,7.924383314502604636e-03,5.035228545418138912e-01,6.275355388477941165e-01,2.103633669278816287e-01,8.774765983539087322e-02
1.321888412017167558e-01,6.528181789869188512e-01,7.519834204602905414e-01,8.205837517954357035e-03,5.064652618530017802e-01,6.288060660042187333e-01,2.125290350103241632e-01,8.923587951759198722e-02
1.353361945636623875e-01,6.529187411075695335e-01,7.520546633110861690e-01,8.496214704392844597e-03,5.094239662070256802e-01,6.300804026357172960e-01,2.147105323289974776e-01,9.074427809808510714e-02
1.384835479256080193e-01,6.530224894032102823e-01,7.521281703387208140e-01,8.795755956534796402e-03,5.123986472066059950e-01,6.313584382113450744e-01,2.169078575388335151e-01,9.227301707582911960e-02
1.416309012875536510e-01,6.531295095741805889e-01,7.522040025261769181e-01,9.104707337800783951e-03,5.153889760669705389e-01,6.326400623816956781e-01,2.191210071647308189e-01,9.382225683554239193e-02
1.447782546494993106e-01,6.532398890728678964e-01,7.522822221033050871e-01,9.423319941378687989e-03,5.183946157187124815e-01,6.339251650745508782e-01,2.213499756020635978e-01,9.539215659321931273e-02
1.479256080114449423e-01,6.533537171201871940e-01,7.523628925585047478e-01,9.751849937781035052e-03,5.214152209193936294e-01,6.352136365911801308e-01,2.235947551187563165e-01,9.698287434166116827e-02
1.510729613733905741e-01,6.534710847214976193e-01,7.524460786499999054e-01,1.009055862080636065e-02,5.244504383738829434e-01,6.365053677031783375e-01,2.258553358589278082e-01,9.859456679605335672e-02
1.542203147353362058e-01,6.535920846819266439e-01,7.525318464166904642e-01,1.043971245181356776e-02,5.274999068634017574e-01,6.378002497497320400e-01,2.281317058481099613e-01,1.002273893396235654e-01
1.573676680972818376e-01,6.537168116210666513e-01,7.526202631885532401e-01,1.079958310221589696e-02,5.305632573832341770e-01,6.390981747352005859e-01,2.304238510000388429e-01,1.018814959694124417e-01
1.605150214592274971e-01,6.538453619870127076e-01,7.527113975965704640e-01,1.117044749410057124e-02,5.336401132890455923e-01,6.403990354268943586e-01,2.327317551250204231e-01,1.035570392421912983e-01
1.636623748211731288e-01,6.539778340697059988e-01,7.528053195821600152e-01,1.155258783887716870e-02,5.367300904517363636e-01,6.417027254529350522e-01,2.350553999398613536e-01,1.052541702205567753e-01
1.668097281831187606e-01,6.541143280135509608e-01,7.529021004060864053e-01,1.194629167385763586e-02,5.398327974207418611e-01,6.430091394000772009e-01,2.373947650793610809e-01,1.069730384192360967e-01
1.699570815450643924e-01,6.542549458292689080e-01,7.530018126568217562e-01,1.235185189666832863e-02,5.429478355956748326e-01,6.443181729113700573e-01,2.397498281093523587e-01,1.087137917516327323e-01
1.731044349070100241e-01,6.543997914049541897e-01,7.531045302583375678e-01,1.276956679739360209e-02,5.460747994061899702e-01,6.456297227835365860e-01,2.421205645412783936e-01,1.104765764766434399e-01
1.762517882689556559e-01,6.545489705162972349e-01,7.532103284772978524e-01,1.319974008834858513e-02,5.492132764999372307e-01,6.469436870639481141e-01,2.445069478482882752e-01,1.122615371457751920e-01
