activity,H,B,S_eff,V,R_resp,R_rob,R_sig
7.017331036818127421e-01,8.541640049785121924e-01,8.823299303481467737e-01,5.790979692052110606e-01,9.114990236018565284e-01,8.823539383049031626e-01,7.941821686121508517e-01,7.300321298701762940e-01
2.044735891101612246e+00,2.559955793590976691e-01,2.955496430683611786e-01,9.999999999999999547e-07,7.438792092435404513e-01,3.832261256757879542e-01,1.540250404185551647e-02,1.177335690554076218e-03
7.285921389166913897e-01,8.503466495117660839e-01,9.165817438603021117e-01,5.977221097670064598e-01,9.169354985356900078e-01,8.940641165663218981e-01,8.084465810485739201e-01,7.458945946582506981e-01
1.836877707836482854e+00,3.122920931895588614e-01,3.514285754250918159e-01,3.616364263440403209e-02,8.194299501488739867e-01,4.480260826817967779e-01,2.388061547865694689e-01,1.443574792698581744e-01
1.970987739546945061e+00,2.668913185449389158e-01,3.593125475133084334e-01,7.726047860689153404e-03,8.119542377393993426e-01,4.270179466074690566e-01,1.566116064619920145e-01,7.019823579360602583e-02
1.063337029075500872e+00,9.848127868093864423e-01,9.847413636101833845e-01,9.868054698426858007e-01,9.572150816666411544e-01,9.755026736469032400e-01,9.755026736469032400e-01,9.805728217691249693e-01
1.967436392857633942e+00,3.115827298264475242e-01,2.929128298819858034e-01,3.223509060654489947e-03,7.957772723080163146e-01,4.172225450893799481e-01,1.236966818265395618e-01,4.676815908077872758e-02
6.089672322603036925e-01,8.152205012096429559e-01,8.614256181583254124e-01,3.520597175704681114e-01,9.776698574526797580e-01,8.821891265301212703e-01,7.011732826480969738e-01,5.834938549069268454e-01
1.448553537603207042e+00,5.852826778500493932e-01,6.882338741184992337e-01,2.898741410178644062e-01,9.240923355993766464e-01,7.193479789906146449e-01,5.731346158572263594e-01,4.778710584336377520e-01
1.935202467536497883e-01,6.352377038159626732e-01,7.809473376257630717e-01,1.085727679131914813e-02,5.778536492806350955e-01,6.593640914771540240e-01,2.361969016983057335e-01,1.038946824480112552e-01
