dataset_id,family,split,policy,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,gate_value,runtime_s,compute_cost
pigeon-hole_hole7,satlib_dimacs_pigeonhole,calibration,score_with_R,56,204,3.642857142857143,0,0,1,1113,17281,1000,1000,37,0.28157451636389247,2.5938880410103593,2403.0240000000003
pigeon-hole_hole7,satlib_dimacs_pigeonhole,calibration,gate_v17,56,204,3.642857142857143,0,0,1,1163,17400,1000,1000,38,0.28157451636389247,2.595072749973042,2418.5
pigeon-hole_hole7,satlib_dimacs_pigeonhole,calibration,gate_shuffled_R,56,204,3.642857142857143,0,0,1,1144,17655,1000,1000,38,0.4676084982680801,2.564364666992333,2413.82
pigeon-hole_hole8,satlib_dimacs_pigeonhole,test,vsids,72,297,4.125,0,0,1,1289,24394,1000,1000,23,0.25922184002807824,3.3670217909966595,2484.276
pigeon-hole_hole8,satlib_dimacs_pigeonhole,test,moms,72,297,4.125,0,0,1,1129,15017,1000,1000,34,0.25922184002807824,3.3543554579955526,2398.768
pigeon-hole_hole8,satlib_dimacs_pigeonhole,test,jeroslow_wang,72,297,4.125,0,0,1,1196,13521,1000,1000,30,0.25922184002807824,3.0230184580141213,2412.884
pigeon-hole_hole8,satlib_dimacs_pigeonhole,test,progress_only,72,297,4.125,0,0,1,1188,16136,1000,1000,29,0.25922184002807824,2.701967125001829,2420.9440000000004
pigeon-hole_hole8,satlib_dimacs_pigeonhole,test,score_with_R,72,297,4.125,0,0,1,1143,18457,1000,1000,52,0.25922184002807824,3.528196375002153,2416.728
pigeon-hole_hole8,satlib_dimacs_pigeonhole,test,gate_v17,72,297,4.125,0,0,1,1209,17966,1000,1000,50,0.25922184002807824,3.3678824999951757,2434.5640000000003
pigeon-hole_hole8,satlib_dimacs_pigeonhole,test,gate_shuffled_R,72,297,4.125,0,0,1,1268,18043,1000,1000,50,0.03275401455495034,3.219885750004323,2452.572
