mu,pi0,stable,background_safe,fail_reason,min_P_X,min_D,min_c_s2,max_c_s2,max_omega_maat,final_a,final_lambda,final_X,final_w_maat,final_omega_maat
0.0016681005372000592,2.612962962962963,True,True,,1.0000188963910286,0.999989665917578,1.0,1.0000409244163246,0.00014291505268955907,1006.7817371508439,0.017520495886920152,2.389700988451634e-21,-0.8988556910246535,2.3286102151438082e-05
0.0016681005372000592,2.7303703703703706,True,True,,1.0000176425843381,0.9999898211568885,1.0,1.000040382740986,0.00014294510075544013,1007.2204738093444,0.01752132339183155,2.602458349756667e-21,-0.8988556912862594,2.3288301785777095e-05
0.0016681005372000592,2.847777777777778,True,True,,1.000016499691294,0.9999900283470994,1.0,1.0000404969875412,0.00014297570557434547,1007.676216289721,0.017522145560960226,2.823404342210208e-21,-0.8988556915460459,2.3290487339668605e-05
0.0016681005372000592,2.9651851851851854,True,True,,1.0000154562785761,0.9999902722051459,1.0,1.000040961521382,0.00014300683332668006,1008.1487029436498,0.017522961069296746,3.0524045322412678e-21,-0.898855691803591,2.3292655288626458e-05
0.0016681005372000592,3.0825925925925928,True,True,,1.0000145021409954,0.9999905409017117,1.0,1.000041298860349,0.0001430384523638555,1008.6376670063996,0.017523768748297433,3.289321696017938e-21,-0.8988556920585239,2.329480252350427e-05
0.0016681005372000592,3.2,True,True,,1.0000136281889582,0.9999908253280123,1.0,1.0000415202406878,0.00014307053299207333,1009.142837135022,0.017524567570101842,3.534016085882948e-21,-0.8988556923105167,2.329692630864388e-05
0.0027825594022071257,0.03,True,True,,1.0000487140682117,1.0000487140682117,1.0,1.000000125085176,0.00014250993930681305,1001.861669394495,0.01750694590279654,3.2446843592995085e-25,-0.8988556867259919,2.325009900257972e-05
0.0027825594022071257,0.14740740740740743,True,True,,1.0000487143938994,1.0000487143938994,1.0,1.0000029580718215,0.00014251236787240536,1001.8771128223664,0.01750706294902692,7.832982390035548e-24,-0.8988556867633195,2.3250409882419898e-05
0.0027825594022071257,0.26481481481481484,True,True,,1.000048715144965,1.000048715144965,1.0,1.000009105643573,0.00014251797838306217,1001.9129860780631,0.01750733286829116,2.527417531831515e-23,-0.8988556868493993,2.3251126807559192e-05
0.0027825594022071257,0.38222222222222224,True,True,,1.000048716308243,1.000048716308243,1.0,1.0000176506318024,0.00014252669577520595,1001.969263092093,0.01750775092908861,5.2634901010183805e-23,-0.89885568698272,2.325223722916892e-05
0.0027825594022071257,0.49962962962962965,True,True,,1.0000487178642714,1.0000487178642714,1.0,1.000027447760605,0.0001425384090045755,1002.0459032025925,0.017508310137286626,8.989464566011704e-23,-0.8988556871610482,2.3253722597326914e-05
